"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordNumber","locality","phylum","order","scientificNameAuthorship","infraspecificEpithet","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:37:10-03","E","E","102401","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110858","<a href=http://data.rbge.org.uk/herb/E00102401 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:10-03","E","E","326658","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","Spruce, Richard","1905","01","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:386302","<a href=http://data.rbge.org.uk/herb/E00326658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326658","isotype","3302","Ad flumina Casiquiari, Vasiva et Pacimoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:10-03","E","E","189935","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra","Pennington, T.D.; Daza, A.","2001","08","15","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:209260","<a href=http://data.rbge.org.uk/herb/E00189935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00189935",NA,"17226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","428505","PreservedSpecimen","Plantae","Chrysobalanaceae","Hirtella","octandra","Hirtella octandra","Collector unspecified",NA,NA,NA,"South America","Brazil","photo",NA,"Hoffmannsegg in Hb. Willd. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428505","photo of type","s.n.","Brasilia","Magnoliophyta","Malpighiales","Hoffmanns.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01254625","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","G. T. Prance","1974","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254625",NA,"22986","BR 319, Km 510, Manaus-Porto Velho Road, 6 Km north of Rio Purusinho","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas","-62.8566885","-6.4207733","NY01254625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01254593","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","D. F. Austin","1979","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522045' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254593",NA,"6995","Parque Florestal de Amapá, perto a fazendinho","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Amapá","-51.608987","1.482444","NY01254593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01254651","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","R. de Lemos Fróes","1948","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1523308' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254651",NA,"23252","Rio Negro, Ig. Jahú Arpao Airao.","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Amazonas",NA,NA,"NY01254651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00867108","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","B. A. Krukoff",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867108",NA,"5629","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Acre","-69","-9.33","NY00867108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01254595","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra octandra","G. T. Prance","1967","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1522048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01254595",NA,"3967","Canta Galo, Rio Mucajaí between Pratinha and Rio Apiaú.","Magnoliophyta","Malpighiales","(Hoffmanns. ex Roem. & Schult.) Kuntze","octandra","G. T. Prance","Roraima","-61.1802006","2.6780147","NY01254595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00867113","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","octandra","Licania octandra pallida","I. F. Rego",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867113",NA,"151","BR-364 km 92, margem direita","Magnoliophyta","Malpighiales","(Hook.f.) Prance","pallida","G. T. Prance","Acre","-66.8831","-9.8281","NY00867113_01","Acrelândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
