"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","470476","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","kuhlmannii","adpressipila","Oxalis kuhlmannii adpressipila","Lourteig","A. Lourteig","A. M. V. de Carvalho","4580","1994","08","19","South America","Brazil","Bahia","Santa Luzia","Ca. 7.5 km na estrada da BR 101 para Santa Luzia","-39.38","-15.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=384895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470476","NY00470476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547745","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","A. Lourteig","J. G. Jardim","1762","1998","04","10","South America","Brazil","Bahia","Jussari","Rod. Jussari/Palmira, entrada ca. 2.5 km percorrendo mais 2.7 km até a sede da Fazenda Teimoso, Serra do Teimoso; Reserva Particular do Patrimômia Natural Serra do Teimoso","-39.58","-15.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547745","NY00547745_01","300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00750015","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","kuhlmannii","adpressipila","Oxalis kuhlmannii adpressipila","Lourteig","A. Lourteig","A. M. V. de Carvalho","4580","1994","08","19","South America","Brazil","Bahia","Santa Luzia","Ca. 7.5 km na estrada da BR 101 para Santa Luzia","-39.38","-15.4","fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=728480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:49-03","ESALQ","ESA","34680","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","Fiaschi, P.","Lombardi, J.A. et al.","993.0","1995","10","01",NA,"Brasil","Minas Gerais","Carangola",NA,"-42.0293998718262","-20.7331008911133",NA,NA,"ESA034680","ESA034680",NA,NA,"2012","21913","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:49-03","ESALQ","ESA","102308","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii",NA,"Fiaschi, P.","Tsuji, R.","1613.0","2007","01","31",NA,"Brasil","Minas Gerais","Carangola",NA,"-42.0293998718262","-20.7331008911133",NA,NA,"ESA102308","ESA102308",NA,NA,"2013","21913","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:49-03","ESALQ","ESA","82346","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","Fiaschi, P.","Mello Barreto","6377.0","1936","01","08",NA,"Brasil","Minas Gerais","Tombos",NA,"-42.0228004455566","-20.9046993255615",NA,NA,"ESA082346","ESA082346",NA,NA,"2013","16749","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:11:00-03","UFES","VIES","30660","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","T.S. Costa","Dias, H.M.; Silva, A.E.","782","2011","11","30",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Pacotuba.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES030660","VIES030660","115","115","2017","35694","auto","02","16",NA,NA,NA,NA,NA
"8","2020-12-21 16:39:02-03","MBM","MBM","238847","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii","adpressifila","Oxalis kuhlmannii adpressifila","Lourteig","Lourteig, A.","Carvalho, A.M. de","4580",NA,NA,NA,"Southern America","Brazil","Bahia","Santa Luzia","Rod. BR-101","-39.3342018127441","-15.4294004440308",NA,NA,"MBM238847","MBM238847",NA,NA,NA,"33804","auto",NA,NA,NA,NA,NA,NA,NA
"9","2012-10-15 16:58:17-03","MNHN","RECOLNAT_MNHN_P","P02288090","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","Lourteig","Sucre, D.",NA,"1972","4","27",NA,"Brésil",NA,NA,"Estado do Espirito Santo, mun. Cachoeiro de Itapemirim, Pacotuha, Reserve forestal de Bananal de Norte, a +- 110 msm",NA,NA,"hb","Herb. n° 153684 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02288090' target='other'> <mi>dwc_moreinfo</mi></a>","P02288090","P02288090_01",NA,NA,NA,NA,NA,NA,NA,"holotype","8981",NA,NA,NA
"10","2015-11-07 00:55:36-02","MNHN","RECOLNAT_MNHN_P","P02288091","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig",NA,"Kuhlmann, J.G.",NA,"1943","12","1",NA,"Brésil",NA,NA,"Rio Paucas, Colatina (estrada velha). Espirito Santo",NA,NA,"hb","Herb. n° 62958 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02288091' target='other'> <mi>dwc_moreinfo</mi></a>","P02288091","P02288091_01",NA,NA,NA,NA,NA,NA,NA,NA,"6587",NA,NA,NA
"11","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","34759",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","P. Fiaschi/jan.2011","L. Kollmann; L. Magnago","10724","2008","03","05",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional de Pacotuba","-41.291944","-20.739722",NA,"Erva 10cm na sombra. Flores brancas.","MBML034759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41W17'31","20S44'23",NA
"12","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","49025",NA,"Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","P. Fiaschi/I-2011","P. Fiaschi; J.R. Pirani, J.H.L.E. Ottra & V. Augusto","3560","2011","01","24",NA,"Brasil","Espírito Santo","Cachoeiro do Itapemirim","Pacotuba. Floresta Nacional de Pacotuba, propriedade da INCAPER, na estrada para Burarama. Floresta Estacional Semidecidual (Mata Atlântica)","-41.293472","-20.738278",NA,"Subarbusto geralmente sem ramificações, formando grande população no interior da mata. Folhas fortemente discolores, com a face abaxial geralmente vinácea. Inflorescência vináceo-esverdeada. Botões florais rosados. Flores com cálice ro","MBML049025",NA,"95","95",NA,NA,NA,NA,NA,NA,NA,"41W17'36,5","20S44'17,8",NA
"13","2021-03-01 11:50:17-03","UFPE","UFP","65812","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","Fiaschi, P","Fiaschi, P; Pirani, JR; Ottra, JHLE; Augusto, V","3560","2011","01","24",NA,"Brasil","Espírito Santo","Cachoeiro do Itapemirim",NA,"-41.293472","-20.738278",NA,"Subarbusto geralmente sem ramificações, formando grande população no interior da mata. Folhas fortemente discolores, com a face abaxial geralmente vinácea. Inflorescência vináceo-esverdeada. Botões florais rosados. Flores com cálice ro","UFP065812",NA,"95","95","2011",NA,NA,"01",NA,NA,NA,"-41.293472","-20.738278",NA
"14","2019-11-13 11:27:52-03","USP","SPF","202860","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","Fiaschi, P","Fiaschi, P","3560","2011","01","24",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional de Pacotuba","-41.293472","-20.738278",NA,NA,"SPF00202860",NA,"95","95","2011",NA,NA,"01",NA,NA,NA,"-41.293472","-20.738278",NA
"15","2019-11-13 11:27:52-03","USP","SPF","191463","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","kuhlmannii",NA,"Oxalis kuhlmannii","Lourteig","Fiaschi, P","Kollmann, L","10724","2008","03","05",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional de Pacotuba","-41.1128005981445","-20.8488998413086",NA,NA,"SPF00191463",NA,NA,NA,"2010","35694","auto","02",NA,NA,NA,NA,NA,NA
