"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","class","relatedCatalogItem","dayIdentified","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","517929","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","J. A. Lombardi","W. W. Thomas","10089","1993","10","22","South America","Brazil","Bahia","Prado","Reserva Florestal da Brasil de Holanda Industrias S.A.; the entrance at Km 18 east of Itamaraju on road to Prado, 8 km from entrance","-39.33","-17.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517929","NY00517929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:20:46-03","ESALQ","ESA","130649","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","35852.0","2013","02","18",NA,"Brasil","São Paulo","Campinas","Fragmento 2 (TAV). Próximo ao Aeroporto de Viracopos. Cerrado.","-22.9643","-47.1821",NA,"Liana","ESA130649","ESA130649","2013","-22.9643","-47.1821","552","552",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:42:49-03","UNICAMP","UEC","155761","S","Plantae","Magnoliopsida",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Santos, LB; Almeida, OJG","472","2009","11","17",NA,"Brazil","São Paulo","Botucatu","Parque Ecológico da Pavuna, Da sede até a trilha a direita até cachoeira e volta por trilha em barranco rochoso.","-46.511111","-22.8375",NA,"Trepadeira, folíolos cartáceos, concentradas na porção distal do ramo, inflorescência na porção proximal, botões e cálice avermelhados, disco amarelo, estigma creme.; Mata Atlântica, floresta estacional semidecídua.","UEC052972","UEC052972","2010","-46.511111","-22.8375","750","750","11",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:42:49-03","UNICAMP","UEC","15730","S","Plantae","Magnoliopsida",NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, JA","Shepherd, GJ","6166","1977","11","25",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Eliza","-47.060001373291","-22.8999996185303",NA,"Trepadeira, flores roxo-esverdeadas.; Nativo em mata na Fazenda Sta. Eliza.",NA,NA,"1996",NA,NA,NA,NA,"05","23900","auto",NA,NA,NA,NA,NA
"5","2020-04-22 16:25:51-03","UFPB","JPB","63432","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","Lombardi, L","Brandão, GS; Silva, GS","186","2013","12","17","Southern America","Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova.","-40.2075004577637","-14.3625001907349",NA,"Trepadeira. Folhas alternas, gavinha oposta à folha.; HABITAT: Mata Atlântica.; DESC: Trepadeira. Folhas alternas, gavinha oposta à folha.","JPB0063432",NA,"2013",NA,NA,NA,NA,"06","31265","auto",NA,NA,NA,NA,NA
"6","2019-11-01 15:28:42-03","PUC-RIO","FCAB","2801","PreservedSpecimen","Plantae",NA,"Angiospermae","Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi","J.A. Lombardi","P. Capell S.J.","s.n.","1953","06",NA,NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,"fora do humbrosis floresta","002801",NA,"1996",NA,NA,NA,NA,"07","33190","auto",NA,NA,NA,NA,NA
"7","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170627","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","Reçu le 4 octobre 1876 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170627' target='other'> <mi>dwc_moreinfo</mi></a>","P03170627","P03170627_01",NA,NA,NA,NA,NA,NA,NA,NA,"8612",NA,NA,NA,NA
"8","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170628","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil. Rio Jan.",NA,NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170628' target='other'> <mi>dwc_moreinfo</mi></a>","P03170628","P03170628_01",NA,NA,NA,NA,NA,NA,NA,NA,"6865",NA,NA,NA,NA
"9","2015-09-04 01:57:05-03","MNHN","RECOLNAT_MNHN_P","P03170630","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Pinheiro, R.S.",NA,"1971","6","15",NA,"Brasil","Bahia",NA,"Rod. R. Branco a Una. Plantação de cacau",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170630' target='other'> <mi>dwc_moreinfo</mi></a>","P03170630","P03170630_01",NA,NA,NA,NA,NA,NA,NA,NA,"1356",NA,NA,NA,NA
"10","2015-09-04 01:57:06-03","MNHN","RECOLNAT_MNHN_P","P03170632","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Glaziou, A.",NA,"1874","1","1",NA,"Brasil","Rio de Janeiro",NA,"Brésil. Province de Rio-Janeiro (Environs)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170632' target='other'> <mi>dwc_moreinfo</mi></a>","P03170632","P03170632_01",NA,NA,NA,NA,NA,NA,NA,NA,"7857",NA,NA,NA,NA
"11","2015-09-04 01:57:06-03","MNHN","RECOLNAT_MNHN_P","P03170633","PreservedSpecimen",NA,NA,NA,"Vitaceae","Cissus","serroniana","Cissus serroniana","(Glaz.) Lombardi",NA,"Miers",NA,"1838","2","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03170633' target='other'> <mi>dwc_moreinfo</mi></a>","P03170633","P03170633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
