"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","imagecode","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-27 13:27:53-03","IAP","PACA-AGP","92273","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","cf. ramboanus","Senecio cf. ramboanus","Cabrera","sem det.","J. Larocca","1989","09","29","Brasil","RS","Guaíba","Parque Ecológico Riocell","-51.3250007629395","-30.113899230957","28343","1 m alt. Erva junto à denso agurpamento de S. brasiliensis, próximo a uma trilha. Capítulos amarelos.&nf;HASU 2674 Habitat: campo próximo a estrada","PACA092273","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:56-03","IAP","PACA-AGP","55927","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","ramboanus","Senecio ramboanus","Cabrera","Emrich-Rambo","Rambo, B.","1954","11","03","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525","76715","Habitat: in campestribus dumetosis Fenofase: flor","PACA055927","auto","1955","04","08",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:27:56-03","IAP","PACA-AGP","54560","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","ramboanus","Senecio ramboanus","Cabrera","B. Rambo SJ","Rambo, B.","1953","11","13","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525","76715","Habitat: in araucarieto Fenofase: flor","PACA054560","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:56-03","IAP","PACA-AGP","54512","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","ramboanus","Senecio ramboanus","Cabrera","A. Cabrera","Rambo, B.","1953","11","13","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525","76715","ISOTYPUS. Habitat: in araucarieto Fenofase: flor","PACA054512","auto",NA,NA,NA,"Isotipo","PACA054512",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:17:13-03","MBM","MBM","202730","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","ramboanus","Senecio ramboanus","Cabrera","Matzenbacher, N.I.","Falkenberg, D.B.","1985","10","29","Brazil","Santa Catarina","Praia Grande","Estrada Praia Grande - Itaimbezinho","-49.9502983093262","-29.1966991424561","21549",NA,"MBM202730","auto",NA,NA,NA,NA,"MBM202730","3003","Southern America",NA,NA,NA,NA
"6","2020-12-11 11:33:31-03","UFMG","BHCB","96669","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","ramboanus","Senecio ramboanus","Cabrera",NA,"Stehmann, JR; Mentz, LA; Fregonezi, JN; Teles, AM","2005","11","25","Brasil","Santa Catarina","Petrolândia","Estrada para Otacílio Costa, próximo do alto da Serrinha.","-49.740278","-27.59",NA,"Plantas do Brasil. Encosta pedregosa. Herbáceo. Capítulos com flores liguladas brancas, do disco amarelas. MATERIAL PRESERVADO EM ÁLCOOL ANTES DA SECAGEM.",NA,NA,NA,NA,NA,NA,NA,"4343","Southern America","-49.740278","-27.59","798","798"
"7","2020-08-20 20:38:13-03","UFSC","FLOR","9591","PreservedSpecimen","Plantae",NA,NA,"Asterales","Asteraceae","Senecio","ramboanus","Senecio ramboanus","Cabrera","Matzenbacher, N.I.","Falkenberg, D.B.","1985","10","29","Brasil","Santa Catarina","Praia Grande","Estrada de Praia Grande a Itaimbezinho.","-49.9502983093262","-29.1966991424561","21549","subarbusto, 0,5m altura","FLOR0009591","auto","1994",NA,NA,NA,NA,"3003",NA,NA,NA,"700","700"
"8","2021-02-08 12:37:04-03","UFRGS","ICN","173452","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","ramboanus","Senecio ramboanus","Cabrera","Schneider, AA","Pasini, E; Schneider, AA; Baumhardt, E; Dal Ri, L","2010","12","10","Brasil","RS","Cambará do Sul","Parque dos Aparados da Serra","-50.1446990966797","-29.0478000640869","30776","Em borda de mata com araucária, no caminho para os cânions, beira de estrada de chão",NA,"auto",NA,NA,NA,NA,NA,"816","América do Sul",NA,NA,"950","950"
"9","2021-02-08 12:37:04-03","UFRGS","ICN","064653","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","ramboanus","Senecio ramboanus","Cabrera","Stehmann, JR; Sobral, M","Stehmann, JR","1985","10","29","Brasil","SC","Praia Grande","Estrada Praia Grande-Cambará do Sul","-49.9502983093262","-29.1966991424561","21549","Erva, flores brancas; Beira de estrada em barranco úmido.",NA,"auto",NA,NA,NA,NA,NA,"736","América do Sul",NA,NA,NA,NA
"10","2021-02-08 12:37:04-03","UFRGS","ICN","106259","S","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","ramboanus","Senecio ramboanus","Cabrera","Matzenbacher, NI","Falkenberg, DB","1985","10","29","Brasil","SC","Praia Grande","Estrada Praia Grande-Itaimbezinho","-49.9502983093262","-29.1966991424561","21549","Doação Herbário FLOR.; Subarbusto; Beira de estrada",NA,"auto",NA,NA,NA,NA,NA,"s.n.","América do Sul",NA,NA,"700","700"
