"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","class"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1201","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E. Gross","Carlos A. Ferreira Jr.","2009","10","26","Juliana Ordones Rego;","Brasil","Minas Gerais","Catas Altas","padre caio","-43.4075012207031","-20.0746994018555","11966","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1253","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E. Gross",NA,NA,NA,NA,"Juliana Ordones Rego;","Brasil",NA,"Catas Altas","Padre Caio","-43.4075012207031","-20.0746994018555","11966","1","254","auto","ordones06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1250","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E. Gross",NA,"2008","07","21",NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça","-43.4152984619141","-19.959400177002","33136","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:46-03","MN","R","212922","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E. Gross",NA,NA,NA,NA,"Guarçoni, E.A.E. 1771; Basílio, L.A.","Brasil","Minas Gerais","Ouro Preto","Serra de Capanema.","-43.584444","-20.195556",NA,NA,NA,NA,NA,"2012","02","23","43°35'4W","20°11'44S","1682","1682","R010005465","R010005465",NA,NA
"5","2020-12-20 21:16:23-03","UFV","VIC","036224","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross.",NA,NA,NA,NA,"Guarçoni, E.; Basílio, L.A.","Brasil","Minas Gerais","Ouro Preto","Serra de Capanema, 1682 m de altitude.","-43.5080986022949","-20.2875003814697","44599",NA,"Campo rupestre quartizitico, afloramento rochoso, saxícola, flores brancas.","auto","1772","2012","02","23",NA,NA,NA,NA,"VIC036224","VIC036224",NA,NA
"6","2020-11-23 12:17:41-03","UFOP","OUPR","35137","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross","Pedrosa, L.G.","2020","02",NA,"Pedrosa, L.G.","Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793","33524",NA,"Erva. Campo rupestre","auto","2534","2020","02","01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-12 10:29:01-03","UFOP","OUPR","34980","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross","Pedrosa, L.G.","2019","12",NA,"Pedrosa, L.G.","Brasil","Minas Gerais","Ouro Preto","APA Estadual Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697","44599",NA,"Erva ca. 20cm, flores brancas. Campo rupestre","auto","2411","2019","12","22",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:43:29-03","UFMG","BHCB","184211","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross",NA,"2016","12","15","Paiva, JAM; Souza, LS; Silva, E; Tomich, S","Brasil","Minas Gerais","Santa Bárbara","RPPN Capivari I","-43.631111","-20.147778",NA,NA,"Herbáceo, 0,05m alt. Rupícola. Resto das flores passadas no centro do Cryptanthus.; Campo Rupestre Quartizito. Área pós queimada.",NA,"1248","2016","12","06","-43.631111","-20.147778","1372","1372",NA,NA,"Southern America",NA
"9","2020-12-11 11:43:29-03","UFMG","BHCB","191556","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross",NA,"2018","08","17","Paiva, JAM; Souza, JAM; Batista, LS","Brasil","Minas Gerais","Mariana","Propriedade Horto Alegria","-43.431389","-20.142778",NA,NA,"Erva, 0,10m. Frutos imaturos verdes claros. Ocorrendo em acúmulo de matéria orgânica. Sinais de herbivoria nas folhas.; Campo Rupestre Quartzítico",NA,"1763","2018","05","15","-43.431389","-20.142778","915","915","BHCB191556",NA,"Southern America",NA
"10","2020-12-11 11:43:29-03","UFMG","BHCB","191559","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross",NA,"2018","08","17","Paiva, JAM; Souza, JAM; Batista, LS","Brasil","Minas Gerais","Mariana","Propriedade Horto Alegria","-43.436944","-20.145278",NA,NA,"Erva, 0,15m. Frutos imaturos verdes. Rosetas avermelhadas; sinais de herbivoria.; Campo Rupestre Quartzítico",NA,"1770","2018","05","17","-43.436944","-20.145278","986","986","BHCB191559",NA,"Southern America",NA
"11","2020-12-11 11:43:29-03","UFMG","BHCB","80044","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E.Gross",NA,NA,NA,NA,"Mota, RC da","Brasil","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555","11966",NA,"Planta coletada em campo rupestre; rupestre; flores brancas","auto","1870","2002","02","16",NA,NA,NA,NA,NA,NA,"Southern America",NA
"12","2020-09-12 05:00:02-03","US","US","2648772","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Hoplocryptanthus","caracensis","Hoplocryptanthus caracensis","(Leme & E. Gross) Leme et al.",NA,NA,NA,NA,"H. S. Irwin, R. M. Harley & E. Onishi","Brazil","Minas Gerais",NA,"The Planalto do Brasil. Serra do Espinhaço. Cerrado, sedge meadow (brejo), sandstone outcrops, and gallery forest, ca. 10km W. of Barão de Cocais.",NA,NA,NA,"1",NA,NA,"29021","1971","1","24",NA,NA,"1500",NA,NA,NA,"South America - Neotropics","Monocotyledonae"
