"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","county","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","continentOcean","barcode","imagecode","individualCount","class"
"1","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0036305","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","monteiroi","Abutilon monteiroi","Krapov.","A. Krapovickas","G. Hatschbach; M. Hatschbach, V. Nicolack","54157","1990","6","12","Brazil","Minas Gerais","Grao Mogol, arredores.","-42.9","-16.5667","950","Arbusto 2 m, flor creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:17:47-03","UNICAMP","UEC","10137","S","Plantae","Magnoliopsida",NA,"Malvaceae","Abutilon","monteiroi","Abutilon monteiroi","Krapov.","Kraprovickas, A","Irwin, HS; Reis dos Santos, R; Ramos, J; Sousa, R; Fonseca, SF","28033","1970","03","21","Brazil","Minas Gerais",NA,NA,NA,"900","Shub ca. 3m tall. Corolla cream(mostly in bud). Fruit green. Cut-over gallery forest in deep valley, ca. 17km E. of Dimantina. Elev. 900m","1987","02","Serra Do Espinhaço","900",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:53:32-03","UCS","HUCS","13254","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell","Krapovickas, A.","Hatschbach, G.","54157","1990","06","12","Brasil","Minas Gerais","arredores","-42.8897018432617","-16.5594005584717","950","arbusto 2m, flor creme, afloramnetos rochosos; campo rupestre","1991",NA,"Grão Mogol","950","67219","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:33:00-03","MBM","MBM","19751","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","monteiroi","Abutilon monteiroi","Krapov.","Takeuchi, C.","Hatschbach, G.; Pelanda, P.; Pelanda, P.","27923","1971","11","14","Brazil","Minas Gerais","Guinda","-43.6002998352051","-18.2493991851807","1300","Afloramentos rochosos encosta de morro","2010","03","Diamantina","1300","101169","auto","22","Southern America","MBM019751","MBM019751",NA,NA
"5","2020-12-21 16:33:00-03","MBM","MBM","137990","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","monteiroi","Abutilon monteiroi","Krapov.","Krapovickas, A.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54157",NA,NA,NA,"Brazil","Minas Gerais","Grão Mogol, arredores","-42.8897018432617","-16.5594005584717",NA,"Arbusto 2m, flor creme. Campo rupestre, afloramentos rochosos",NA,NA,"Grão Mogol",NA,"67219","auto",NA,"Southern America","MBM137990","MBM137990",NA,NA
"6","2021-02-11 17:19:29-03","UFPR","UPCB","19161","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnel","Krapovickas, A.","Hatschbach, G.","54157","1990","06","12","Brasil","Minas Gerais","Arredores","-42.8897018432617","-16.5594005584717","950","Arbusto, 2m, flor creme. Campo rupestre, afloramento rochoso..","1991","01","Grão Mogol","950","67219","auto","01",NA,NA,NA,NA,NA
"7","2013-05-01 09:54:00-03","MO","MOBOT","3038548","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell","Aliya A. Donnell (BHO)","Gert G. Hatschbach|Maria M. Hatschbach|V. Nicolack","Hatschbach 54157","1990","6","12","Brazil","Minas Gerais","Grão Mogol, arredores.",NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"1",NA
"8","2020-09-12 05:00:02-03","US","US","3231924","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell",NA,"M. M. Hatschbach & V. Nicolack","54157","1990","6","12","Brazil","Minas Gerais","Grao Mogol, arredores.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"1","Dicotyledonae"
"9","2019-11-13 11:24:45-03","USP","SPF","41058","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell","Esteves, GL","Pirani, JR","CFCR8901","1986","01","06","Brasil","Minas Gerais","Morro do Chapéu","-42.8622016906738","-16.8003005981445","1200",NA,"1993","07","Cristália","1200","30029","auto",NA,NA,"SPF00041058","SPF00041058",NA,NA
"10","2019-11-13 11:24:45-03","USP","SPF","70638","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell","Krapovickas, A","Hatschbach, G","54157","1990","06","12","Brasil","Minas Gerais",NA,"-42.8897018432617","-16.5594005584717",NA,NA,"1991",NA,"Grão Mogol",NA,"67219","auto",NA,NA,"SPF00070638","SPF00070638",NA,NA
"11","2019-11-13 11:24:45-03","USP","SPF","22772","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell","Esteves, GL","Cordeiro, I","CFCR842","1981","04","13","Brasil","Minas Gerais","Campos rupestres atrás da cidade.","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"Grão Mogol",NA,"67219","auto",NA,NA,"SPF00022772","SPF00022772",NA,NA
"12","2019-11-13 11:24:45-03","USP","SPF","68109","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Callianthe","monteiroi","Callianthe monteiroi","(Krapov.) Donnell","Colli-Silva, M","Silva, TRS","CFCR12519","1989","12","11","Brasil","Minas Gerais","Trilha da Tropa, no alto da serra.","-42.8897018432617","-16.5594005584717","1000",NA,"2018","01","Grão Mogol","1200","67219","auto",NA,NA,"SPF00068109","SPF00068109",NA,NA
