"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:26:02-03","UNESC","CRI","12139","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","Stival-Santos, A","2010","03","15","Stival-Santos, A.; Legal, E. & Silveira, S.","1509","2010","01","27","Brasil","Santa Catarina","Angelina","Coqueiral.","-49.049722","-27.54","49º2'59''W","27º32'24''S","835","835","Florística IFFSC 348 (Arvoreta) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; interior do fragmento Habito: arvoreta;","CRI010317","CRI010317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","9021","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","A. Stival-Santos","2010","06","16","A. Stival-Santos; E. Legal & S. Silveira","2993","2010","06","16","Brasil","Santa Catarina","Biguaçu","Instituto Itaúna de Educação Ambiental.","-48.69","-27.45","48º41'24''W","27º27'0''S","6","6","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009436","CRI009436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:02-03","UNESC","CRI","9082","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","Marcos Sobral","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","967","2009","10","07","Brasil","Santa Catarina","Gaspar","Gaspar Alto, Rua Hésio Silveira de Souza.","-49.050833","-27.000556","49º3'3''W","27º0'2''S","215","215","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009434","CRI009434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:06-03","UNESC","CRI","9358","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","A. Stival-Santos","2010","06","23","A. Stival-Santos; E. Legal & S. Silveira","3142","2010","06","23","Brasil","Santa Catarina","Águas Mornas","Rio Cubatão.","-48.960833","-27.809722","48º57'39''W","27º48'35''S","620","620","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009438","CRI009438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:06-03","UNESC","CRI","9631","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","M. Verdi","2010","07","02","M. Verdi; B. Burkhardt & G. Klemz","5144","2010","07","02","Brasil","Santa Catarina","São Bonifácio","Rio Poncho.","-48.869722","-27.99","48º52'11''W","27º59'24''S","623","623","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009437","CRI009437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:02-03","UNESC","CRI","12140","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","Stival-Santos, A","2010","03","09","Stival-Santos, A.; Legal, E. & Silveira, S.","1675","2010","02","05","Brasil","Santa Catarina","Antônio Carlos","Santa Maria.","-48.870278","-27.539444","48º52'13''W","27º32'22''S","220","220","Florística IFFSC 350 (Arvoreta) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; entorno do fragmento Habito: arvoreta; Fruto verde; flor amarela","CRI010318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:02-03","UNESC","CRI","9120","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner",NA,NA,NA,NA,"L.A. Funez","385","2012","02","24","Brasil","Santa Catarina","Blumenau","Campus I - FURB.","-49.078889","-26.905278","49º4'44''W","26º54'19''S","38","38","Floresta Ombrófila Densa Habitat: borda da mata Habito: arbustiva","CRI009435","CRI009435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:02-03","UNESC","CRI","9636","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","M. Sobral","2010","08","15","A. Korte; A. Kniess","2255","2010","03","19","Brasil","Santa Catarina","Apiúna","Jundiá.","-49.32","-27.09","49º19'12''W","27º5'24''S","358","358","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI009440","CRI009440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:02-03","UNESC","CRI","9089","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","A. A. de Oliveira","2011","03","22","A. Korte","6096","2011","03","07","Brasil","Paraíba","Massaranduba","Guarani.","-35.789444","-7.200833","35º47'22''W","7º12'3''S","335","335","Floresta Ombrófila Densa","CRI009439","CRI009439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:06-03","UNESC","CRI","9366","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nemorosa","Psychotria nemorosa","Gardner","M. Sobral","2010","10","25","A. Korte; A. Kniess","4613","2010","10","13","Brasil","Santa Catarina","Águas Mornas","Rio Miguel.","-48.960833","-27.720278","48º57'39''W","27º43'13''S","460","460","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI009433","CRI009433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
