"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:42-03","UNESC","CRI","2131","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","R. M. Klein","3434","1962","12","07","Brasil","Santa Catarina","Caçador","Rio do Bugre.","-51.015278","-26.775833","51º0'55''W","26º46'33''S","933","933","Habito: arbórea","CRI004616","CRI004616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:34-03","UNESC","CRI","2130","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","Reitz; Klein",NA,"1962","12","20","Brasil","Santa Catarina","Campos Novos",NA,"-51.225278","-27.402222","51º13'31''W","27º24'8''S",NA,NA,"Habitat: Pinhal Habito: árvore","CRI004606","CRI004606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:42-03","UNESC","CRI","489","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","Fátima E. Marcomin","Fátima E. Marcomin",NA,"1990","11","05","Brasil","Santa Catarina","Tubarão",NA,"-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11",NA,"CRI004609","CRI004609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:34-03","UNESC","CRI","2122","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","R. M. Klein","3643","1962","12","09","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S",NA,NA,"Habitat: Imbuial Habito: arbórea","CRI004613","CRI004613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:34-03","UNESC","CRI","14223","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","Cadorin, TJ","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1198","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso. Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Florística IFFSC e1025a (Arbórea) - forófito 4 Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: arbórea;","CRI013381","CRI013381","2010","03","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:34-03","UNESC","CRI","6898","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","Reitz; Klein",NA,"1962","12","20","Brasil","Santa Catarina","Campos Novos",NA,"-51.225278","-27.402222","51º13'31''W","27º24'8''S",NA,NA,"Habitat: Pinhal Habito: árvore","CRI004610","CRI004610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:42-03","UNESC","CRI","10198","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","M. G. Caxambu","J.T. Tanaka; et al.",NA,"2011","04","08","Brasil","Paraná","Assis Chateaubriand","Parque Municipal São Francisco.","-53.527778","-24.401667","53º31'40''W","24º24'6''S","356","356","Habito: árvore heliófita","CRI004607","CRI004607","2011","05","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:42-03","UNESC","CRI","6623","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","T. D. Pennington","R. M. Klein","3434","1962","12","07","Brasil","Santa Catarina","Caçador",NA,"-51.012222","-26.776111","51º0'44''W","26º46'34''S",NA,NA,NA,"CRI004604","CRI004604","1981","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:42-03","UNESC","CRI","4183","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","Marcos Sobral","Valdemar Boff","375","1995","11","30","Brasil","Santa Catarina","Urussanga",NA,"-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","Habito: arbórea","CRI004614","CRI004614","1997","04","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:42-03","UNESC","CRI","2106","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.","R. M. Klein","R. M. Klein; J. A. Lopez",NA,"1971","01","29","Paraguai",NA,"Paraguai",NA,"-57.884722","-21.703333","57º53'5''W","21º42'12''S","102","102",NA,"CRI004605","CRI004605","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
