"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1552436","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","multiflora","Senefeldera multiflora","Mart.","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1943217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552436","NY01552436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","8365","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","multiflora","Senefeldera multiflora angustifolia","Müll.Arg.","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008365","NY00008365_01","angustifolia","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","642500","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","multiflora","Senefeldera multiflora","Mart.","A. M. Amorim","892","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642500","NY00642500_01",NA,NA,"G. L. Webster","1992","12","14","Bahia","Itacaré","Estrada Itacaré/Taboquinhas, ca 6 km de Itacaré. Loteamento da Marambaia","-39.026455","-14.310972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039167","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","multiflora","Senefeldera multiflora","Mart.","R. R. Guedes","2254","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482130' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039167","NY01039167_01",NA,NA,NA,"1991","10","29","Rio de Janeiro","Guapimirim","Estação Estadual de Paraíso. Parcela 8A. Área 08A.","-42.883","-22.483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","273267","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","multiflora","Senefeldera multiflora","Mart.","Martii Herbar. Florae Brasil.","465","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273267","NY00273267_01",NA,"isotype",NA,"1834",NA,NA,NA,NA,"In sylvis ad Macahé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","8365","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","multiflora","Senefeldera multiflora angustifolia","Müll.Arg.","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008365","NY00008365_01","angustifolia","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1462212","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","verticillata","Senefeldera verticillata","(Vell.) Croizat","J. D. García-González","1459","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462212","NY01462212_01",NA,NA,"J. D. García-González","2010","03","04","Pernambuco","Igarassu","Usina São José. Mata de Piedade.","-35.0078","-7.8364","79","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","822731","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","verticillata","Senefeldera verticillata","(Vell.) Croizat","P. Fiaschi","2582","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822731","NY00822731_01",NA,NA,"P. Fiaschi","2004","10","30","Bahia","Valença","RPPN Fazenda Água Branca. Distrito de Jequiriça. Estrada de Valença para Guaibim, ca. 2 km, entrada à esq., 8 km rumo à sede da reserva.","-39.0902778","-13.3288889","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540548","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","verticillata","Senefeldera verticillata","(Vell.) Croizat","S. A. Mori","14032","South America","Brazil","sheet","Site: R. Voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540548","NY00540548_01",NA,NA,"H.-J. Esser","1981","05","14","Bahia","Una","Border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 146-C","-39.1202492","-15.1148921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02715734","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Senefeldera","verticillata","Senefeldera verticillata","(Vell.) Croizat","M. N. Oliveira","140","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505392' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715734","NY02715734_01",NA,NA,"J. A. Kallunki","2011","10","07","Bahia","Itamari","Fazenda Mesquita","-39.6281","-13.7172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
