"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","class","order","recordNumber","continentOcean","stateProvince","individualCount","phylum","decimalLongitude","decimalLatitude","identifiedBy","verbatimLongitude","verbatimLatitude"
"1","2016-01-21 18:02:08-02","MNHN","RECOLNAT_MNHN_P","P02286033","PreservedSpecimen","Malvaceae","Sterculia","albidiflora","Sterculia albidiflora","Ducke","isotype","Ducke, A.","18105","1923","8","4","Brésil","Rio Tapajoz (Para) silva callina prope cataratam Montauha","hb","Herbario <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286033' target='other'> <mi>dwc_moreinfo</mi></a>","P02286033","P02286033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","1443779","PreservedSpecimen","Sterculiaceae","Sterculia","albidiflora","Sterculia albidiflora","Ducke","Isotype","A. Ducke",NA,"1923",NA,NA,"Brazil","Rio Tapajoz.",NA,NA,"US00624061","US00624061_01","Plantae","Dicotyledonae","Malvales","18105","South America - Neotropics","Pará","1",NA,NA,NA,NA,NA,NA
"3","2019-09-04 18:10:23-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Sterculiaceae","Sterculia","albidiflora","Sterculia albidiflora",NA,"Isotype","A. Ducke",NA,"1923","8","4","Brazil",NA,NA,NA,NA,NA,"Plantae","Dicotyledoneae",NA,NA,"South America",NA,NA,"Spermatophyta","-52.8731","-10.8339",NA,NA,NA
"4","2020-05-22 17:52:56-03","UFMT","UFMT","11155","S","Sterculiaceae","Sterculia","albidiflora","Sterculia albidiflora","Ducke","Isotype","Ducke, A.",NA,"1923","08","04","Brasil","Rio Tapajós, morro da montanha.",NA,"árvore grande flores esbranquiçadas.","UFMT00011155",NA,"Plantae",NA,NA,"s.n.",NA,"Pará",NA,NA,NA,NA,NA,NA,NA
"5","2014-09-23 10:58:37-03","G","G","G00358594","S","Malvaceae","Sterculia","albidiflora","Sterculia albidiflora","Ducke","ISOTYPUS of Sterculia albidiflora Ducke","Ducke, A.",NA,"1923","08","04","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00358594",NA,"Plantae",NA,NA,"18105","AMERIQUE DU SUD","Pará",NA,NA,"-52.53","-5.64861111","Ducke, A.","-52.53","-5.64861111"
