"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","861231","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","H. S. Irwin","21704","1968","03","23","South America","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 27 km S. of Paraíso.","-47.53","-14.38","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861231","NY00861231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-24 17:10:31-03","UTFPR","DVPR","4646","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Caxambu, MG; et al.","6136","2015","04","24",NA,"Brasil","Minas Gerais","Delfinópolis","Estância Jo, próxima à Serra da Canastra","-46.54088","-20.17528","670","670",NA,"erva ca. 0,45 m, heliófita, pilosa. Capítulos alvos.; Relevo: ondulado - Vegetação:Savana (campo sujo).","DVPR004646",NA,"Barboza, E","2015","-46.54088","-20.17528",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:24:53-03","PUCPR","HUCP","21391","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(Dc.) Sch.Bip.","Ribas, OS; Silva, JM","7624","2007","04","12",NA,"Brasil","Minas Gerais","Patos de Minas","Moreira","-46.5181007385254","-18.5788993835449",NA,NA,NA,NA,"HUCP00007770","HUCP00007770","Nakajima, JN",NA,NA,NA,"69541","auto",NA,NA,NA,NA,NA
"4","2020-05-19 10:29:39-03","UFBA","ALCB","132974","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Sevilha, AC","3727","2004","03","23","Southern America","Brasil","Tocantins","Paranã","Fazenda São João. Prop. Aldair freire. Ponto 15","-47.618056","-12.913889","339","339",NA,"Flores rosa.; Campo úmido","ALCB049773","ALCB049773","Bringel Júnior, JBA","2004","-47.618056","-12.913889",NA,NA,"08",NA,NA,NA,NA
"5","2020-05-19 10:29:39-03","UFBA","ALCB","111960","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch. Bip.","Ribas, OS; Silva, JM","7624","2007","04","12","Southern America","Brasil","Minas Gerais","Patos de Minas","Moreira","-46.5181007385254","-18.5788993835449",NA,NA,NA,"1m, capítulo alvo.",NA,NA,"Nakajima, JN","2009",NA,NA,"69541","auto",NA,NA,NA,NA,NA
"6","2021-01-24 13:06:29-03","MN","R","48256","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.-Bip.","Dusén, P.K.H.","3972",NA,NA,NA,NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Esteves, R.L.","1998",NA,NA,NA,NA,"10","16",NA,NA,NA
"7","2020-11-19 10:22:53-03","CPAP","CPAP","13726","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Hatschbach, G.","58747","1993","02","09",NA,"Brasil","MS","Ponta Porã","Ponta Porã, km 22 O na rodovia para Antonio João","-55.7256011962891","-22.5361003875732",NA,NA,NA,". FLOR: capítulo lilás. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo rochoso, encosta de colinas. SUBSTRATO: . RELEVO: .",NA,NA,"H. Robinson","1993",NA,NA,"102608","auto",NA,NA,NA,NA,NA
"8","2020-11-19 10:22:53-03","CPAP","CPAP","5485","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","Pott, A.","4361","1988","09","10",NA,"Brasil","MS","Corumbá","Fazenda Barrinhos, Sub-região da Nhecolândia, Pantanal","-57.6533012390137","-19.0091991424561","90","90",NA,"Erva ereta. FLOR: branca. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Ocasional. AMBIENTE: Cordilheira (paleodique) com cerrradao dematado, não alagável. SUBSTRATO: solo arenoso podzol hidromórfico. RELEVO: plano convexo.",NA,NA,"A. C. Fernandes","2013",NA,NA,"295160","auto","09",NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0057859","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","O. S. Ribas; J. M. Silva","7624","2007","4","12",NA,"Brazil","Minas Gerais",NA,"Moreira (Mun. Patos de Minas).","-46.5333","-18.5833",NA,NA,NA,"Herbácea, até 1 m, capítulo alvo.",NA,NA,"J. N. Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:32:10-03","UFJF","CESJ","39955","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Praxelis","grandiflora","Praxelis grandiflora","(DC.) Sch.Bip.","L.C.S. Assis; M.S. Magalhães","669","2003","02","18","América do Sul","Brasil","Minas Gerais","Barroso","Mata do Baú","-43.9757995605469","-21.1868991851807",NA,NA,NA,"Subarbusto no campo cerrado, indumento cinéreo no caule, folhas concolores, pappus verde claro, flores de coloração lilás.","CESJ039955",NA,"J.N. Nakajima","2004",NA,NA,"7934","auto","11",NA,NA,NA,NA
