"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","imagecode","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","03696709","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","F. B. Matos","2535","2016","01","24","South America","Brazil","Rio de Janeiro","Teresópolis","Parque nacional da Serra dos Órgãos, Trilha da Pedro do Sino, próximo à Cachoeira Véu da Noiva.","-43.0133","-22.4483","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3945891' target='other'> <mi>dwc_moreinfo</mi></a>","NY03696709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:36:19-03","IAP","PACA-AGP","97121","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","Jose de Paula Lana Sobrinho","1674",NA,NA,NA,NA,"Brasil","RJ",NA,"parque nacional da serra dos órgãos",NA,NA,NA,NA,"Habitat: rupícola","PACA097121","Filicopsida","A. Sehenm","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-02 19:02:18-03","UFJF","CESJ","14334A","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","L. Krieger","CESJ14334A","1976","09","25","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,"Na mata, sobre pedras, lugares luminosos e úmidos. Material misturado com Lytoneuron ornithopus (CESJ 14334)","CESJ14334A",NA,"N.S. Smith-Braga","2019","12","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-02 19:02:18-03","UFJF","CESJ","65256","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","V.A.O. Dittrich; L.V. Lima; E.J.O. Furtado","1918","2014","09","14","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra da Bandeira","-44.000056","-22.020944","1640",NA,"Terrícola em mata de grotão","CESJ065256",NA,"N.S. Smith-Braga","2019","12","11","-44.000056","-22.020944","1640",NA,NA,NA,NA,NA,NA
"5","2020-01-02 19:02:18-03","UFJF","CESJ","47051","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","P.L. Viana; N.F.O. Mota","1999","2006","02","26","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Burro de ouro","-43.8278007507324","-22.0891990661621",NA,NA,"terrestre, em barranco, à beira de riacho. Inteior de mata nebular","CESJ047051",NA,"N.S. Smith-Braga","2019","12","11",NA,NA,NA,"20815","auto",NA,NA,NA,NA
"6","2020-01-02 19:02:18-03","UFJF","CESJ","47084","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","P.L. Viana; N.F.O. Mota","1941","2006","02","26","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Burro de ouro","-43.8278007507324","-22.0891990661621",NA,NA,"Planta rupícola em campo de altitude","CESJ047084",NA,"N.S. Smith-Braga","2019","12","11",NA,NA,NA,"20815","auto",NA,NA,NA,NA
"7","2020-01-02 19:02:18-03","UFJF","CESJ","49080","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","F.S. Souza; N.L. Abreu; L. Menini Neto","248","2006","07","27","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da Égua","-43.8278007507324","-22.0891990661621",NA,NA,"Rupícola em campo de altitude","CESJ049080",NA,"N.S. Smith-Braga","2019","12","11",NA,NA,NA,"20815","auto",NA,NA,NA,NA
"8","2021-03-31 19:17:48-03","UCS","HUCS","51588","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","rosenstockii","Lytoneuron rosenstockii","(Brade) Yesilyurt","Gonzatti, F.","3975","2017","11","18",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos. PARNASO - Parque Nacional.","-43.016306","-22.454028","1587",NA,"1587 - 2034m; Erva rosetada em barranco seco. Margem de mata junto à trilha . Região da Véu de Noiva.","HUCS007530",NA,"Gonzatti, F.","2021","02",NA,"-43.016306","-22.454028","1587",NA,NA,NA,NA,NA,NA
"9","2015-09-03 16:32:20-03","MNHN","RECOLNAT_MNHN_P","P01248039","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","Damazio, L.B.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Prope Ouro Preto",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01248039' target='other'> <mi>dwc_moreinfo</mi></a>","P01248039",NA,"Tryon",NA,NA,NA,NA,NA,NA,NA,NA,"729","P01248039_01",NA,NA
"10","2020-09-29 14:53:46-03","UFPR","UPCB","92393","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","Matos, F.B. | Royer, C.A.","2535","2016","01","24",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha da Pedra do Sino, próximo à Cachoeira Véu de Noiva.","-43.013333","-22.448333","1500",NA,"No humus acumulado sobre rocha ao lado da trilha. Floresta Ombrófila Densa Montana. .","UPCB0034350",NA,"F.B. Matos","2016","01",NA,"-43.013333","-22.448333","1500",NA,NA,NA,"UPCB0034350",NA,NA
"11","2020-09-12 05:00:02-03","US","US","1917512","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","A. C. Brade","16346","1940","7","11","South America","Brazil",NA,NA,"Procedencia Brasil: Est. do Rio, Serra dos Orgaos, Sete Quedas.",NA,NA,"1500",NA,NA,"US01498193","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US01498193_01","1",NA
"12","2020-09-12 05:00:02-03","US","US","2083110","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","A. C. Brade","16346","1940","7","11","South America","Brazil","Río de Janeiro",NA,"Estado do Rio, Serra dos Orgaos, Sete Quedas.",NA,NA,"1500",NA,NA,"US01912887","Pteridophyte","Yesilyurt, J. C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"US01912887_01","1",NA
"13","2021-01-12 15:24:47-03","UFMG","BHCB-SL","119279","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","Salino, A","13270","2008","04","29","América","Brasil","Minas Gerais","Rio Preto","Serra do Funil;","-43.888611","-21.973333","1400",NA,"Terrestre entre rochas em campo rupestre.",NA,NA,"Salino, A","2008","04","29","-43.888611","-21.973333","1400",NA,NA,NA,NA,NA,NA
"14","2021-01-12 15:24:47-03","UFMG","BHCB-SL","107529","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","Almeida, TE; Souza, FS; Mota, NFO; Viana, PL; Norderstam, B; Antunes, K; Abreu, NL","756","2007","04","10","América","Brasil","Minas Gerais","Rio Preto","Serra do Funil;","-43.879361","-21.964139",NA,NA,"Rupícola em área de campo rupestre.",NA,NA,"Almeida, TE; Salino, A","2007","05",NA,"-43.879361","-21.964139",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-07 11:19:47-03","UFMG","BHCB-SL","143277","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","rosenstockii","Doryopteris rosenstockii","Brade","Viana, MM; Almeida, TE","1","2008","07","03","América","Brasil","Minas Gerais","Caeté","Serra da Piedade, Campos rupestres","-43.669333","-19.823889","1476",NA,"Erva rupícola em paredão rochoso",NA,NA,"Almeida, TE","2008","07","03","-43.669333","-19.823889","1476",NA,NA,NA,NA,NA,NA
