"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","yearIdentified","monthIdentified","dayIdentified"
"1","2020-09-23 10:39:56-03","E","E","348403","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum","unspecified kind of","Spruce, Richard","2334","E. Tropical South America","BR","Prope San Gabriel da Cackseras ad Rio Negro","herbarium specimen of unspecif","BGBASE:429815","<a href=http://data.rbge.org.uk/herb/E00348403 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00348403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02566137","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"J. M. Pires","16391","South America","Brazil","Sararé, RADAMBRASIL; folha SD 21-YC; ponto 28; Vegetaçao de Catinga amazônica baixa","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2827286' target='other'> <mi>dwc_moreinfo</mi></a>","NY02566137","Pteridophyta","Hymenophyllales","Hook.","1978","08","04","Mato Grosso","-58.92","-13.83","NY02566137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2566138","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"B. W. Nelson","905","South America","Brazil","Rio Cuieiras, pouco abaixo do rio Branquinho.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2827287' target='other'> <mi>dwc_moreinfo</mi></a>","NY02566138","Pteridophyta","Hymenophyllales","Hook.","1980","12","20","Amazonas","-60.3200322","-2.5458764","NY02566138_01","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3934173","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"J. A. Steyermark","57823","South America","Venezuela","Territorio Federal Amazonas: between Esmeralda Savana and southeastern base of Cerro Duida.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4220710' target='other'> <mi>dwc_moreinfo</mi></a>","NY03934173","Pteridophyta","Hymenophyllales","Hook.","1944","08","22",NA,NA,NA,"NY03934173_01",NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-19 10:08:00-02","NY","NYBG","1414809","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"W. Rodriguez","7417","South America","Colombia","Vegetación a orilla del caño Yi.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2420824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01414809","Pteridophyta","Hymenophyllales",NA,"2012","07","12","Vaupés","-70.3222","1.1381","NY01414809_01","Mitú","200","Determiner unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2566141","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"D. W. Stevenson","762","South America","Brazil","Rio Negro, near mouth of Rio Xié, Vista Alegre, opposite São Marcelino","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2827290' target='other'> <mi>dwc_moreinfo</mi></a>","NY02566141","Pteridophyta","Hymenophyllales","Hook.","1987","10","21","Amazonas","-67.216667","0.916667","NY02566141_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2566142","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"D. W. Stevenson","727","South America","Brazil","Rio Negro, east bank at ilha Tamandúa (locally Ilha Marajó), near Carapana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2827291' target='other'> <mi>dwc_moreinfo</mi></a>","NY02566142","Pteridophyta","Hymenophyllales","Hook.","1987","10","18","Amazonas","-67.27","0.1","NY02566142_01",NA,"110",NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3934172","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"M. J. Jansen-Jacobs","1637","South America","Guyana","Kamoa River. Swamp Between camp and Toucan Mountain.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4220709' target='other'> <mi>dwc_moreinfo</mi></a>","NY03934172","Pteridophyta","Hymenophyllales","Hook.","1989","09","17",NA,"-58.83","1.53",NA,NA,"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3934175","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"D. Clarke","3092","South America","Guyana","Kamoa Mts., 0-2 km N of camp on Kamoa River.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4220712' target='other'> <mi>dwc_moreinfo</mi></a>","NY03934175","Pteridophyta","Hymenophyllales","Hook.","1996","11","11","Upper Takutu-Upper Essequibo","-58.82","1.52",NA,NA,"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2566140","PreservedSpecimen","Plantae","Hymenophyllaceae","Trichomanes","spruceanum","Trichomanes spruceanum",NA,"S. A. Mori","21924","South America","Brazil","Rio Cuieras, Lago Jaradá.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2827289' target='other'> <mi>dwc_moreinfo</mi></a>","NY02566140","Pteridophyta","Hymenophyllales","Hook.","1991","08","05","Amazonas","-60.3529429","-2.6996631","NY02566140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
