"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","class","individualCount","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1019589","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","M. das G. L. Wanderley","D. C. Zappi","997","2008","02","02","South America","Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino. Limite E do parque, acesso pela Fazenda AJJ.","-55.1983","-9.95028","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286991' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019589","NY01019589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-26 09:48:12-03","MNHN","RECOLNAT_MNHN_P","P00646303","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil","Minas Gerais",NA,"Province de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646303' target='other'> <mi>dwc_moreinfo</mi></a>","P00646303","P00646303_01","B1 447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","2999599","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Martins","Martins, *","Martins s.n.","1892",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2142225","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.",NA,"C. Rondon","1622","1917","2",NA,"South America - Neotropics","Brazil","Mato Grosso",NA,"Mato Grosso, Serra da Paca Nova, extremo Norte de.G.",NA,NA,NA,NA,"US01916021","US01916021_01",NA,"Monocotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-04 20:01:29-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia",NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA
"6","2019-05-06 12:03:00-03","UFU","HUFU","42534","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.L.","Ramos, M.V.V.","s.n.","2003",NA,NA,NA,"Brasil","Minas Gerais",NA,"Região do Triângulo Mineiro","-48.308056","-19.006389",NA,"Vereda.","HUFU00033115","HUFU00033115",NA,NA,NA,NA,"2005","03","18","-48.308056","-19.006389",NA,NA
"7","2019-05-06 12:03:00-03","UFU","HUFU","42535","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.L.","Ramos, M.V.V.","s.n.","2003",NA,NA,NA,"Brasil","Minas Gerais",NA,"Região do Triângulo Mineiro","-48.141944","-19.088056",NA,"Vereda.","HUFU00033116","HUFU00033116",NA,NA,NA,NA,"2005","03","18","-48.141944","-19.088056",NA,NA
"8","2019-05-06 12:03:00-03","UFU","HUFU","42536","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.L.","Ramos, M.V.V.","s.n.","2003",NA,NA,NA,"Brasil","Minas Gerais",NA,"Região do Triângulo Mineiro","-48.126111","-19.100833",NA,"Vereda.","HUFU00033117","HUFU00033117",NA,NA,NA,NA,"2005","03","18","-48.126111","-19.100833",NA,NA
"9","2019-05-06 12:03:00-03","UFU","HUFU","37451","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.","Oliveira, G.C.","1869","2002","12","23",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Estiva, A 10 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,"Herbácea ca. de 0,35 m.; Vereda.","HUFU00033125","HUFU00033125",NA,NA,NA,NA,"2005","03","18",NA,NA,"58223","auto"
"10","2019-05-06 12:03:00-03","UFU","HUFU","41483","S","Plantae",NA,NA,"Xyridaceae","Xyris","longifolia","Xyris longifolia","Mart.","Wanderley, M.G.L.","Oliveira, G.C.","2621","2002","11","25",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinusplan, A 6 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,"Herbácea ca. de 0,30 m. Amarela.; Vereda.","HUFU00033119","HUFU00033119",NA,NA,NA,NA,"2005","11","25",NA,NA,"58223","auto"
