"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","year","class","individualCount","stateProvince","month","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","345946","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Colanthelia","macrostachya","Colanthelia macrostachya","(Nees) McClure","A. P. Santos-Gonçalves","not a type","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345946","NY00345946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:12-03","EAO","IAN","64821","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Colanthelia","macrostachya","Colanthelia macrostachya","(Nees) McClure","Londoño, X",NA,"sc","s.n.","Southern America","Brasil",NA,NA,NA,"IAN064821",NA,"1992","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2010-08-24 09:46:00-03","MO","MOBOT","229733","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,"Holotype","F. Sellow","Sellow s.n.","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1814",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2011-02-28 15:25:00-03","MO","MOBOT","1767053","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Colanthelia","macrostachya","Colanthelia macrostachya","(Nees) McClure",NA,NA,"Peter W. Lund","Lund s.n.","South America","Brazil","Gravara ved Mugi [Mugy] dos Cruzes, furta flumen Tielé",NA,NA,NA,NA,NA,NA,"1833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","557550","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,"Type collection","F. Sellow","s.n.","South America - Neotropics","Brazil","[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,"Specimen annotated (2007) as lectotype by A.P. Santos-Gonçalves.","US00131546","US00131546_01",NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2809017","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,"Possible type","F. Sellow","s.n.","South America - Neotropics","Brazil","[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,"Photographs and fragmentary material of type specimens ex herb. Berlin. [materials on sheet have come loose and label/specimen/photo associations are uncertain]","US00139478","US00139478_01",NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1817085","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,"Possible type","F. Sellow","546","South America - Neotropics","Brazil",NA,NA,NA,"US00030338","US00030338_01",NA,NA,NA,"Monocotyledonae","1","Minas Gerais",NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","1021442","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Colanthelia","macrostachya","Colanthelia macrostachya","(Nees) McClure","Santos-Goncalves, A. P.",NA,"-- Lund","s.n.","South America - Neotropics","Brazil","mugy dai cruzes, junta flumen tiete",NA,NA,"US00011236","US00011236_01",NA,NA,"1833","Monocotyledonae","1",NA,"11",NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3208207","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Colanthelia","macrostachya","Colanthelia macrostachya","(Nees) McClure","Santos-Goncalves, A. P.",NA,"Riedel, --","1634","South America - Neotropics","Brazil",NA,NA,NA,"US00362077","US00362077_01",NA,NA,NA,"Monocotyledonae","1","Minas Gerais",NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","1126304","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Colanthelia","macrostachya","Colanthelia macrostachya","(Nees) McClure",NA,NA,"-- Lund","651","South America - Neotropics","Brazil","Gravana, mugi dos cruzeo",NA,NA,"US00011237","US00011237_01",NA,NA,"1833","Monocotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,NA,"Riedel, L","s.n.","Southern America","Brazil","prope Lorena prov. S. Pauli",NA,NA,NA,"P02P3N0045",NA,NA,NA,NA,NA,"São Paulo",NA,"Lorena","-45.12","-22.73","27246","auto"
"12","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,NA,"Riedel, L","s.n.","Southern America","Brazil","prope Lorena prov. S. Pauli",NA,NA,NA,"P02P3N0045",NA,NA,NA,NA,NA,"São Paulo",NA,"Lorena","-45.12","-22.73","27246","auto"
"13","2017-09-11 17:12:36-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Poaceae","Arundinaria","macrostachya","Arundinaria macrostachya","Nees",NA,NA,"Lund, PW","1833","Southern America","Brazil","in fossis prope Mugy dos Cruzes secundum Tieté fluvium",NA,NA,NA,"P02P3N0045",NA,NA,NA,NA,NA,"São Paulo",NA,"Moji das Cruzes","-46.1883","-23.5228","28666","auto"
