"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","806801","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","Y. E. J. Mexia","4059","1929","11","30","South America","Brazil","Espírito Santo","Southeast slope of Serra da Caparaó.","1550","2460","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806801","NY00806801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","806805","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","A. L. Arbeláez","63","1987","07","05","South America","Colombia","Antioquia","Carretera de la Unión a San Miguel.","2340","2430","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806805","NY00806805_01","P. H. Labiak E.","La Unión","-75.28","5.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","806800","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","Y. E. J. Mexia","4059","1929","11","30","South America","Brazil","Espírito Santo","Southeast slope of Serra da Caparaó.","1550","2460","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806800","NY00806800_01","L. E. Bishop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3983374","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","J. A. Steyermark","93232","1964","05","02","South America","Venezuela","Bolívar","Expedición Auyan-tepui. Cumbre de la parte norte de la sección sur (división occidental del cerro): a lo largo del Río Churún, vecindad del campamento sur.","1690",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280505' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983374","NY03983374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3983367","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","J. A. Steyermark","558","1955","02","07","South America","Venezuela","Bolívar","Chimantá Massif. Central Section. Rocky slopes of zanjon bordering Upper Falls of Rio Tirica above Summit Camp.","1950",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280498' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983367","NY03983367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3983368","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","M. A. Sundue","1117","2006","12","13","South America","Ecuador","Zamora-Chinchipe","P.N. Podocarpus, San Francisco Biological Station, on new Loja-Zamora rd.","2045",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280499' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983368",NA,NA,NA,"-79.08372","-3.98056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3983360","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","J. M. Beitel","85185","1985","02","12","South America","Venezuela","Amazonas","Dpto. Río Negro. Cerro de La Neblina Expedition. CAMP VII: Cerro de la Neblína, 5.1 m NE Pico Phelps (=Neblina) (21.5 km E Neblina Base Camp), streambanks of Caño Gardner down-stream (north) from streamslde camp.","1700",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280491' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983360",NA,NA,NA,"-65.9694","0.8444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3983376","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","H. H. van der Werff","20127","2005","05","17","South America","Peru","Pasco","Distr. Oxapampa.","2200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280507' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983376",NA,NA,"Oxapampa","-75.4558","-10.5583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3983361","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","J. A. Steyermark","98132","1967","03","22","South America","Venezuela","Bolívar","MESETA DE JAUA: Cerro Jáua: Cumbre de La porción Central - Occidental de la Meseta. 36 millas nauticas o 60 Kms. noroeste de la misión de Campamento Sanidad del Río Kanarakuni. At base of second waterfall below campsite.","1922","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280492' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983361","NY03983361_01",NA,NA,"-64.43","4.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3983358","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Ceradenia","capillaris","Ceradenia capillaris","(Desv.) L.E.Bishop","H. H. van der Werff","17739","2003","06","23","South America","Peru","Pasco","La Suiza Vieja","2200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4280489' target='other'> <mi>dwc_moreinfo</mi></a>","NY03983358",NA,NA,"Oxapampa","-75.45","-10.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
