"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","169567","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","ramboi","Gochnatia ramboi","Cabrera","isotype","B. Rambo","51961","1952","01","30","South America","Brazil","Rio Grande do Sul","Palmeira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169567","NY00169567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:33-03","IAP","PACA-AGP","51961","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Gochnatia","ramboi","Gochnatia ramboi","Cabrera","Isotipo","Rambo, B.",NA,"1952","01","30",NA,"Brasil","RS","ad fl. Uruguai",NA,"CRITICAMENTE EM PERIGO&nf;ISOTYPUS. Habitat: in campestribus dumetosis Fenofase: flor","PACA051961","PACA051961","Magnoliatae","Emrich-Rambo","1954","07","03","Palmeira das Missões","-53.3135986328125","-27.8994007110596","33527","auto",NA,NA,NA,NA,NA
"3","2009-08-21 06:32:00-03","MO","MOBOT","2456518","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","ramboi","Gochnatia ramboi","Cabrera",NA,"Balduino Rambo","Rambo 51961","1952","1","30","South America","Brazil","Rio Grande do Sul","Palmeira das Missões. Sin localidad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2102260","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Gochnatia","ramboi","Gochnatia ramboi","Cabrera","Isotype","B. Rambo","51961","1952","1","30","South America","Brazil","Rio Grande do Sul","Palmeira.",NA,NA,"US00409622","US00409622_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3233616","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","ramboi","Moquiniastrum ramboi","(Cabrera) G. Sancho",NA,"G. Hatschbach","46132","1983","2","11","South America - Neotropics","Brazil",NA,"Ponta Pora, 30 km E, Mato Grosso do Sul",NA,NA,"US01209001","US01209001_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","800",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2557895","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","ramboi","Moquiniastrum ramboi","(Cabrera) G. Sancho",NA,"L. B. Smith & R. Klein","11492","1957","2","19","South America","Brazil","Santa Catarina","Mun. Canxero; 6 km N of Abelardo Luz",NA,NA,"US01209000","US01209000_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","500","600",NA,NA
"7","2020-09-12 05:00:02-03","US","US","2557872","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","ramboi","Moquiniastrum ramboi","(Cabrera) G. Sancho",NA,"L. B. Smith & R. Klein","11637","1957","2","20","South America","Brazil","Santa Catarina","Mun. Capeco; Fezenda Campo Sao Vicente 24 km W of Campo Ere, by rancho",NA,NA,"US01209002","US01209002_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","900","1000",NA,NA
"8","2021-02-08 12:36:46-03","UFRGS","ICN","177636","S","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","ramboi","Moquiniastrum ramboi","(Cabrera) G. Sancho",NA,"Freitas, KA","54","2014","01","15","América do Sul","Brasil","RS","Estrada Coronel Bicaco- Palmeira das Missões, BR 468",NA,"Observou-se a presença de virulência nas folhas de alguns indivíduos no local. Inflorescência imatura; Em campo degradado",NA,NA,NA,"Freitas, KA","2014","05","01","Coronel Bicaco","-53.571389","-27.7625",NA,NA,NA,NA,NA,"-53.571389","-27.7625"
"9","2021-02-08 12:36:46-03","UFRGS","ICN","177637","S","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","ramboi","Moquiniastrum ramboi","(Cabrera) G. Sancho",NA,"Freitas, KA","55","2014","01","15","América do Sul","Brasil","RS","Estrada Coronel Bicaco- Palmeira das Missões, BR 468",NA,"Observou-se a presença de virulência nas folhas de alguns indivíduos no local. Inflorescência imatura; Em campo degradado",NA,NA,NA,"Freitas, KA","2014","05","01","Coronel Bicaco","-53.571389","-27.7625",NA,NA,NA,NA,NA,"-53.571389","-27.7625"
"10","2021-02-08 12:36:46-03","UFRGS","ICN","177638","S","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","ramboi","Moquiniastrum ramboi","(Cabrera) G. Sancho",NA,"Freitas, KA","56","2014","01","15","América do Sul","Brasil","RS","Estrada Coronel Bicaco- Palmeira das Missões, BR 468",NA,"Observou-se a presença de virulência nas folhas de alguns indivíduos no local. Inflorescência imatura; Em campo degradado",NA,NA,NA,"Freitas, KA","2014","05","01","Coronel Bicaco","-53.571389","-27.7625",NA,NA,NA,NA,NA,"-53.571389","-27.7625"
