"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","continentOcean","typeStatus","fieldNumber","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","order","relatedCatalogItem"
"1","2021-03-01 16:26:34-03","UNICAMP","UEC","172572","S","Plantae","Magnoliopsida","Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H.Gentry","Mesquita, A","2004","09","Miranda, AM; Pires, MF; Oliveira, L","2525","1996","12","29","Brazil","Pernambuco","Estrada para Tacaratu.","Arbusto com cerca de 2,0 m de altura. Caule amarronzado. Folhas membranáceas, aveludadas. Flores pêndulas e encurvadas com cálice verde de ápice arroxeado, corola roxo-escura com tubo interna e abaxialmente alvacento, adaxialmente bran","UEC084865","UEC084865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-03-01 17:46:00-03","MO","MOBOT","1044492","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H. Gentry",NA,NA,NA,"D.A. Lima","Lima 67-5032","1967","6","1","Brazil","Pernambuco","Ipojuca, Eng. Maranhao, Mata",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2012-10-17 05:07:00-03","MO","MOBOT","1044719","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H. Gentry",NA,NA,NA,"J. Almeida|Talmon S. dos Santos","Almeida 357","1969","5","9","Brazil","Bahia","Gandu-Itubera, 8 km de Gandu",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1251017","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H. Gentry","A. Gentry, 1987 (MO)",NA,NA,"JESUS","JESUS 357","1969","5","9","Brazil","Bahia","Rod. Gandú/Ituberá, 8 km de Gandú.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","487114","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H. Gentry","Al Gentry",NA,NA,"Alwyn H. Gentry|Elsa M. Zardini","Gentry 49962","1985","2","9","Brazil","Bahia","Cacao plantation, Ubaitaba- Itacare road; ca. 5 km from BR-101.",NA,NA,NA,"South America","Isotype","85-100","-39.33333","-14.33333","30.00000000","4",NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","487439","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H. Gentry",NA,NA,NA,"Alwyn H. Gentry|Elsa M. Zardini","Gentry 49997","1985","2","9","Brazil","Bahia","Road from Ubaitaba to Itacare, ca. 20 km from BR 101.",NA,NA,NA,"South America",NA,"85-105","-39.16666","-14.33333","20.00000000","3",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:09-03","MBML","MBML-HERBARIO","7282",NA,"Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H.Gentry","M. A. Assis/1994",NA,NA,"L. D. Thomaz","1606","1993","06","23","Brasil","Espírito Santo","Estação Biológica de Santa Lúcia","Altura 24m, PAP 92cm, caule interno branco, externo creme. Fruto verde.","MBML007282","MBML007282",NA,NA,NA,"-40.530278","-19.971389",NA,NA,"Santa Teresa","40W31'49","19S58'17",NA,NA,NA,NA,NA
"8","2020-06-15 15:29:09-03","UNESP-RC","HRCB","24403","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H.Gentry","Assis, M.A.","1994",NA,"Thomaz, L.D.","1606","1993","06","23","Brasil","Espírito Santo","Estação Biológica de Santa Lúcia","Altura 24m, PAP=92cm. Caule interno branco, externo creme. Fruto verde.",NA,NA,NA,NA,NA,"-40.6002998352051","-19.9356002807617",NA,NA,"Santa Teresa",NA,NA,"23813","auto",NA,NA,NA
"9","2021-02-04 10:26:42-03","UFRPE","HST","22537","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H.Gentry","A.M.Miranda","2018","07","A.B. Araújo","11","2018","03","05","Brasil","Pernambuco","Usina Olho D#?#Água","Árvore ca. 5,5 m alt.; frutos secos.","HST022537",NA,NA,NA,NA,"-35.1128005981445","-7.41028022766113",NA,NA,"Itambé",NA,NA,"24207","auto",NA,NA,NA
"10","2019-10-07 09:15:40-03","UEFS","HUEFS","246416","PreservedSpecimen","Plantae","Angiospermae","Bignoniaceae","Jacaranda","microcalyx","Jacaranda microcalyx","A.H.Gentry",NA,NA,NA,"Araújo, A.B.","11","2018","03","05","Brasil","Pernambuco","Usina Olho D'Água.",NA,"HUEFS0246416","HUEFS0246416",NA,NA,NA,"-35.1128005981445","-7.41028022766113",NA,NA,"Itambé",NA,NA,"24207","auto","Asteranae","Lamiales",NA
