"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1281432","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Curitiba","prismatica","Curitiba prismatica","(D.Legrand) Salywon & Landrum","A. M.Salywon; L. R. Landrum","V. A. de O. Dittrich","s.n.","1996","01","23","South America","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693946' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594900","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Curitiba","prismatica","Curitiba prismatica","(D.Legrand) Salywon & Landrum","M. F. d. Santos","G. G. Hatschbach","13671A","1966","02","08","South America","Brazil","Paraná","Lapa","Rod. do Xisto, Agua Amarela","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594900","NY00594900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","594893","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Curitiba","prismatica","Curitiba prismatica","(D.Legrand) Salywon & Landrum","M. F. d. Santos","G. G. Hatschbach","13671A","1966","02","08","South America","Brazil","Paraná","Lapa","Rod. do Xisto, Agua Amarela","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594893","NY00594893_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594879","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mosiera","prismatica","Mosiera prismatica","(D.Legrand) Landrum","M. Sobral","L. R. Landrum","4301","1982","02","07","South America","Brazil","Paraná","Curitiba","Parque Barreirinha","-49.25","-25.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594879","NY00594879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:25:29-03","PUCPR","HUCP","20200","S","Plantae","Eudicotiledonea",NA,"Myrtaceae","Curitiba","prismatica","Curitiba prismatica","(D. Legrand) Salywon & Landrum.","Selusniaki, M","Selusniaki, M","2597","2009","03","18",NA,"Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00015865","HUCP00015865","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:25:31-03","PUCPR","HUCP","18095","S","Plantae","Eudicotiledonea",NA,"Myrtaceae","Mosiera","prismatica","Mosiera prismatica","(D. Legrand) Landrum.","Selusniaki, M","Selusniaki, M; Beltrami, L","907","2006","05","01",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00015360","HUCP00015360","27346","auto","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:25:31-03","PUCPR","HUCP","18221","S","Plantae","Eudicotiledonea",NA,"Myrtaceae","Mosiera","prismatica","Mosiera prismatica","(D. Legrand) Landrum.","Selusniaki, M","Selusniaki, M; Beltrami, L","1091","2006","05","20",NA,"Brasil","Paraná","Curitiba","Bosque Boa Vista","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00015227","HUCP00015227","25180","auto","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:21:18-03","UFBA","ALCB","71056","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Mosiera","prismatica","Mosiera prismatica","(D.Legrand) Landrum","Hatschbach, G","Ribas, OS; Wasum, R; Scur, L","6779","2005","04","19","Southern America","Brasil","Paraná","São Mateus do Sul","Usina de Xisto da Petrobrás","-50.3828010559082","-25.8742008209229",NA,"2,50m. , fruto imaturo negro.","ALCB058623",NA,"31353","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:21:18-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Mosiera","prismatica","Mosiera prismatica","(D.Legrand) Landrum","Hatschbach, G","Ribas, OS; Wasum, R; Scur, L","6779","2005","04","19","Southern America","Brasil","Paraná","São Mateus do Sul","Usina de Xisto da Petrobrás","-50.3828010559082","-25.8742008209229",NA,"2,50m. , fruto imaturo negro.",NA,NA,"31353","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:05:56-03","NBC","NL-BOTANY","U 0294141","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Curitiba","prismatica","Curitiba prismatica","(D.Legrand) Salywon & Landrum",NA,"Lindeman JC; Haas JH de",NA,"1966","07","22","Southern America","Brazil","Paraná",NA,"Est. Paraná. Fazenda S.Joao da Cia. Fiat Lux, W of S.Joao do Triunfo.",NA,NA,NA,"Araucaria forest on yellow sandy loam.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0294141",NA,NA,NA,NA,"Magnoliopsidae","Uw13418",NA,NA,NA,NA,NA,NA,NA,NA
