"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","777543","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777543","NY00777543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","561352","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","R. Reitz","2867","South America","Brazil","Braço Joaquim, Luis Alves.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561352","NY00561352_01","1956","03","22","Santa Catarina","Luiz Alves","-48.941177","-26.748537","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777542","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","L. Riedel","21396s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777542","NY00777542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","561347","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","W. A. Palacios","977","South America","Ecuador","Río Napo, 8 km abajo de Puerto Misahuallí. Reserva Biológica Jatun Sacha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561347",NA,"1986","01","25","Napo",NA,"-77.62","-1.07","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561357","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","Pessoal do Horto Florestal","s.n.","South America","Brazil","Matas do Horto Florestal, Gavea, Rio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561357","NY00561357_01","1927","10","28","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561346","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","M. H. Nee","51092","South America","Bolivia","Near future Urbanización Bélgica Chica, 11 km. by dirt road E of main highway from Santa Cruz to Warnes, 10 km (by air) SE of Warnes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561346",NA,"2000","10","31","Santa Cruz","Ignacio Warnes","-63.07","-17.58","340","340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561350","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","G. G. Hatschbach","20275","South America","Brazil","Serra Virgem Maria","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561350","NY00561350_01","1968","11","12","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561349","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","G. G. Hatschbach","44383","South America","Brazil","Morro Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561349","NY00561349_01","1981","11","17","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","561356","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","H. C. de Lima","2245","South America","Brazil","Paraiso, área do centro de Primatologia do RJ.","sheet","Quadrat II, arvore no. 142. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561356","NY00561356_01","1984","10","18","Rio de Janeiro","Magé","-43.0406","-22.6531","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","561354","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Rhamnidium","glabrum","Rhamnidium glabrum","Reissek","M. Islam","P. K. H. Dusén","s.n.","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561354","NY00561354_01","1911","10","09","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
