"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","typeStatus","locality","imagecode","stateProvince","scientificNameAuthorship","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:36:12-03","E","E","209065","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","Fiebrig, K.","4692","1908","01","26","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220074","<a href=http://data.rbge.org.uk/herb/E00209065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 20:49:00-02","NY","NYBG","1104844","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","latifolia","Prestonia latifolia","R. H. Schomburgk","755",NA,NA,NA,"South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1296918' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104844","Magnoliophyta","Gentianales","isotype","Savannahs, Pirara in Guiana Anglia","NY01104844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 20:14:00-02","NY","NYBG","1843060","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","latifolia","Prestonia latifolia","R. H. Schomburgk","755",NA,NA,NA,"South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2162790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843060","Magnoliophyta","Gentianales","isotype","[From protologue: savannahs, Pirara]","NY01843060_01","Upper Takutu-Upper Essequibo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440602","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","E. M. Zardini","26200","1991","02","08","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440602","Magnoliophyta","Gentianales",NA,"Cordillera. Tobatí. Ybytú mesa. Northern area",NA,NA,"R.Br.","C. Ezcurra","-57.12","-25.2","297","297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4202189","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","G. Klug","915","1930","02",NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526936' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202189","Magnoliophyta","Gentianales",NA,"Mishuyacu, near Iquitos",NA,"Loreto","R.Br.",NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4202192","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","J. M. Schunke-Vigo","3931","1970","04","16","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526939' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202192","Magnoliophyta","Gentianales",NA,"Dtto. Tocache Nuevo. Quebrada de Ishichimi (Fundo Retiro)",NA,"San Martín","R.Br.",NA,NA,NA,NA,NA,"Mariscal Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4202194","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","J. M. Schunke-Vigo","1723","1967","03","07","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526941' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202194","Magnoliophyta","Gentianales",NA,"Dtto. Honoria. Bosque Nacional de Iparia: Región de bosque seco tropical: (sensu Tosi, 1960) a lo largo del Río Pachutea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista o unos 20 km arriba de la confluencia con el Río Ucayali). En bosque bajo, camino a Shauinto a 3 km del Campamento de Iparia",NA,"Huánuco","R.Br.",NA,NA,NA,"300","400","Pachitea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4202187","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","J. M. Schunke-Vigo","3796","1970","02","10","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526934' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202187","Magnoliophyta","Gentianales",NA,"Camino al Pueblo Viejo de Tocache",NA,"San Martín","R.Br.",NA,NA,NA,NA,NA,"Mariscal Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4202186","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","J. M. Schunke-Vigo","1329","1966","12","08","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526933' target='other'> <mi>dwc_moreinfo</mi></a>","NY04202186","Magnoliophyta","Gentianales",NA,"Dtto. Honoria. Bosque Nacional de Iparia: Región de bosque seco tropical: (sensu Tosi, 1960) a lo largo del Río Pachutea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista o unos 20 km arriba de la confluencia con el Río Ucayali). En bosque bajo, Carretera Miel de Abeja",NA,"Huánuco","R.Br.",NA,NA,NA,"300","400","Pachitea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01251597","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","tomentosa","Prestonia tomentosa","J. A. Silva","487","1986","07","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486695' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251597","Magnoliophyta","Gentianales",NA,"Estrada das Confianças l, ll, lll.","NY01251597_01","Roraima","R.Br.","J. F. Morales Quirós","-60.67","2.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
