"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","imagecode","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","228689","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack","type","H. S. Irwin","11197","1965","12","11","South America","Brazil","Distrito Federal","Brasília","Campo slope immediately E of Lagoa Paranoá","-47.9296989440918","-15.7797002792358","70570","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=488781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228689","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:44:23-03","EAO","IAN","126497","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack","isotipo","Irwin, HS; Souza, R; Santos, RR dos","11197","1965","12","11","Southern America","Brasil","Distrito Federal",NA,"Campo slope immediately east of Lagoa Paranoá.",NA,NA,NA,"975","975",NA,"Shrub. ca. 1 m. tall, much branched. Corolla magenta; anthers yellow, the connectives scarlet.","IAN126497",NA,"Wurdack, JJ","1968",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:31:36-03","MN","R","9390","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Cogn.",NA,"Glaziou, A.F.M.","21311","1890","07","28",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000009390",NA,NA,NA,"R000009390_001",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:34:10-03","MBM","MBM","86327","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Kirkibride Jr.; J.H.","4588",NA,NA,NA,"Southern America","Brazil","Distrito Federal",NA,"Encota do Morro da Canastra",NA,NA,NA,NA,NA,NA,NA,"MBM086327",NA,"Wurdack, J.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 20:45:57-03","MNHN","RECOLNAT_MNHN_P","P05202138","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Glaziou, A.",NA,"1895","1","16",NA,"Brasil","Goiás",NA,"Brésil (Goyaz) Fazenda de Boa Vista. Goiás, Centro-oeste, Brasil, América do Sul",NA,NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05202138' target='other'> <mi>dwc_moreinfo</mi></a>","P05202138",NA,"Romero",NA,"P05202138_01","21309",NA,NA,NA,NA,NA,NA
"6","2004-08-09 17:40:17-03","MNHN","RECOLNAT_MNHN_P","P00245356","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Cogn.",NA,"Glaziou, A.",NA,"1894","11","12",NA,"Brésil",NA,NA,"Sommet du Morro dos Melancias, dans la vallée du Rio Paranana (Goyaz)",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00245356' target='other'> <mi>dwc_moreinfo</mi></a>","P00245356",NA,NA,NA,"P00245356_01","12310",NA,NA,NA,NA,NA,NA
"7","2014-12-02 14:59:23-02","MNHN","RECOLNAT_MNHN_P","P00245355","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Cogn.",NA,"Glaziou, A.",NA,"1894","10","18",NA,"Brésil",NA,NA,"Sommet des montagnes pierreuses de Guariroba (Goyaz)",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00245355' target='other'> <mi>dwc_moreinfo</mi></a>","P00245355",NA,NA,NA,"P00245355_01","21311",NA,NA,NA,NA,NA,NA
"8","2015-09-04 21:15:15-03","MNHN","RECOLNAT_MNHN_P","P05317887","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Glaziou, A.",NA,"1894","8","18",NA,"Brasil",NA,NA,"BRÉSIL (Goyaz) Sommes de montagnes. Brasil, América do Sul",NA,NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317887' target='other'> <mi>dwc_moreinfo</mi></a>","P05317887",NA,"Romero",NA,"P05317887_01","21311",NA,NA,NA,NA,NA,NA
"9","2015-09-04 21:15:15-03","MNHN","RECOLNAT_MNHN_P","P05317888","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Glaziou, A.",NA,"1894","81","18",NA,"Brasil",NA,NA,"Brésil. Goyaz, sommet des montagnes pierrers du Guariroba. Brasil, América do Sul",NA,NA,NA,NA,NA,"hb",". . donné par Mme SIMARD, sa fillem en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317888' target='other'> <mi>dwc_moreinfo</mi></a>","P05317888",NA,"Romero",NA,"P05317888_01","21311",NA,NA,NA,NA,NA,NA
"10","2015-09-04 21:15:15-03","MNHN","RECOLNAT_MNHN_P","P05317889","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Lavoisiera","quinquenervis","Lavoisiera quinquenervis","Wurdack",NA,"Glaziou, A.",NA,"1894","11","12",NA,"Brasil","Goiás",NA,"Brésil. Goyaz. Sommet du Morro das Melancas dans le vallee du Rio Paranauá. Goiás, Centro-oeste, Brasil, América do Sul",NA,NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05317889' target='other'> <mi>dwc_moreinfo</mi></a>","P05317889",NA,"Romero",NA,"P05317889_01","12310",NA,NA,NA,NA,NA,NA
