"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","fieldNumber","individualCount"
"1","2020-09-23 10:39:03-03","E","E","319789","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus","syntype","Gardner, George","5264","1905","01","14","E. Tropical South America","BR","Minas Gerais","Minas Geraes","herbarium specimen of unspecif","BGBASE:323366","<a href=http://data.rbge.org.uk/herb/E00319789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:03-03","E","E","319788","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus","syntype","Gardner, George","5264",NA,NA,NA,"E. Tropical South America","BR","Minas Gerais","Minas Geraes","herbarium specimen of unspecif","BGBASE:323375","<a href=http://data.rbge.org.uk/herb/E00319788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00102877","PreservedSpecimen","Plantae","Eriocaulaceae","Paepalanthus","helminthorrhizus","Paepalanthus helminthorrhizus","isotype","L. Riedel","2202",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102877","Magnoliophyta","Poales","Mart. ex Körn.","NY00102877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00898331","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"A. Macedo","1903","1949","03","08","South America","Brazil","Goiás","Queixada","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898331","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00898331_01","H. N. Moldenke","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00898333","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"H. S. Irwin","8870","1965","10","02","South America","Brazil","Distrito Federal","Hills ca. 10 km N. of Planaltina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898333","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00898333_01","H. N. Moldenke","Brasília","-47.6667","-15.52633","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00538257","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"F. C. Hoehne","1868","1948","10","14","South America","Brazil","São Paulo","C. Congonhas, Cap. S. Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538257","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00538257_01","H. N. Moldenke","Sao Paulo","-46.660488","-23.627973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00538354","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"S. Solos","241","1938","10","10","South America","Brazil","Mato Grosso","Rio Sapé","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538354","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00538354_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00538256","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"A. C. Brade","6585","1921","09",NA,"South America","Brazil","São Paulo","Heitor Legú, S. Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538256","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00538256_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00538353","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"B. A. S. Pereira","224","1982","04","20","South America","Brazil","Distrito Federal","Lago Paranoá Norte, margem direita, próximo das ilhotas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538353","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00538353_01","H. N. Moldenke","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00898336","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"R. Callejas Posada","1960","1983","12","16","South America","Brazil","Mato Grosso do Sul","5 km O de Tacurú, sobre la estrada que dirije a Igautemí.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898336","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00898336_01","A. M. Giulietti","Tacuru","-55","-23.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00538254","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","helminthorrhizus","Syngonanthus helminthorrhizus",NA,"G. Gardner","5264","1836",NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538254","Magnoliophyta","Poales","(Mart. ex Körn.) Ruhland","NY00538254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
