"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","minimumElevationInMeters","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:43:11-03","E","E","82968","PreservedSpecimen","Plantae","Rutaceae","Almeidea","coerulea","Almeidea coerulea","Hatschbach, G. & Silva, J.M.","61481","1994","12","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91397","<a href=http://data.rbge.org.uk/herb/E00082968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","821695","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","J. L. Paixão","229","2003","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=901550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821695","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","J. A. Kallunki","Bahia","Itacaré","Serra Grande, Parque Estadual Serra do Condurú","-38.9967","-14.2778","NY00821695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","330938","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","W. W. Thomas","8119","1991","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330938","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","J. A. Kallunki","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","NY00330938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","330940","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","W. W. Thomas","7457","1991","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330940","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","C. P. Bruniera","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","NY00330940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","330936","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","W. W. Thomas","9796","1993","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330936","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","C. P. Bruniera","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Transect study site","-39.0617","-14.4231","NY00330936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","821694","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","J. L. Paixão","231","2003","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=902626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821694","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","C. P. Bruniera","Bahia","Itacaré","Serra Grande, Parque Estadual Serra do Condurú","-38.9967","-14.2778","NY00821694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","330941","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","W. W. Thomas","9200","1992","05","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330941","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","C. P. Bruniera","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré.","-39.0617","-14.4231","NY00330941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","301153","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","R. M. Harley","18427","1977","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00301153","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","C. P. Bruniera","Bahia",NA,"Ca. 8 km SW of Itacaré along side road South from main Itacaré-Ubaitaba road, south of the mouth of the Rio de Contas.","-39.05","-14.33","NY00301153_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","330934","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","W. W. Thomas","9756","1993","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330934","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","J. A. Kallunki","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré","-39.0617","-14.4231","NY00330934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","330944","PreservedSpecimen","Plantae","Rutaceae","Conchocarpus","coeruleus","Conchocarpus coeruleus","A. M. V. de Carvalho","3422","1991","07","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330944","Magnoliophyta","Sapindales","(Nees & Mart.) Bruniera & Groppo","C. P. Bruniera","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Comjunto Fazenda Santa Cruz.","-39.0617","-14.4231","NY00330944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
