"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","identifiedBy","county","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","maximumElevationInMeters","minimumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","relationshipType","individualCount","fieldNumber","typeStatus","sex"
"1","2020-09-23 10:35:52-03","E","E","334780","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361342","<a href=http://data.rbge.org.uk/herb/E00334780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:52-03","E","E","334782","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361344","<a href=http://data.rbge.org.uk/herb/E00334782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:52-03","E","E","334783","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","Morel, I.","Temperate South America","AR","Provincia de Formosa","Dep. Pilcomayo; Ruta 86 al Km 55","herbarium specimen of unspecif","BGBASE:361345","<a href=http://data.rbge.org.uk/herb/E00334783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334783","4630","1948","11","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:52-03","E","E","334781","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:361343","<a href=http://data.rbge.org.uk/herb/E00334781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 07:29:00-03","NY","NYBG","487292","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","G. J. Schwarz","South America","Argentina","Corrientes",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487292","398","1944","12","21","Magnoliophyta","Caryophyllales","J. A. Mears","General Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00838017","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","H. H. Rusby","South America","Brazil","Rondônia","Falls of Madeira [near to Quajará-Mirim)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838017","1514","1886","10",NA,"Magnoliophyta","Caryophyllales","J. A. Mears",NA,"A.St.-Hil.","-65.3465375","-10.7798649","NY00838017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00838012","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","J. Jangoux","South America","Brazil","Maranhão","Alzilandia, Rio Pindaré","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838012","453","1978","12","12","Magnoliophyta","Caryophyllales",NA,"Santa Luzia","A.St.-Hil.","-46.08","-3.75","NY00838012_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01922269","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","J. A. Steyermark","South America","Venezuela","Apure","Opposite airport of San Fernando de Apure along base of restaurant building.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2148415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922269","124587","1981","02","17","Magnoliophyta","Caryophyllales",NA,NA,"A.St.-Hil.",NA,NA,"NY01922269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-07-13 10:41:00-03","NY","NYBG","02460981","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","H. A. Weddell","South America","Paraguay",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2688011' target='other'> <mi>dwc_moreinfo</mi></a>","NY02460981","3220","1845","04",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,"NY02460981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","487295","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","H. P. Bautista","South America","Brazil","Bahia","Fazenda Experimental da EPABA. Folha SC.24-Y-B","sheet",NA,"Leaf material removed for carbon isotope ratio analysis. November 6, 1998 by Rowan F. Sage Dept. of Botany, Univ. of Toronto <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487295","761","1983","05","26","Magnoliophyta","Caryophyllales",NA,"Itiúba","A.St.-Hil.","-39.83","-10.72","NY00487295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01922268","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","J. A. Steyermark","South America","Venezuela","Apure","Airport at San Fernando de Apure.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2148414' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922268","124586","1981","02","17","Magnoliophyta","Caryophyllales",NA,NA,"A.St.-Hil.",NA,NA,"NY01922268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02460982","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","F. Silva","South America","Brazil","Ceará","Cinco Barras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2688027' target='other'> <mi>dwc_moreinfo</mi></a>","NY02460982","171","1984","07","09","Magnoliophyta","Caryophyllales",NA,"Orós","A.St.-Hil.","-38.95","-6.17","NY02460982_01",NA,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00838016","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","E. Pereira","South America","Brazil","Mato Grosso do Sul","Corumba. Porto Agropecuaris.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838016","357","1953","10","16","Magnoliophyta","Caryophyllales",NA,"Corumbá","A.St.-Hil.","-57.6531","-19.0094","NY00838016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-07-13 10:41:00-03","NY","NYBG","02460980","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","H. A. Weddell","South America","Paraguay",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2688010' target='other'> <mi>dwc_moreinfo</mi></a>","NY02460980","3220","1845","04",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,"NY02460980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00838015","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","S. L. M. Moore","South America","Brazil","Mato Grosso","Iter Matogrossense","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00838015","946","1891",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,"A.St.-Hil.",NA,NA,"NY00838015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-27 05:26:00-03","NY","NYBG","487291","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","paronychioides","Alternanthera paronychioides","A. H. Gentry","South America","Peru","Cusco","Prov. Anta. Dept. Cusco: Mollepata. W of Cuxco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487291","44136","1984","01",NA,"Magnoliophyta","Caryophyllales","R. L. Liesner",NA,NA,"-72.5","-13.5",NA,"3200","3200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
