"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","barcode","recordNumber","continentOcean","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","176","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto A. Kautsky; Jones Caldas da Silva","1990","09","11","Brasil","Espírito Santo","Alfredo Chaves","Distrito de São Bento de Urânia","-40.749698638916","-20.6350002288818","32447","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:59-03","MN","R","213622","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","Coser, T.S.","2010","10","Moura, R. 488; Vianna-Filho, M.D.M. & Carrijo, T.T.","2008","01","18","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.184700012207","-20.6035995483398","23588",NA,NA,"auto","28","R010006627",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:59-03","MN","R","186995","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme",NA,NA,NA,"Costa, A.F. 635; Kautsky, R.","1995","10","21","Brasil","Espírito Santo","Alfredo Chaves","São Bento de Urania","-40.749698638916","-20.6350002288818","32447",NA,NA,"auto",NA,"R010006626",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:19:25-03","MBM","MBM","171053","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","Leme, E.M.C.",NA,NA,"Hatschbach, G.; Kautsky, R.; Kautsky, R.","1994","11","14","Brazil","Espírito Santo","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447",NA,NA,"auto",NA,"MBM171053","61212","Southern America","MBM171053",NA,NA,NA,NA,NA
"5","2020-12-21 16:19:25-03","MBM","MBM","169501","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","Leme, E.M.C.",NA,NA,"Hatschbach, G.; Kautsky, R.; Kautsky, R.","1994","10","08","Brazil","Espírito Santo","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447",NA,NA,"auto",NA,"MBM169501","61124","Southern America","MBM169501",NA,NA,NA,NA,NA
"6","2020-12-21 16:19:25-03","MBM","MBM","172856","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","Leme, E.M.C.",NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","1995","01","15","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal","-41.1347007751465","-20.3397006988525","15909",NA,NA,"auto",NA,"MBM172856","61526","Southern America","MBM172856",NA,NA,NA,NA,NA
"7","2020-07-10 09:44:31-03","MBML","MBML-HERBARIO","14683",NA,"Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","L. Kollmann/12-11-2004",NA,NA,"L. Kollmann; et al","2000","10","12","Brasil","Espírito Santo","Castelo","Reserva Estadual de Forno Grande","-41.100556","-20.519167",NA,NA,"Terrestre no sol. Folhas verdes, brácteas vermelhas.",NA,NA,"MBML014683","3418",NA,"MBML014683","41W6'2","20S31'9",NA,NA,NA
"8","2020-07-10 09:44:31-03","MBML","MBML-HERBARIO","21943",NA,"Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","L. Kollmann/12-11-2004",NA,NA,"L. Kollmann","2004","01","27","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,"Epífitas na sombra. Bráctea vermelha. Pétalas lilás.",NA,NA,"MBML021943","6369",NA,"MBML021943","41W6'2","20S31'9",NA,NA,NA
"9","2020-07-10 09:44:31-03","MBML","MBML-HERBARIO","26180",NA,"Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","L. Kollmann/28-04-2006",NA,NA,"L. Kollmann; et al","2006","04","28","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,"Epífita na sombra. Brácteas vermelhas e flores lilás.",NA,NA,"MBML026180","8904",NA,"MBML026180","41W6'2","20S31'9",NA,NA,NA
"10","2020-07-10 09:44:31-03","MBML","MBML-HERBARIO","31215",NA,"Plantae",NA,NA,"Bromeliaceae","Nidularium","kautskyanum","Nidularium kautskyanum","Leme","L. Kollmann/19-07-2007","2007","07","L. Kollmann; P. Labiak & F. B. Matos","2007","07","19","Brasil","Espírito Santo","Castelo","Forno Grande, Parque Estadual de Forno Grande","-41.100556","-20.519167",NA,NA,"Planta na meia sombra, folhas amareladas, brácteas vermelhas.",NA,"19","MBML031215","9971",NA,"MBML031215","41W6'2","20S31'9","1660","1660",NA
