"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","locality","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:47-03","E","E","283759","PreservedSpecimen","Plantae","Leguminosae","Mimosa","urticaria","Mimosa urticaria","Hatschbach, Gert Gunther","51709","1987","12","13","E. Tropical South America","BR","Paraná","herbarium specimen of unspecif","BGBASE:295074","<a href=http://data.rbge.org.uk/herb/E00283759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3103","PreservedSpecimen","Plantae","Fabaceae","Mimosa","urticaria","Mimosa urticaria","G. G. Hatschbach","13230","1965","12","06","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003103","Magnoliophyta","Fabales","Barneby","isotype","Municipio Ortigueira. Bairro dos França.","NY00003103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3104","PreservedSpecimen","Plantae","Fabaceae","Mimosa","urticaria","Mimosa urticaria","G. G. Hatschbach","13230","1965","12","06","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003104","Magnoliophyta","Fabales","Barneby","isotype","Bairro dos França.","NY00003104_01","Ortigueira","-50.9492","-24.2083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","458954","PreservedSpecimen","Plantae","Fabaceae","Mimosa","urticaria","Mimosa urticaria","G. G. Hatschbach","51709","1987","12","13","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00458954","Magnoliophyta","Fabales","Barneby",NA,"Bairro dos Machados","NY00458954_01","Ortigueira","-50.9492","-24.2083","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2063263","PreservedSpecimen","Plantae","Fabaceae","Mimosa","urticaria","Mimosa urticaria","A. Savassi-Coutinho","1077","2006","10","19","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364911' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063263","Magnoliophyta","Fabales","Barneby",NA,"BR-376, estrada Ponta Grossa - Ortigueira. Ca. de 8 km de Ortigueira, próximo ao km 360, no bairro Faxinal dos Machados.","NY02063263_01","Ortigueira","-50.9494018554688","-24.2082996368408",NA,"46016","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:42-03","UTFPR","DVPR","3773","PreservedSpecimen","Plantae","Fabaceae","Mimosa","urticaria","Mimosa urticaria","Silva, JM; Martins, LM","8338","2013","09","19",NA,"Brasil","Paraná",NA,NA,"Flor amarela. Cultivada","DVPR003773","Magnoliophyta",NA,"Barneby",NA,"Jardim Botânico.",NA,"Curitiba","-49.1421","-25.2627","Barboza, E",NA,NA,"2013","09","20","-49.1421","-25.2627","915","915",NA,NA,NA,NA
"7","2019-10-09 11:16:40-03","UFBA","ALCB","112051","PreservedSpecimen","Plantae","Fabaceae","Mimosa","urticaria","Mimosa urticaria","Ribas, OS; Silva, MS; Vaz, J","7974","2008","02","08","Southern America","Brasil","Paraná",NA,NA,"4m, flor amarela, fruto imaturo.; ombrófila mista.","ALCB024185","Dicotyledon",NA,"Barneby",NA,"Bairros dos França","ALCB024185","Ortigueira","-50.9494018554688","-24.2082996368408","Ribas, OS","46016","auto","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U 0159726","PreservedSpecimen","Plantae","Leguminosae-Mim.","Mimosa","urticaria","Mimosa urticaria","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1965","12","06","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200159726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0159726",NA,"Fabales","Barneby","isotype","Mun. Ortigueira, Bairro dos França.","NL-U0159726",NA,"-51.038203","-24.112602","Barneby RC",NA,NA,NA,NA,NA,"-51.038203","-24.112602",NA,NA,"Magnoliopsidae","103216",NA,NA
"9","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U 0278639","PreservedSpecimen","Plantae","Leguminosae-Mim.","Mimosa","urticaria","Mimosa urticaria","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1965","12","06","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200278639 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0278639",NA,"Fabales","Barneby","isotype","Mun. Ortigueira, Bairro dos França.",NA,NA,"-51.038203","-24.112602","Barneby RC",NA,NA,NA,NA,NA,"-51.038203","-24.112602",NA,NA,"Magnoliopsidae","Uw14324",NA,NA
"10","2020-02-08 09:10:30-03","NBC","NL-BOTANY","WAG.1706620","PreservedSpecimen","Plantae","Leguminosae-Mim.","Mimosa","urticaria","Mimosa urticaria","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1965","12","06","Southern America","Brazil","Paraná",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1706620 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1706620",NA,"Fabales","Barneby","isotype","Mun. Ortigueira, Bairro dos França.","NL-WAG1706620",NA,"-51.038203","-24.112602","Barneby RC",NA,NA,NA,NA,NA,"-51.038203","-24.112602",NA,NA,"Magnoliopsidae",NA,NA,NA
