"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","relatedCatalogItem","dayIdentified","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","502846","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","J. A. Steyermark","R. Reitz","6659","1958","04","08","South America","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502846","NY00502846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 15:02:00-02","NY","NYBG","502845","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana",NA,"A. Peixoto","D. A. Folli","196","1980","02","14","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Estrada Parajú, km. 0,010, próxima a um Coco d'oleo","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502845","NY00502845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777300","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","J. A. Steyermark","M. Kuhlmann","2793","1951","12","28","South America","Brazil","São Paulo",NA,"Carioba, Fazenda Salto Grande. Margem do Rio Piracicaba",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777300","NY00777300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502848","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","J. A. Steyermark","R. Reitz","6216","1958","01","13","South America","Brazil","Santa Catarina","Corupá","Correa, Corupá, Jaraguá do Sul","-49.2431","-26.4256","600","600","sheet","Lenho na xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502848","NY00502848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:16:00-02","NY","NYBG","799432","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana",NA,"L. B. Smith","R. Reitz","6659","1958","04","08","South America","Brazil","Santa Catarina","Vidal Ramos","Sabiá","-49.3556","-27.3919","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799432","NY00799432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502840","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","P. G. Delprete","J. C. Lindeman","5321","1967","05","16","South America","Brazil","Paraná","Mamborê","Vicinity of Mamboré, road to Fazenda S. Domingos","-52.5297","-24.3194",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502840","NY00502840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 15:02:00-02","NY","NYBG","502842","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana",NA,"A. Peixoto","D. A. Folli","514","1984","07","31","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares. Estrada Parajú, km. 0,01. Coleta de flor DAF 196, registro 541","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502842","NY00502842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","799431","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","P. G. Delprete","R. Reitz","6216","1958","01","13","South America","Brazil","Santa Catarina","Corupá","Correa","-49.2431","-26.4256","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799431","NY00799431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","799434","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","P. G. Delprete","R. Reitz","11410","1962","01","03","South America","Brazil","Santa Catarina","Papanduva","Serra dp Espigao","-50.1442","-26.3706","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799434","NY00799434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","502847","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","sampaioana","Simira sampaioana","(Standl.) Steyerm.","J. A. Steyermark","R. Reitz","2586","1956","02","04","South America","Brazil","Santa Catarina","Ibirama","Estaçao Florestal I.N.P.","-49.5178","-27.0569","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502847","NY00502847_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
