"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","626232","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","V. Plana","R. Reitz","6.163","1958","01","10","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim.","-49.2656","-26.1925","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626235","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","V. Plana","G. G. Hatschbach","15702","1967","01","12","South America","Brazil","Paraná","Quatro Barras","Rio do Corvo.","-49.0767","-25.3658",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626235","NY00626235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626229","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","G. G. Hatschbach","O. dos S. Ribas","2134","1997","12","15","South America","Brazil","Paraná","Tijucas do Sul","Serra Papanduva.","-49.1989","-25.9283","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626229","NY00626229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626231","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","V. Plana","R. Reitz","6017","1958","01","09","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim.","-49.2656","-26.1925","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626231","NY00626231_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626233","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","V. Plana","J. C. Lindeman","4043","1967","01","12","South America","Brazil","Paraná",NA,"Rio do Corvo, Serra do Mar.","-48.906339","-25.339275","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626233","NY00626233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626234","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","V. Plana","R. Reitz","6.370","1958","02","04","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim.","-49.2656","-26.1925","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626234","NY00626234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626230","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","G. G. Hatschbach","O. dos S. Ribas","2201","1997","12","31","South America","Brazil","Paraná","Tijucas do Sul","Serra Papanduva.","-49.1989","-25.9283","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626236","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer","V. Plana","M. Koscinsky","183","1938","12",NA,"South America","Brazil","São Paulo",NA,"Serra da Cantareira.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626236","NY00626236_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L.1076971","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer",NA,"Reitz R; Klein RM",NA,"1958","02","04","Southern America","Brazil","Santa Catarina",NA,"Santa Catarina. Morro do Iquererim, Campo Alegre.","-53.733333","-26.533333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1076971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1076971","NL-L1076971","Magnoliopsidae","-53.733333","-26.533333","U 0055229 | Uw 6920",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L.1638896","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Euplassa","cantareirae","Euplassa cantareirae","Sleumer",NA,"Hatschbach GG; Haas H",NA,"1967","01","12","Southern America","Brazil",NA,NA,"Rio do Corvo (mun.Quatro Barras) Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1638896 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1638896","NL-L1638896","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
