"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","catalogNumber","typeStatus","year","month","sex","preparationType"
"1","2017-09-11 17:12:16-03","UnB","HBVIRTFLBRAS","O","Plantae","Orchidaceae","Restrepia","hypolepta","Restrepia hypolepta","(Lindl.) Rchb.f.","Pinel, N","s.n.","Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA
"2","2010-08-16 16:43:04-03","AMES","HU-HERB","PreservedSpecimen","Plantae","Orchidaceae","Pinelia","hypolepta","Pinelia hypolepta","Lindley","C. Pinel",NA,"South America","Brazil",NA,NA,"AMES 00103182","Drawing of type","1853","1","undetermined","Other"
