"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","800692","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","F. C. Hoehne","s.n.","1934","02","02","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, Sao Paulo, Jardim Botânico","-46.618358","-23.646109","sheet","Ex. Departamento de Botânica do Estado <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800692","NY00800692_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","800697","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","G. G. Hatschbach","G. G. Hatschbach","42785","1980","03","04","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800697","NY00800697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","800706","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","H. S. Irwin","19557","1968","02","08","South America","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 45km S.E. of Belo Horizonte. Serra do Espinhaço","-43.8","-20.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800706","NY00800706_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","800699","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","P. K. H. Dusén","10465","1910","10","25","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800699","NY00800699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 00:23:00-03","NY","NYBG","01068136","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia",NA,"W. C. Holmes","J. B. E. Pohl","254",NA,NA,NA,"South America","Brazil","Minas Gerais","Barbaçena","Barbaçena.","-43.7733","-21.2258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221217' target='other'> <mi>dwc_moreinfo</mi></a>","NY01068136","NY01068136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","800702","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","G. G. Hatschbach","G. G. Hatschbach","26453","1971","02","21","South America","Brazil","Paraná","Marmeleiro","Estr. Marmeleiro-Campo Ere","-53.0258","-26.1494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800702","NY00800702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","800701","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","G. G. Hatschbach","24102","1970","04","06","South America","Brazil","Paraná","Arapoti","Rio das Perdizes","-49.8267","-24.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800701","NY00800701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","800695","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","G. G. Hatschbach","G. G. Hatschbach","35879","1975","01","02","South America","Brazil","Paraná","Palmeira","Corrego da Anta","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800695","NY00800695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","800691","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","A. Gehrt","s.n.","1935","02","06","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, Jabaquara","-46.63","-23.5403","sheet","Ex. Departamento de Botânica do Estado <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800691","NY00800691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","800703","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","G. G. Hatschbach","27139","1972","10","07","South America","Brazil","Paraná","Sengés","Rio Pelame","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800703","NY00800703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 00:23:00-03","NY","NYBG","01068138","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia",NA,"W. C. Holmes","W. J. Burchell","5544","1827","09","05","South America","Brazil","São Paulo",NA,"Villa Franca to Cachoeira",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221222' target='other'> <mi>dwc_moreinfo</mi></a>","NY01068138","NY01068138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","800688","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.",NA,"W. Hoehne","s.n.","1942","01","29","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo, Sao Paulo, Campo de Congonhas","-46.660488","-23.627973","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800688","NY00800688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 12:58:00-03","NY","NYBG","800698","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia",NA,"W. C. Holmes","R. Reitz","17949","1965","12","18","South America","Brazil","Paraná",NA,"Jaguariaiva",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800698","NY00800698_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","800696","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","G. G. Hatschbach","G. G. Hatschbach","21143","1969","02","12","South America","Brazil","Paraná","Laranjeiras do Sul","Km. 127","-52.4158","-25.4081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800696","NY00800696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 12:58:00-03","NY","NYBG","800690","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia",NA,"W. C. Holmes","R. Goodland","33","1965","09","21","South America","Brazil","São Paulo","Pirassununga","Emas","-47.370228","-21.932532","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800690","NY00800690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","800705","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","J. F. Pruski","L. Riedel","101","1824","06",NA,"South America","Brazil",NA,NA,"Pr. Barbarena",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800705","NY00800705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","800689","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","M. Kuhlmann","1577","1947","11","18","South America","Brazil","São Paulo","Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","-47.47","-21.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800689","NY00800689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","800694","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","G. G. Hatschbach","15967","1967","02","15","South America","Brazil","Paraná","Lapa","Rio Passa Deis","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800694","NY00800694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","800704","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","J. F. Pruski","L. Riedel","2084","1834","02",NA,"South America","Brazil",NA,NA,"P. Indayatuba",NA,NA,"sheet","1288. = 413,1016 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800704","NY00800704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","800693","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","J. F. Pruski","L. Riedel","199","1824",NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800693","NY00800693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","800700","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","oblongifolia","Mikania oblongifolia","DC.","W. C. Holmes","P. K. H. Dusén","9543","1910","02","23","South America","Brazil","Paraná",NA,"Capao Grande",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=433888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800700","NY00800700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG4008","S","Plantae",NA,NA,"Asteraceae","Mikania","oblongifolia","Mikania oblongifolia",NA,"E.Hattori","M.Valentina W.","43",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Estames grandes. Altura 40 cm. UTM: 7765000 x; 607430 y.",NA,NA,"1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
