"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","class","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3929450","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","B. Maguire","24622","1944","09","03","South America","Suriname","Tafelberg (Table Mountain), south slopes of Arrowhead Basin.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214402' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929450","NY03929450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3929463","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","K. M. Redden","5723","2007","03","21","South America","Guyana","Meamu Mnt. Base.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214415' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929463",NA,"Cuyuni-Mazaruni","-60.4192","6.28331","233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3929464","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","H. H. van der Werff","12977","1993","08","11","South America","French Guiana","Eau Claire, near Saul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214416' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929464","NY03929464_01",NA,NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03929443","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","C. P. G. Feuillet","10244","1988","06","17","South America","French Guiana","Régina. Mt. Tortue, 11 km WNW of Approuague river.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214318' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929443","NY03929443_01",NA,"-52.37","4.3","200","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3929473","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","P. Majestyk","4022","2002","07","27","South America","Peru","Los Amigos Biological Station. Ca. 2 mi N of the jct of the Los Amigos and Madre de Dios rivers situated on the E side of the Madre de Dios river. Near jct. of Troche Huanaga y Troche Pacal.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214425' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929473",NA,"Madre de Dios","-70.12","-12.53","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3929469","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","A. Fendler","145","1877",NA,NA,"South America","Trinidad and Tobago","Trinidad.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214421' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929469","NY03929469_01 NY03929469_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3929459","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","J. T. Mickel","9453","1984","07","01","South America","Trinidad and Tobago","Trinidad. Asa Wright Nature Centre, 7 mi N of Arima.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214411' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929459","NY03929459_01",NA,NA,NA,"366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3929468","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","A. Fendler","145","1877",NA,NA,"South America","Trinidad and Tobago","Trinidad.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214420' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3929453","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","H. H. van der Werff","12979","1993","08","11","South America","French Guiana","Eau Claire, near Saul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214405' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929453","NY03929453_01",NA,NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3929457","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Trichomanes","kapplerianum","Trichomanes kapplerianum","Sturm","J. T. Mickel","9491","1984","07","04","South America","Trinidad and Tobago","Trinidad. Morne Bleu ridge from Textel station to Morne Bleu peak.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4214409' target='other'> <mi>dwc_moreinfo</mi></a>","NY03929457","NY03929457_01",NA,NA,NA,"732","823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
