"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","22936","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms","syntype","A. F. M. Glaziou","19879","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022936","NY00022936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","22934","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms","syntype","A. F. M. Glaziou","19879","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022934","NY00022934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","22935","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms","syntype","A. F. M. Glaziou","19879","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022935","NY00022935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1144985","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","beaurepairei","Tachigali beaurepairei","(Harms) LF.Gomes da Silva & H.C.Lima",NA,"H. C. de Lima","6569","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301800' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144985","NY01144985_01","L. F. G. da Silva","2007","03","14","Petrópolis","Estrada do Imperador, km 7.5 Parada da Cruz.","-43.2833","-22.4908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1018126","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","beaurepairei","Tachigali beaurepairei","(Harms) LF.Gomes da Silva & H.C.Lima",NA,"H. C. de Lima","6412","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248754' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018126","NY01018126_01","I. Huamantupa Chuquimaco","2006","01","25","Petrópolis","REBIO. Tinguá. Estrada do Imperador, km 7.5, vista para Congonhas.","-43.29686","-22.49164","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:40:20-03","EAO","IAN","4163","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms",NA,"Glaziou, AFM","20286","Southern America","Brasil",NA,NA,NA,"IAN004163","IAN004163_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:08:01-03","NBC","NL-BOTANY","U.1332033","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms",NA,"Ducke A",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332033","NL-U1332033",NA,"1925","10","13",NA,"Procedencia Rio de Janeiro prope urbem loco Vista Clinesa, silva.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:08:01-03","NBC","NL-BOTANY","U.1332034","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms",NA,"Ducke A",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332034","NL-U1332034",NA,"1926","01","01",NA,"Procedencia Rio de Janeiro ad urbem in silvis loco Chinesa.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:30:13-03","MN","R","8764","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Sclerolobium","beaurepairei","Sclerolobium beaurepairei","Harms",NA,"Glaziou, A.F.M.; Netto, L.S.M.; Schwacke, C.A.W. & Rangel, E.S.","1826",NA,"Brasil","Rio de Janeiro",NA,"Plantas do Brasil Central","R000008764","R000008764_001",NA,"1879","04","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-18 01:49:41-03","MNHN","RECOLNAT_MNHN_P","P00577087","PreservedSpecimen",NA,NA,NA,"Fabaceae","Tachigali","beaurepairei","Tachigali beaurepairei","(Harms) L.F.Gomes da Silva & H.C.Lima","syntype","Glaziou, A.",NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00577087' target='other'> <mi>dwc_moreinfo</mi></a>","P00577087","P00577087_01",NA,"1892","12","4",NA,"Rio de Janeiro, Alto Macané",NA,NA,NA,NA,NA,"20286",NA,NA,NA,NA,NA,NA,NA
