"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:41-03","UNESC","CRI","2971","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","isophylla","Microlicia isophylla","DC.","Edmundo Pereira","1955","01","17","A. C. Brade; et al.","1950","07","13","Brasil","Minas Gerais","Baependi","São Tomé das Letras.","-44.890278","-21.959444","44º53'25''W","21º57'34''S","885","885","CRI004421","CRI004421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","177974","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","isophylla","Microlicia isophylla",NA,NA,NA,NA,NA,"Giulietti, A.M., Sakuragui, C.M., Harley, R.M., Atkins, S. & Souza, V.C.","1994","01","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00177974",NA,"13668","E. Tropical South America","herbarium specimen of unspecif","BGBASE:195321","<a href=http://data.rbge.org.uk/herb/E00177974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02060130","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"P. Claussen",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02060130","NY02060130_01","s.n.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505645' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00925952","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto",NA,"-43.5081","-20.2878",NA,NA,NA,NA,"NY00925952","NY00925952_01","308","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998755' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925950","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"NY00925950","NY00925950_01","14728","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998753' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00925947","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin","J. J. Wurdack",NA,NA,NA,"A. C. Brade","1934","06",NA,"Brazil","Minas Gerais","Diamantina",NA,"-43.6003","-18.2494",NA,NA,"1400","1400","NY00925947","NY00925947_01","13716","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998750' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925951","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"L. Riedel","1824","06",NA,"Brazil",NA,NA,"In locis petrosis pr. St. Juão.",NA,NA,NA,NA,NA,NA,"NY00925951",NA,"s.n.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998754' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00925949","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"A. F. M. Glaziou","1894",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"NY00925949","NY00925949_01","20307","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998752' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00925948","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","doryphylla","Microlicia doryphylla","Naudin",NA,NA,NA,NA,"F. C. Hoehne","1921","01","24","Brazil","Minas Gerais","Caeté",NA,"-43.6694","-19.88",NA,NA,NA,NA,"NY00925948","NY00925948_01","5092","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998751' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","522549","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","isophylla","Microlicia isophylla latifolia","Cogn.",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"NY00522549","NY00522549_01","s.n.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=389149' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","latifolia",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00926110","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","isophylla","Microlicia isophylla","DC.","E. M. Woodgyer",NA,NA,NA,"R. de Mello-Silva","1999","02","21","Brazil","Minas Gerais","São Thomé das Letras","Pico do Gavião, contrafortes Oeste.","-44.920046","-21.635006",NA,NA,"1350","1350","NY00926110","NY00926110_01","1610","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999989' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00926093","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","isophylla","Microlicia isophylla","DC.",NA,NA,NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto","Serra de Ouro Preto.","-43.5081","-20.2878",NA,NA,NA,NA,"NY00926093","NY00926093_01","3","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999858' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1654175","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","isophylla","Microlicia isophylla","DC.","T. Rolim",NA,NA,NA,"F. A. Michelangeli","2011","02","04","Brazil","Minas Gerais","Ouro Preto","Road from Parque Estadual do Itacolomi to Lavras Novas, area of canga","-43.52738333333","-20.44565",NA,NA,"1370",NA,"NY01654175","NY01654175_01","1587","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568270' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
