"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","basisOfRecord","class","order","continentOcean","individualCount","typeStatus"
"1","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","38814","Plantae","Orchidaceae","Cattleya","aff. gloedeniana","Cattleya aff. gloedeniana","(Hoehne) Van den Berg","D. R. Couto - 23/8/04","2004","08","23","D.R. Couto","182","2004","08","23","Brasil","Espírito Santo","Alegre","Caveira da Anta","-41.5331001281738","-20.763599395752","26101","1470","1470","Rupícola. Flores amarelas com quilha vermelha. Próxima ao cume da pedra da Caveira da Anta.","MBML038814","MBML038814","auto",NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2857636","Plantae","Orchidaceae","Laelia","gloedeniana","Laelia gloedeniana",NA,NA,NA,NA,NA,"Collector unknown","55069","1948","8","13","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen","Monocotyledonae","Orchidales","South America - Neotropics","1",NA
"3","2019-11-21 10:13:30-03","IBt","SP","55069","Plantae","Orchidaceae","Hoffmannseggella","gloedeniana","Hoffmannseggella gloedeniana","(Hoehne) Chiron & V.P.Castro","Mamede, MCH","2011","03",NA,"s.col.","s.n.",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S",NA,NA,NA,NA,NA
"4","2019-11-21 10:13:30-03","IBt","SP","27100","Plantae","Orchidaceae","Laelia","gloedeniana","Laelia gloedeniana","Hoehne","Hoehne, FC","1933",NA,NA,"Gloeden, N","s.n.","1930","12","19","Brasil","Espírito Santo",NA,"Cultivada no Jardim Botânico de São Paulo",NA,NA,NA,NA,NA,"Flores amarelas","SP002201","SP002201",NA,"S",NA,NA,NA,NA,"Holotype"
