"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","03913321","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","C. G. Jordán","281","2002","12","01","South America","Bolivia","Santa Cruz","Manuel María Caballero","La Jara, Siberia, Camino a Laguna Brava","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4195006' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913321","NY03913321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","807796","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","A. C. Brade","15532","1937","03",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Pedra do Altar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807796","NY00807796_01","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","807799","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","J. N. Rose","20514","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaya.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807799","NY00807799_01","-44.5631","-22.4961","2700","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","807802","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","C. H. Rolleri","243","1978","07",NA,"South America","Bolivia","Cochabamba","Chapare","Lago Corani (represa Santa Elena) en la ruta Cochabamba - Villa Tunari.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807802","NY00807802_01",NA,NA,"2800","2800","D. B. Lellinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","807797","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","P. K. H. Dusén","400","1902","05","30","South America","Brazil",NA,NA,"Serra do Itatiaia, Retiro, Serra da Pedro Apentada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807797","NY00807797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017166","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","P. H. Labiak E.","4463","2008","01","11","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Subida para o Pico das Agulhas Negras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199853' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017166","NY01017166_01","-44.6631","-22.38","2650","2650","P. H. Labiak E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","807798","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","A. C. Brade","6485","1913","06",NA,"South America","Brazil","Rio de Janeiro",NA,"Itatiaya.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807798","NY00807798_01","-44.658529","-22.378789","2600","2600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","807800","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","J. N. Rose","20505","1915","07","26","South America","Brazil","Rio de Janeiro",NA,"Vicinity of Itatiaya.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807800","NY00807800_01","-44.621933","-22.371556","2300","2700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","807795","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","P. C. Porto","2592","1932","05","25","South America","Brazil","Rio de Janeiro","Itatiaia","Báse das Agulhas Negras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807795","NY00807795_01","-44.665982","-22.385479",NA,NA,"A. C. Brade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03913320","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","I. G. Vargas Caballero","6719","2002","12","01","South America","Bolivia","Santa Cruz","Manuel María Caballero","Cerro Pongillo, cerca de Laguna Brava. 2,5 km arriba de la comunidad La Jara.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4194996' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913320","NY03913320_01","-64.6233","-17.8133","3080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02696788","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","F. B. Matos","2205","2013","02","12","South America","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira, Parque Nacional do Itatiaia, trilha para o Pico das Agulhas Negras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974256' target='other'> <mi>dwc_moreinfo</mi></a>","NY02696788","NY02696788_01","-44.675","-22.3839","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03913322","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","M. A. Sundue","820","2003","08","04","South America","Bolivia","Santa Cruz","Manuel María Caballero","Laguna Brava.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4195007' target='other'> <mi>dwc_moreinfo</mi></a>","NY03913322","NY03913322_01","-64.62","-17.7983","3070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","807794","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","R. M. Tryon","6698","1965","11","03","South America","Brazil","Rio de Janeiro",NA,"Planalto of Itatiáia (mountain), 150km W-NW of Rio de Janeiro. Ca. 1/2km N of Abrigo Rebouças shelter house.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807794","NY00807794_01","-44.617038","-22.371537","2350","2350","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1016529","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","A. F. M. Glaziou","7016","1871","06","06","South America","Brazil","Rio de Janeiro","Itatiaia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178919' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016529","NY01016529_01","-44.617038","-22.371537","2400","2400","J. P. Condack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02422558","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","J. Prado","1122","2000","06","21","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, subida do Pico das Agulhas Negras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635182' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422558","NY02422558_01","-44.67","-22.38","2397","2397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","807801","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","H. Luederwaldt","21145","1906","06",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Campo do Itatiaya.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807801","NY00807801_01","-44.5631","-22.4961",NA,NA,"A. C. Brade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1144527","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","L. Sylvestre","1893","2006","12",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1293371' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144527","NY01144527_01","-44","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:32:10-03","UFRJ","RFA","43043","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","Lino, V.; Reis, A.","51","2018","09","21",NA,"Brasil","Rio de Janeiro","Itatiaia","BR 485, estrada entre a guarita do Planalto e Abrigo Rebouças.",NA,"Habito: Terrestre","RFA42748",NA,"-44.680278","-22.385","2394","2394","Lino, V. & Sousa, H.C.F.","2018","09","25","44º40'49''W","22º23'6''S",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:20:47-03","UFRJ","RFA","23488","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","brasiliensis","Jamesonia brasiliensis","Christ","F. Segadas-Vianna; Dau, L.; Ormond, W.T. & Machline, G.C.","275","1953",NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia.",NA,NA,"RFA41061",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"Morton, C.V. & Lellinger, D.B.",NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA
