"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","class","order","minimumElevationInMeters","maximumElevationInMeters","typeStatus","relatedCatalogItem","infraspecificEpithet"
"1","2019-10-09 11:21:02-03","UFBA","ALCB","70841","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Calyptranthes","restingae","Calyptranthes restingae","Sobral","Lourenço, AR","2015","02","06","Alves, L. de J.","12","2005","10","10","Southern America","Brasil","Bahia","Porto Seguro","Extremo Sul, RPPN Manona","-39.0647010803223","-16.4496994018555","68835","Folhas coriáceas, concolor. Inflorescência com tomentos ferrugíneos.; Arbórea","ALCB008762","ALCB008762","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:21:02-03","UFBA","ALCB","97292","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Calyptranthes","restingae","Calyptranthes restingae","Sobral","Guedes, ML","2010","11",NA,"Menezes, CM; Guedes, ML; Colares, CCA","01","2010","11","15","Southern America","Brasil","Bahia","Maragogipe","Recôncavo Sul, São Roque","-38.916667","-12.766667",NA,"ca. de 7 m alt.., Caule com ritidoma esfoliante, pardo. Folhas simples, opostas, discolores, glabras, cartáceas, margens inteiras, ligeiramente odoríferas. Inflorescências terminais, pouco desenvolvidas, cimosas em dicásio, raquis com","ALCB057548",NA,NA,"-38.916667","-12.766667",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:14:21-03","ESALQ","ESA","53990","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Calyptranthes","restingae","Calyptranthes restingae","Sobral","Santos, M.F.",NA,NA,NA,"Lucas, E.J. et al.","990.0","2006","12","04",NA,"Brasil","Bahia","Olivença",NA,NA,NA,NA,NA,"ESA053990","ESA053990",NA,"-39,008,833","-14,971,833",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:21-03","ESALQ","ESA","54087","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Calyptranthes","restingae","Calyptranthes restingae","Sobral","Santos, M.F.",NA,NA,NA,"Lucas, E.J. et al.","1087.0","2006","12","06",NA,"Brasil","Bahia","Una",NA,NA,"-15.27",NA,NA,"ESA054087","ESA054087",NA,"-39,050,833","-15.27",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:39:01-03","UFMG","BHCB","124276","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Calyptranthes","restingae","Calyptranthes restingae","Sobral",NA,"2008","09",NA,"Lucas, EJ; Sampaio, D; Brummitt, NA; Campos, OR; Flores, TB; Jennings, LVS","1087","2006","12","06","Southern America","Brasil","Bahia","Una","Entrada para a estrada de Rio das Pedras.","-39.051389","-15.272222",NA,"Árvore de c. 7 m de altura, botões marrons, ferrugíneos.","BHCB000758","BHCB000758",NA,"-39.051389","-15.272222",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-07 09:35:42-03","UEFS","HUEFS","193885","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrcia","restingae","Myrcia restingae","(Sobral) A.R.Lourenço & E.Lucas","J.D.O.Melo","2019","07",NA,"Lucas, E.J.","990","2006","12","04",NA,"Brasil","Bahia","Olivença","A direita de estrada principal, ca. 2 Km a Sul de Olivença.","-39.014722","-14.975278",NA,NA,"HUEFS0193885","HUEFS0193885",NA,"39W0'53''","14S58'31''","Rosanae","Myrtales","21","21",NA,NA,NA
"7","2019-10-07 09:35:42-03","UEFS","HUEFS","182920","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrcia","restingae","Myrcia restingae","(Sobral) A.R.Lourenço & E.Lucas","J.D.O.Melo","2019","07",NA,"Matos, E.N.de","127","2011","05","30",NA,"Brasil","Bahia","Una","Faz.Bolandeira.",NA,"-16.362778",NA,"Arbustiva.","HUEFS0182920","HUEFS0182920",NA,"39W0'73''","16S21'46''","Rosanae","Myrtales",NA,NA,NA,NA,NA
"8","2019-10-07 09:35:42-03","UEFS","HUEFS","169074","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrcia","restingae","Myrcia restingae","(Sobral) A.R.Lourenço & E.Lucas","J.D.O.Melo","2019","07",NA,"Matos, E.N.de","3377","2012","04","21",NA,"Brasil","Bahia","Una","Faz. Bolandeira","-39.009167","-15.339167",NA,"Restinga. Floresta.","HUEFS0169074","HUEFS0169074",NA,"39W0'33''","15S20'21''","Rosanae","Myrtales",NA,NA,NA,NA,NA
"9","2019-10-07 09:35:42-03","UEFS","HUEFS","203534","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrcia","restingae","Myrcia restingae","(Sobral) A.R.Lourenço & E.Lucas","J.D.O.Melo","2019","07",NA,"Faria, J.E.Q.","2549","2012","04","03",NA,"Brasil","Bahia","Prado","Saída da cidade de Prado.","-39.242778","-17.317222",NA,"Duna e vegetação pioneira de escrube.","HUEFS0203534",NA,NA,"39W14'34''","17S19'2''","Rosanae","Myrtales","28","28",NA,NA,NA
"10","2019-10-07 09:35:42-03","UEFS","HUEFS","41535","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Myrcia","restingae","Myrcia restingae","(Sobral) A.R.Lourenço & E.Lucas","J.D.O.Melo","2019","07",NA,"Mattos-Silva, L.A.","3894","1999","03","17",NA,"Brasil","Bahia","Ilhéus","Distrito de Olivença. Estrada que liga Olivença aos Povoados de Maroim, Sapucaeira e Búzios, Km 6.","-39.0494003295898","-14.7889003753662","61245","Vegetação de restinga, solo sílico-argiloso.","HUEFS0041535","HUEFS0041535","auto",NA,NA,"Rosanae","Myrtales",NA,NA,NA,NA,NA
