"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","872769","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","L. Riedel","1279","1833","04","South America","Brazil","L. [?] Orgos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872769","NY00872769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885238","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","L. B. Smith","13994","1964","12","South America","Brazil","Campo de Irani","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885238","NY00885238_01","L. B. Smith","15","Santa Catarina","Irani","-51.83","-26.95","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885240","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","F. C. Hoehne","881","1917","11","South America","Brazil","Butantan","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885240","NY00885240_01","F. C. Hoehne","07","São Paulo",NA,"-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885239","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","L. B. Smith","11312","1957","02","South America","Brazil","Rio Caveiras, Estrada da Rodagem Federal km 8 south of Lajes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885239","NY00885239_01","L. B. Smith","12","Santa Catarina","Lajes","-50.3258","-27.8161","800","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872767","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","W. R. Anderson","9278","1973","04","South America","Brazil","Rio Pandeiros, ca. 52 km by road W of Janúaria near road to Serra das Araras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872767","NY00872767_01","S. Barrett","21","Minas Gerais",NA,"-44.83","-15.45","520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872768","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","P. Clausen","1810",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872768","NY00872768_01",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885241","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","J. C. Lindeman","4945","1967","03","South America","Brazil","Low, flooded areas just NW of Barbaquá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885241","NY00885241_01","W. Segeren","16","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","885237","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","G. G. Hatschbach","26554","1971","03","South America","Brazil","Rio Irai","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885237",NA,"G. G. Hatschbach","12","Paraná","Piraquara","-49.0631","-25.4419","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:43-03","UFRJ","RFA","11989","PreservedSpecimen","Plantae",NA,NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","G.G. Hatschbach","26554","1971","03",NA,"Brasil","Rio Iraí",NA,"Flor azul claro","RFA47912",NA,"G.G. Hatschbach","12","Paraná","Piraquara","-49.0633010864258","-25.4416999816895","900","900","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:58-03","UTFPR","DVPR","4717","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Caxambu, MG; Siqueira, EL; Sozzo, AR","7332","2016","03",NA,"Brasil","Estação Ecológica Municipal Juquiri.",NA,"erva hidrófila, heliófita, submersa. Flores roxas.; Relevo: ondulado.","DVPR004717",NA,"Caxambu, MG","31","Paraná","Mato Rico","-52.07355","-24.45356","816","816",NA,NA,"2016","04","13","-52.07355","-24.45356",NA,NA,NA
"11","2020-11-26 18:09:24-03","CPAN-UFMS","COR","6103","PreservedSpecimen","Plantae",NA,NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Damasceno-Júnior, G. A.; Nakagima, J. & equipe do projeto Aquarap","1658","1998","09",NA,"Brasil","Ressurgência do rio Formoso",NA,"Erva aquática submersa Habito: Erva aquática submersa",NA,NA,"Pott, V. J.","06","Mato Grosso do Sul","Bonito","-56.636389","-21.256667","401","401",NA,NA,NA,NA,NA,"56º38'11''W","21º15'24''S",NA,NA,NA
"12","2020-11-26 18:09:24-03","CPAN-UFMS","COR","6104","PreservedSpecimen","Plantae",NA,NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Damasceno-Júnior, G. A.; Nakagima, J.; Resende, U. M. & equipe do projeto Aquarap","1601","1998","09",NA,"Brasil","Riacho Olho D#?#água, nascente do rio da Prata",NA,"Erva aquática submersa, sobre banco de areia Habito: Erva aquática submersa",NA,NA,"Pott, V. J.","03","Mato Grosso do Sul","Jardim","-56.445278","-21.438333","271","271",NA,NA,NA,NA,NA,"56º26'43''W","21º26'18''S",NA,NA,NA
"13","2019-10-09 11:29:11-03","UFBA","ALCB","61305","PreservedSpecimen","Plantae","Monocotyledon",NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Santana, DL; Pacheco, LM; Ramos, GAB","671","2001","11","Southern America","Brasil","Litoral Norte, Ilhas das Ostras, Rio Crumaí",NA,"aquática. Folhas submersas membranáceas. Material estéril.; planície inundada com vegetação arbustiva-arbórea.","ALCB010226","ALCB010226","Sousa, DJL","03","Bahia","Conde","-37.6","-11.8",NA,NA,NA,NA,"2012","11","23","-37.6","-11.8",NA,NA,NA
"14","2019-10-09 11:29:11-03","UFBA","ALCB","95417","PreservedSpecimen","Plantae","Monocotyledon",NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Guedes, ML; Gomes, FS; Alunos de Botânica Econômica","17202","2010","06","Southern America","Brasil","Baixo Médio São Francisco, Entrada para a subida do Morro do Serrote",NA,"aquático. Folhas membranáceas, filiformes. Flores lilases com fauce amarela.; área alagada na beira da barragem do Sobradinho.","ALCB010225","ALCB010225","Sousa, DJL","05","Bahia","Sobradinho","-40.807778","-9.390556","398","398",NA,NA,"2012","09","13","-40.807778","-9.390556",NA,NA,NA
"15","2020-02-08 08:58:48-03","NBC","NL-BOTANY","U.1524054","PreservedSpecimen","Plantae",NA,"Commelinales","Pontederiaceae","Heteranthera","zosteraefolia","Heteranthera zosteraefolia","Mart.","Lindeman JC; Haas JH de",NA,"1967","03","Southern America","Brazil","Flora Brasiliae Australis. Est. Paraná. Low, flooded area just N.W. of Barbaquá.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1524054","NL-U1524054",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"16","2020-02-08 08:58:48-03","NBC","NL-BOTANY","U.1524060","PreservedSpecimen","Plantae",NA,"Commelinales","Pontederiaceae","Heteranthera","zosteraefolia","Heteranthera zosteraefolia","Mart.","Lindeman JC; Haas JH de",NA,"1967","03","Southern America","Brazil","Flora Brasiliae Australis. Est. Paraná. Bank of Rio dos Torres, ca. 85 km S.W. of Guarapuava.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524060 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1524060","NL-U1524060",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"17","2020-02-08 08:58:48-03","NBC","NL-BOTANY","U.1524067","PreservedSpecimen","Plantae",NA,"Commelinales","Pontederiaceae","Heteranthera","zosteraefolia","Heteranthera zosteraefolia","Mart.","Herter WG",NA,"1933","11","Southern America","Uruguay","Plantæ Uruguayenses. Dep. de Lavalloja. Penitente.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1524067","NL-U1524067",NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"18","2020-02-08 08:58:48-03","NBC","NL-BOTANY","L.1432611","PreservedSpecimen","Plantae",NA,"Commelinales","Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Hatschbach GG",NA,"1961","12","Southern America","Brazil","Parana, Tijucas do Súl, Rincão.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1432611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1432611","NL-L1432611",NA,"07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"19","2020-11-19 10:25:05-03","CPAP","CPAP","10127","PreserverdSpecimen","Plantae",NA,NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Cervi, A. C.","3401","1991","10",NA,"Brasil","Poço preto, riacho a 2km da casa de hospedes do Parque do Iguaçu",NA,"Aquática flutuante fixa. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: . SUBSTRATO: . RELEVO: .",NA,NA,"A. C. Cervi; V. J. Pott","15","PR","Foz do Iguaçu&nf;ag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-19 10:25:05-03","CPAP","CPAP","13355","PreserverdSpecimen","Plantae",NA,NA,"Pontederiaceae","Heteranthera","zosterifolia","Heteranthera zosterifolia","Mart.","Pott, V. J.","2581","1995","04",NA,"Brasil","Rio Sucuri. Fazenda São Geraldo, ponto turístico de bar com mergulho",NA,"Erva aquática flutuante fixa ousubmersa. FLOR: lilás. FRUTO: ainda verde. INTERESSE: Ornamental. FREQUÊNCIA: Muito frequente. AMBIENTE: Rio de água forte correnteza limpida, calcárias, com conchas no fundo. 1-3m profundidade. SUBSTRATO: solo calcário e",NA,NA,NA,"24","MS","Bonito","-56.5575","-21.266944","350","350",NA,NA,NA,NA,NA,"56°33'27'' W","21°16'01'' S",NA,NA,NA
