"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:25:16-03","UNESC","CRI","3874","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa","Benth.","J. A. Jarenkow","1988","11","08","J. A. Jarenkow","1988","10","08","Brasil","Rio Grande do Sul","Marcelino Ramos","Mata do Sétimo Céu.","-51.906667","-27.462222","51º54'24''W","27º27'44''S","CRI002670","CRI002670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","167081","PreservedSpecimen","Plantae","Leguminosae","Calliandra","foliolosa","Calliandra foliolosa",NA,NA,NA,NA,NA,"Shepherd, G.J.",NA,NA,NA,"BR",NA,NA,"Parana: Iguacu Falls, 1-2 km above the Devil's Throat.",NA,NA,NA,NA,"E00167081",NA,"60984","E. Tropical South America","150","150","herbarium specimen of unspecif","BGBASE:172735","<a href=http://data.rbge.org.uk/herb/E00167081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:33-03","E","E","167082","PreservedSpecimen","Plantae","Leguminosae","Calliandra","foliolosa","Calliandra foliolosa",NA,NA,NA,NA,NA,"Fiebrig, K.",NA,NA,NA,"PY",NA,NA,"In regione fluminis Alto Paraná.",NA,NA,NA,NA,"E00167082",NA,"5402","E. Tropical South America",NA,NA,"herbarium specimen of unspecif","BGBASE:172736","<a href=http://data.rbge.org.uk/herb/E00167082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 04:24:00-03","NY","NYBG","01491940","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa",NA,"D. R. Brunner",NA,NA,NA,"E. M. Zardini","1993","05","25","Paraguay","Paraguarí",NA,"1 km N of Villa Florida on Tebicuary River.","-57.13","-26.38",NA,NA,"NY01491940","NY01491940_01","35828","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834807' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00390181","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa","Benth.","H. S. Irwin",NA,NA,NA,"G. T. Prance","1964","10","23","Brazil","Goiás","Caiapônia","Serra do Caiapó. 50 km south of Caiponia. Beside small creek","-51.8103","-16.9569",NA,NA,"NY00390181","NY00390181_01","59595","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307430' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00390176","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa","Benth.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1986","10","12","Brazil","Paraná","Foz do Iguaçu","Parque Nac. do Iguaçu, estr. p/ Poço Preto","-54.5881","-25.5481",NA,NA,"NY00390176","NY00390176_01 NY00390176_02","50624","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307428' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 14:41:00-03","NY","NYBG","01491938","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa",NA,"L. C. Stutz de Ortega",NA,NA,NA,"L. C. Stutz de Ortega","1984","11","25","Paraguay",NA,NA,"C. F. A. P., Pto. Stroessner",NA,NA,NA,NA,"NY01491938","NY01491938_01 NY01491938_02","1560","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834794' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01491934","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa","Benth.","R. C. Barneby",NA,NA,NA,"F. J. Fernández Casas","1980","09","18","Paraguay","Itapúa",NA,"Cerca de la Colonia Caicisa.",NA,NA,NA,NA,"NY01491934","NY01491934_01","FC3732","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834294' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00917667","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa","Benth.","H. S. Irwin",NA,NA,NA,"R. S. Santos","1963","09","10","Brazil","Minas Gerais","Varjao de Minas","Faz. S. José, pr. Varjao","-46.0317","-18.3781",NA,NA,"NY00917667","NY00917667_01","24104","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997733' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 19:34:00-03","NY","NYBG","01491926","PreservedSpecimen","Plantae","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa",NA,"R. C. Barneby",NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,"NY01491926","NY01491926_01","995","South America",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834139' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
