"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:24:50-03","UNESC","CRI","2996","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","angustissimum","conspicuum","Didymopanax angustissimum conspicuum","Hermógenes Leitão Filho","Raquel Rejane Bonatto Negrelle","1991","11","28","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI000638","CRI000638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","13262","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima","Gasper, AL de","Verdi, M.; Gasper, A.L. de","2009","05","22","Brasil","Santa Catarina","Orleans","Rio Hipólito - Parque Nacional de São Joaquim. Rio Hipólito - Parque Nacional de São Joaquim.","-49.499444","-28.260278","49º29'58''W","28º15'37''S","646","646","CRI011786","CRI011786","(Marchal) Frodin","2009","05","22","2170","Florística IFFSC 117(Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: árvore;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","11967","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima","Aline Votri Guislon","Aline Votri Guislon; Altamir Rocha Antunes; Jhoni Caetano & Peterson Teodoro Padilha","2013","07","18","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010113","CRI010113","(Marchal) Frodin","2015","10","14",NA,"Pap 105 cm Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:50-03","UNESC","CRI","5071","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; V. P. Boff","1996","11","05","Brasil","Santa Catarina","Urussanga","Santana.","-49.325","-28.522778","49º19'30''W","28º31'22''S","300","300","CRI013815","CRI013815","(Marchal) Frodin","1996","11","05","2224","Sobre estéreis de mineração á céu aberto abandonada ha 13 anos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:13-03","UNESC","CRI","3362","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima","P. Fiaschi","Vanilde Citadini-Zanette; A. J. de Aguiar","1993","07","29","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.498333","-28.368333","49º29'54''W","28º22'6''S",NA,NA,"CRI013814","CRI013814","(Marchal) Frodin","2013","08","17","1958","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:19-03","E","E","161251","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima",NA,"Ibáñez García, A. & Bridgewater, S.","1996","10","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00161251",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161251 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:168657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1018115","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","angustissimum",NA,"Didymopanax angustissimum",NA,"H. C. de Lima","2001","11","15","Brazil","Rio de Janeiro","Nova Iguaçú","REBIO, Tinguá, Estrada do Ouro, Trilha para o Rancho dos Bobos, Mato Escuro, proximo ao riacho Nova Estrela. Vale entre as Serras de Tinguá e do Coito.","-43.4508","-22.7594",NA,NA,NA,NA,"NY01018115","NY01018115_01","Marchal",NA,NA,NA,"5944","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248743' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00749972","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima","P. Fiaschi","P. Fiaschi","2005","03","18","Brazil","Bahia","Camacan","RPPN Serra Bonita, 9,7 km W de Camaca na estrada para Jacareci, ramal para a RPPN, ca. 6 km da entrada","-39.5652778","-15.3916667",NA,NA,"850","850","NY00749972","NY00749972_01","(Marchal) Frodin",NA,NA,NA,"2851","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912761' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1019576","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima",NA,"R. C. Forzza","2006","11","22","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca.","-43.887946","-21.704555",NA,NA,"1100","1700","NY01019576","NY01019576_01","(Marchal) Frodin",NA,NA,NA,"4344","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286931' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02682955","PreservedSpecimen","Plantae","Araliaceae","Schefflera","angustissima",NA,"Schefflera angustissima",NA,"D. Sucre",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Serra do Mendanha, entre 600 - 700 msm.",NA,NA,NA,NA,NA,NA,"NY02682955","NY02682955_01","(Marchal) Frodin",NA,NA,NA,"6564","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946530' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Apiales",NA,NA,NA,NA,NA,NA,NA,NA
