"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","preparationType","recordNumber","class","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:44-03","UNESC","CRI","12288","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","(Lindl.) M.W.Chase & N.H.Williams","Alexandre Medeiros","2017","04","22","Alexandre Medeiros","2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro. Restinga","-48.6347007751465","-26.9906005859375","8793","Coleta 156","CRI010472","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:44-03","UNESC","CRI","8971","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","micropogon","Gomesa micropogon","(Rchb. f.) R. W. Chase e N. H. Williams","Jorge Luiz Waechter","2011","08","23","Lislaine Cardoso de Oliveira","2011","04","14","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278",NA,"Floresta brejosa","CRI005628",NA,"49º29'10''W","28º56'7''S","4","4","CRI005628",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","505013","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Grupo Pedra do Cavalo","1980","08",NA,"Brazil","Bahia","Cachoeira","Mata do Rio Jacuipe - Vale dos Rios Paraguacu e Jacuipe","-39.08","-12.53",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=744708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505013",NA,NA,NA,"40","120","NY00505013_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02796074","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","M.W.Chase & N.H.Williams","T. E. C. Meneguzzo",NA,NA,NA,"J. G. Jardim","2001","08","12","Brazil","Bahia","Jussari","Entrada 7,5 km da Rod. Jussari/Palmira. Faz. Teimoso 1,7 km da entrada, Reserva Particular do Patrimonio Natural (RPPN) Serra do Teimoso. Sede da Reserva","-39.5311","-15.1544",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474752' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796074",NA,NA,NA,NA,NA,"NY02796074_01","Magnoliophyta","Asparagales","South America","sheet","3738",NA,NA,NA
"5","2020-06-29 11:31:46-03","UFRJ","RFA","35455","PreservedSpecimen","Plantae","Orchidaceae","Alatiglossum","ciliatum","Alatiglossum ciliatum","(Lindl.) Baptista","M. M. Moreira","2010","11","17","M. M. Moreira; R. S. Candido, M. O. Silva & A. C. G. Ramos","2008","09","06","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), Av. Estado da Guanabara","-43.2075004577637","-22.9027996063232","57442","Planta epífita, semi-heliófila, coleta para cultivo. Floresceu no mês de março. Flores amarelas com máculas castanhas nas pétalas e sépalas","RFA22833","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA
"6","2019-12-04 15:26:36-03","PUCPR","HUCP","21265","S","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","(Lindl.) M.W. Chase. & N.H.Williams","Lemos, JV",NA,NA,NA,"Lemos, JV","2007","12","20","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508",NA,"HUCP00003474","auto",NA,NA,NA,NA,"HUCP00003474","Monocotiledonea",NA,NA,NA,"046",NA,NA,NA
"7","2019-10-09 11:28:41-03","UFBA","ALCB","73863","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2019","09","24","Guedes, ML; Valadão, RM; Santos, JS","2006","09","24","Brasil","Bahia","Ituberá/Grapiúna","Litoral Sul, Vila 5","-39.133333","-13.716667",NA,"Epífita. com pseudobulbo pequeno. Folhas grossas. Inflorescência com flores de sépalas pintalgadas de marron e labelo amarelo-ouro. Ocasional.; Arbórea","ALCB007672",NA,"-39.133333","-13.716667",NA,NA,"ALCB007672","Monocotyledon",NA,"Southern America",NA,"12080",NA,NA,NA
"8","2019-10-09 11:28:41-03","UFBA","ALCB","108803","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2019","09","24","Guedes, ML","2012","04","07","Brasil","Rio de Janeiro","Rio de Janeiro","APA Restinga entre Itaipuaçu e Marica","-42.901111","-22.971667",NA,"epífita, pseudobulbo curto. Inflorescência panícula com flores amarelo-ouro maculada de marrom.","ALCB007671",NA,"-42.901111","-22.971667",NA,NA,"ALCB007671","Monocotyledon",NA,"Southern America",NA,"19627",NA,NA,NA
"9","2019-10-09 11:28:41-03","UFBA","ALCB","86737","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2019","09","24","Ramos, C.H.A.; Guedes, ML; et al.","2008","10","28","Brasil","Bahia","Itagibá","Litoral Sul, Mata da Botinha","-39.7075","-14.181389",NA,"epífita. Pseudobulbos curtos. Folhas cartáceas. Inflorescência do tipo panícula. Flores com sépalas e pétalas amarelo-ouro, labelo estriado de marrom..","ALCB007664",NA,"-39.7075","-14.181389",NA,NA,"ALCB007664","Monocotyledon",NA,"Southern America",NA,"556",NA,NA,NA
"10","2019-10-09 11:28:41-03","UFBA","ALCB","86755","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","ciliata","Gomesa ciliata","(Lindl.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2019","09","24","Ramos, C.H.A.; Alves, L. de J.; Santos, CE","2008","09","15","Brasil","Bahia","Itagibá","Litoral Sul, Mata da Botinha","-39.7075","-14.181389",NA,"epífita. Folhas carnosas, levemente discolores. Flores com pétalas amarelas, labelo lobado com manchas marrons.","ALCB007670",NA,"-39.7075","-14.181389",NA,NA,"ALCB007670","Monocotyledon",NA,"Southern America",NA,"391",NA,NA,NA
