"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","278260","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Schaueria","virginea","Schaueria virginea","Nees","type","G. Gardner","II.839","1837","South America","Brazil","Rio de Janeiro","Serra dos Orgaos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00278260","NY00278260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:18:47-03","MN","R","11225","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees",NA,"Glaziou, A.F.M.","222","1861",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Plantas do Brasil Central","R000011225","R000011225_001","Profice, R.S.","06","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 09:28:59-03","UFRRJ","RBR","10758","S","Plantae",NA,NA,"Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees & Mart.",NA,"L.F.T. Menezes","1305","2004",NA,"Brasil","Rio de Janeiro","Restinga da Marambaia, Praia da Gaeta, vegetação pós-praia.",NA,NA,NA,NA,"RBR00010758","RBR00010758","D.M. Braz","12","23","2009","12","24","Marambaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:28:59-03","UFRRJ","RBR","35490","S","Plantae",NA,NA,"Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees & Mart.",NA,"D.M. Braz; M.M.T. Rosa, G.V. Somner, E.L. Jacques","213","2008",NA,"Brasil","Espírito Santo","Estrada principal do loteamento de Praia das Neves, Floresta de cordão arenoso.","-40.966667","-21.273611",NA,NA,"RBR00035490","RBR00035490",NA,"07","26","2012","10","17","Presidente Kennedy","40º58'0''W","21º16'25''S",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 09:28:59-03","UFRRJ","RBR","35491","S","Plantae",NA,NA,"Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees & Mart.",NA,"D.M. Braz; M.M.T. Rosa, G.V. Somner, E.L. Jacques","197","2008",NA,"Brasil","Espírito Santo","Estrada principal do loteamento de Praia das Neves, Floresta de cordão arenoso.","-40.966667","-21.273611",NA,NA,"RBR00035491","RBR00035491",NA,"07","26","2012","10","17","Presidente Kennedy","40º58'0''W","21º16'25''S",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:28:59-03","UFRRJ","RBR","35493","S","Plantae",NA,NA,"Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees & Mart.",NA,"D.M. Braz; A.F.B. Araújo","225","2008",NA,"Brasil","Espírito Santo","Praia das Neves, loteamento, em formação arbustiva de Clusia.","-41.0466995239258","-21.0988998413086",NA,NA,"RBR00035493","RBR00035493 RBR00035493_1 RBR00035493_2",NA,"10","18",NA,NA,NA,"Presidente Kennedy",NA,NA,"24088","auto",NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:28:59-03","UFRRJ","RBR","7173","S","Plantae",NA,NA,"Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees & Mart.",NA,"L.F.T. Menezes","1064","2003",NA,"Brasil","Rio de Janeiro","Restinga da Marambaia, Área de pós-praia, praia da Gaêta. Próximo à Ilha da Marambaia.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00007173","RBR00007173","D.M. Braz","09","17","2016","01","07","Mangaratiba",NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:11:09-03","MBM","MBM","410114","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","litoralis","Schaueria litoralis","(Vell.) A.L.A. Côrtes",NA,"Gaui, T.D.","434","2015","Southern America","Brazil","Rio de Janeiro","Conglomerado 50-1-1-2-R. UTM do Ponto Central: E (649846m) N (7451303m). Fuso do GPS (23K).","-43.2075004577637","-22.9027996063232",NA,"Arbusto com 1,5 m de ltura. Base reta. Casca externa verde, fina, lisa. Flor branca.; Floresta Ombrófila Densa, vegetação secundária.","MBM410114","MBM410114","Moura, R.","10","26","2016","08","11","Rio de Janeiro",NA,NA,"57442","auto","112","112",NA,NA,NA,NA
"9","2017-11-24 15:49:08-02","MNHN","RECOLNAT_MNHN_P","P02901557","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Schaueria","virginea","Schaueria virginea","Nees",NA,"Glaziou, A.",NA,"1875",NA,"Brasil","Rio de Janeiro","Brésil: Floresta da Tijuca.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901557' target='other'> <mi>dwc_moreinfo</mi></a>","P02901557","P02901557_01",NA,"4","4",NA,NA,NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,NA,"9545",NA,NA,NA
"10","2017-11-24 15:49:08-02","MNHN","RECOLNAT_MNHN_P","P02901558","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Schaueria","virginea","Schaueria virginea","Nees",NA,"Glaziou",NA,"1863",NA,"Brasil","Rio de Janeiro","Corcovado, à Paineiras.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901558' target='other'> <mi>dwc_moreinfo</mi></a>","P02901558","P02901558_01",NA,"6","24",NA,NA,NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,NA,"222",NA,NA,NA
"11","2017-11-24 15:49:02-02","MNHN","RECOLNAT_MNHN_P","P02901559","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Schaueria","virginea","Schaueria virginea","Nees",NA,"miers, J.",NA,NA,NA,"Brasil","Rio de Janeiro","Jacaré.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901559' target='other'> <mi>dwc_moreinfo</mi></a>","P02901559","P02901559_01",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,NA,"3738",NA,NA,NA
"12","2021-02-09 10:12:00-03","UENF","HUENF","11209","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","litoralis","Schaueria litoralis","(Vell.) A.L.A.Côrtes",NA,"Haroldo C. de Lima; M.N. Trindade; D.N. Machado; A.N. Lima; M. Paixão; M. Faitanin; H. Viana","8602","2017",NA,"Brasil","Rio de Janeiro","E.E.E.. Módulo RAPELD do PPBio Mata Atlântica, parcela 7.",NA,NA,NA,"Erva ou subarbusto com 4-80 cm alt., ciófilo; folhas membranáceas, discolores. Flores com cálice verde e corola alva; estames alvos. Frequente.","HUENF00012036",NA,"I.H.F. Azevedo","11","28","2018","07","25","São Francisco do Itabapoana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-25 10:12:27-03","CVRD","CVRD","13877","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees & Mart.",NA,"Folli, D.A.","6908","2012","América do Sul","BRASIL","ES",NA,"-40.3333015441895","-19.2649993896484",NA,"áreas de pedra <ll>dwc_commonname:</ll> Rabo de coelho","CVRD013877",NA,"Sheila R. Profice","09","05","2014","04","04","Rio Bananal",NA,NA,"22148","auto","138","138",NA,"Magnoliopsida",NA,NA
"14","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees",NA,"ex herb. Martii","s.n.","1815","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"15","2020-09-12 05:00:02-03","US","US","3122888","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees",NA,"E. Pereira","7192",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Guanabara, S. do Mendanha, Campo Grande.",NA,NA,NA,NA,"US02873928","US02873928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"16","2020-09-12 05:00:02-03","US","US","2949236","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees",NA,"D. Sucre & J. F. Silva","9566",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Estado da Guanabara, serra da Piabas, vertente sul.",NA,NA,NA,NA,"US02873926","US02873926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","210",NA,"Dicotyledonae","1",NA
"17","2020-09-12 05:00:02-03","US","US","3259428","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Schaueria","lophura","Schaueria lophura","Nees",NA,"R. Pineschi & et al.","31",NA,"South America - Neotropics","Brazil","Rio de Janeiro","Volta Redonda, Mata di Cicuta, barreja [interpreted] da Água Fua, margem esguerda.",NA,NA,NA,NA,"US02873933","US02873933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300",NA,NA,"Dicotyledonae","1",NA
