"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","yearIdentified","typeStatus","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","503330","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","L. B. Smith","7958","1956","11","25","South America","Brazil","Santa Catarina","Sao José","Serra de Boa Vista","-48.6272","-27.6156","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503330","NY00503330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503329","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","R. Reitz","10369","1960","11","10","South America","Brazil","Santa Catarina","Sao José","Serra do Boa Vista, Sao José","-48.6272","-27.6156","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503329","NY00503329_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503328","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","G. G. Hatschbach","40451","1977","10","21","South America","Brazil","Paraná","Tijucas do Sul","Rincao","-49.13368","-25.799321",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503328","NY00503328_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503331","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","L. B. Smith","10423","1957","01","25","South America","Brazil","Santa Catarina","Bom Retiro","Fazenda Campo dos Padres, Campo dos Padres","-49.4892","-27.7972","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503331","NY00503331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","503361","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","T. M. Koyama","13669","1970","02","05","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Lagoa da Lapa at km 8 on route to Agulhas Negras","-44.735521","-22.357875","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503361","NY00503361_01","M. das G. L. Wanderley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","503332","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","P. von Luetzelburg","8004","1910",NA,NA,"South America","Brazil",NA,NA,"Serra dos Orgaos, Isabellocca",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503332","NY00503332_01","G. O. A. Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:43-03","PUCPR","HUCP","20125","S","Plantae","Monocotiledonea",NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson.","Ariati, V; Vargas, GR","157","2008","12","14",NA,"Brasil","Paraná","Campina Grande do Sul","Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"Selusniaki, M","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:43-03","PUCPR","HUCP","20923","S","Plantae","Monocotiledonea",NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson.","Selusniaki, M","2447","2008","11","14",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"HUCP00006036",NA,"Selusniaki, M","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:21:08-03","NBC","NL-BOTANY","U.1772290","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","quinquenervis","Xyris quinquenervis","Malme","Lindeman JC; Haas JH de",NA,"1967","02","01","Southern America","Brazil",NA,NA,"Brasiliae Australis, Est. Paraná, near Brejo da Lapa on the road to Abriga Reboucas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772290","NL-U1772290",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L.1430013","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","Reitz R; Klein RM",NA,"1958","12","11","Southern America","Brazil",NA,NA,"SANTA CATARINA. Curral Falso, Bom Jardim, S. Joaquim.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1430013 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1430013","NL-L1430013",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L.1430014","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","Hatschbach GG",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Est. Parana. Mun. Curitiba. Atuba.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1430014 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1430014","NL-L1430014",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:21:14-03","NBC","NL-BOTANY","U.1772239","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","Lindeman JC; Haas JH de",NA,"1967","01","12","Southern America","Brazil",NA,NA,"Brasiliae Australis, Est. Paraná, Barreirinha, 5 km N. of Curitiba.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772239","NL-U1772239",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 12:16:21-03","ESALQ","ESA","135231","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A Nilsson","J.T Motta","4229.0","2013","12","18",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"ESA135231",NA,"E.D. Lozano","27346","auto",NA,"2014",NA,NA,NA,NA,NA,NA,NA
"14","2016-02-02 14:39:17-02","BGBM","B","B 10 0242212","S","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","A. F. M. Glaziou","7999",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242212 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242212","B100242212",NA,NA,NA,NA,NA,"holotype",NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:49:03-03","UFJF","CESJ","72274","PreservedSpecimen","Plantae","Angiosperma",NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilson","N.F.O. Mota; L.L. Giacomin","2442","2011","12","16","América do Sul","Brasil","Minas Gerais","Alagoa","Parque Estadual da Serra do Papagaio, brejo na margem esquerda da estrada próxima à sede do parque (Charco)","-44.724444","-22.204722","1721","1721",NA,"Erva terrestre, cespitosa. Espiga castanha. Plantas armazenadas no álcool.","CESJ072274",NA,"N.F.O. Mota",NA,NA,NA,"2012",NA,"01","03","-44.724444","-22.204722",NA,NA
"16","2019-11-08 08:57:01-03","FURB","FURB","50099","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","4104","2014","11","04",NA,"Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","1200","1200",NA,NA,"FURB50099","FURB50099","Lozano, ED",NA,NA,NA,"2015",NA,NA,NA,"-48.9544444","-26.0391666",NA,NA
"17","2020-10-14 10:07:08-03","FURB","FURB","54385","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A.Nilsson","Santos, E.P.; Pereira, S.","846","1999","11","26",NA,"Brasil","Paraná","São José dos Pinhais","Serra de Araçatuba, Morro dos Perdidos.","-49.05","-25.75","1300","1300",NA,"Flor amarela Habitat: Campo de altitude Habito: Erva","FURB54385","FURB54385","Lozano, E.D.",NA,NA,NA,"2018",NA,"02","15","-49.0500000","-25.7500000",NA,NA
"18","2019-08-16 08:41:26-03","UTFPR","HCF","20749","S","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","E.D. Lozano","2158","2013","12","04",NA,"Brasil","PR","Balsa Nova","São Luís do Purunã, próximo ao Haras","-49.721667","-25.466944",NA,NA,NA,"cespitosa, 30 cm, flores amarelas, campo úmido.",NA,NA,"E.D. Lozano",NA,NA,NA,"2014",NA,NA,NA,"49°43'18 W","25°28'01 S",NA,NA
"19","2019-08-16 08:41:26-03","UTFPR","HCF","20699","S","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","E.D. Lozano","2555","2014","01","22",NA,"Brasil","PR","Campina Grande do Sul","Serra do Ibitiraquire, próximo ao cume","-48.834722","-25.245556",NA,NA,NA,"cespitosa, 40 cm, flores alvas, fim da floração, campo úmido.",NA,NA,"E.D. Lozano",NA,NA,NA,"2014",NA,NA,NA,"48°50'05 W","25°14'44 S",NA,NA
"20","2019-08-16 08:41:26-03","UTFPR","HCF","20698","S","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","E.D. Lozano","2138","2013","12","04",NA,"Brasil","PR","Balsa Nova","São Luís do Purunã, Fazenda Tamanduá","-49.714722","-25.538611",NA,NA,NA,"cespitosa, 30 cm, flores amarelas, campo úmido.",NA,NA,"E.D. Lozano",NA,NA,NA,"2014",NA,NA,NA,"49°42'53 W","25°32'19 S",NA,NA
"21","2019-08-16 08:41:26-03","UTFPR","HCF","20748","S","Plantae",NA,NA,"Xyridaceae","Xyris","stenophylla","Xyris stenophylla","L.A. Nilsson","E.D. Lozano","2179","2013","12","10",NA,"Brasil","PR","Balsa Nova","Recanto dos Papagaios","-49.766944","-25.463889",NA,NA,NA,"cespitosa, 50 cm, flores amarelas, campo úmido em barranco a beira da estrada.",NA,NA,"E.D. Lozano",NA,NA,NA,"2014",NA,NA,NA,"49°46'01 W","25°27'50 S",NA,NA
