"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","locality","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","418571","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rosaceae","Atomostigma","mattogrossense","Atomostigma mattogrossense","Kuntze","holotype","C. E. O. Kuntze","880","1892","07","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418571","NY00418571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522453","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"L. Riedel","s.n.",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1752473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522453","NY01522453_01","B. S. Amorim","Brasilia, Camapua.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00979227","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"W. R. Anderson","8197","1973","04","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979227","NY00979227_01","P. O. Rosa","5 km by road E of Cristalina. Serra dos Cristais.","05","Cristalina","-47.65","-16.8","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00906318","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"L. O. Williams","7599","1945","10","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906318","NY00906318_01","B. S. Amorim","Acaba Mundo, Serra da Curral","03",NA,NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00906432","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"G. Eiten","8595","1968","09","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906432","NY00906432_01","B. S. Amorim","266 km along new road NNE of village of Xavantina (6.5 km due NNW of Royal Society-Royal Geographic Society Base Camp.) 6.2 km N along main road from turnoff to Base Camp","06","Barra do Garças","-51.75","-12.85","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00906532","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"C. E. B. Proença","1532","1996","09","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906532","NY00906532_01","P. O. Rosa","27 km E de Alto Garças, na Estrada para Itiquira, Centro Oeste","19","Alto Garças","-54.05","-16.9833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00908206","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"H. S. Irwin","9719","1965","11","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908206","NY00908206_01","C. M. D. E. Legrand","Serra dos Cristais. 5 km W. of Cristalina","01","Cristalina","-47.6","-16.79518","1175","1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00906740","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"W. R. Anderson","10268","1973","05","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906740","NY00906740_01","P. O. Rosa","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","14","Cocalzinho de Goiás","-48.8086","-15.78805","1250","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00908172","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"R. M. Harley","11285","1968","11","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908172","NY00908172_01","B. S. Amorim","Olaria, near Xavantina","15",NA,"-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00908205","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"H. S. Irwin","9719","1965","11","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908205","NY00908205_01","C. M. D. E. Legrand","Serra dos Cristais. 5 km W. of Cristalina","01","Cristalina","-47.6","-16.79518","1175","1175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00979202","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"H. S. Irwin","26332","1970","02","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979202","NY00979202_01","P. O. Rosa","Serra da Tiririca, ca. 35 km N.W. of Paracatú","08","Paracatú","-47.1541","-17.05385","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00979252","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"G. Eiten","9575","1969","11","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1077008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979252","NY00979252_01","P. O. Rosa","230 km along new road NNE of village of Xavantina (30 km. due S of the Royal Society - Royal Geographic Society Base Camp.) 6.0 km S of Córrego dos Porcos","26","Barra do Garças","-51.75","-12.85","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00908231","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"P. Clausen","s.n.","1839","03","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908231","NY00908231_01",NA,"Brésil: Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1522445","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"L. Riedel","670","1824",NA,"South America","Brazil","Mato Grosso do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751709' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522445","NY01522445_01","B. S. Amorim","Camapua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00908229","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vestita","Myrcia vestita","DC.",NA,"H. S. Irwin","6864","1964","10","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908229","NY00908229_01","C. M. D. E. Legrand","Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","14",NA,"-52.22","-15.4","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
