"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","868582","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","D. C. Daly; A. Roberts","C. A. Cid Ferreira","2657","1980","10","01","South America","Brazil","Acre","Sena Madureira","estrada de Bonsucesso km 7, mata da margem esquerda do rio Caeté","-68.6567","-9.0658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868582","NY00868582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02225532","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.",NA,"C. A. Cid Ferreira","2657","1980","10","01","South America","Brazil","Acre","Sena Madureira","estrada de Bonsucesso km 7, mata da margem esquerda do rio Caeté","-68.6567","-9.0658","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2376256' target='other'> <mi>dwc_moreinfo</mi></a>","NY02225532","NY02225532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01425454","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","D. da Silva Costa","A. Rosas Jr.","345","1985","09","14","South America","Brazil","Acre","Cruzeiro do Sul","BR 364, km 40 ramal 4 do Projeto SAnta Luzia (INCRA).","-72.6697","-7.6311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1691942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01425454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2225440","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","D. da Silva Costa","H. S. Irwin","47779","1960","08","24","South America","Brazil","Amapá",NA,"Rio Oiapoque; near first cachoeira on Rio Iaue, 0.5 km east of confluence with Rio Oiapoque","-52.37","2.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2374999' target='other'> <mi>dwc_moreinfo</mi></a>","NY02225440","NY02225440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","663557","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","W. W. Thomas","W. W. Thomas","7053","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663557","NY00663557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","517281","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","CEPEC Herbarium","W. W. Thomas","9408","1992","11","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Ieao (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.08","-15.15","sheet","Site: U <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517281","NY00517281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2225445","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","D. da Silva Costa","B. Maguire","56663","1963","09","15","South America","Brazil","Rondônia",NA,"Km 133 on Madeira-Mamore Railway",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2375004' target='other'> <mi>dwc_moreinfo</mi></a>","NY02225445","NY02225445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02433570","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","D. da Silva Costa","B. V. Rabelo","3558","1987","10","13","South America","Brazil","Pará","Almeirim","Monte Dourado, Estação Ecológica do Jari, estrada entre sede e campo rupestre","-52.85","-0.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2664828' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433570","NY02433570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1628562","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.","D. da Silva Costa","C. A. Cid Ferreira","1653","1980","07","18","South America","Brazil","Pará","Oriximiná","Rio Trombetas, margem esquerda, lago Erepecu a Oeste do lago","-56.7321056","-1.3421834","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1936761' target='other'> <mi>dwc_moreinfo</mi></a>","NY01628562","NY01628562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","517654","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Neea","verticillata","Neea verticillata","Ruiz & Pav.",NA,"A. M. Amorim","1967","1996","05","07","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na estrada que leva à sede da Reserva","-39.08","-15.15","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517654","NY00517654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
