X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,elevation,elevationAccuracy,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,name,dateIdentified,organismQuantity,organismQuantityType,http...rs.tdwg.org.dwc.terms.organismQuantity,habitat,georeferenceProtocol,dynamicProperties,verbatimSRS,county,verbatimCoordinateSystem,preparations,identificationQualifier,http...rs.tdwg.org.dwc.terms.organismQuantityType,samplingProtocol,identifiedBy,otherCatalogNumbers,fieldNotes,gadm,institutionKey,individualCount,institutionID,samplingEffort,locationAccordingTo,locationRemarks,nameAccordingTo,georeferencedDate,nomenclaturalCode,georeferencedBy,previousIdentifications,datasetID,collectionID,verbatimLocality,projectId,depth,depthAccuracy,namePublishedInYear,fieldNumber,taxonID,acceptedNameUsage,locationID,startDayOfYear,bibliographicCitation,higherClassification,georeferenceSources,identificationID,parentNameUsage,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,lifeStage,higherGeography,endDayOfYear,nomenclaturalStatus,eventID,disposition,accessRights,verbatimTaxonRank,georeferenceVerificationStatus,georeferenceRemarks,verbatimElevation,verbatimEventDate,informationWithheld,coordinateUncertaintyInMeters,vernacularName,infraspecificEpithet,X.1f2c0cbe.40df.43f6.ba07.e76133e78c31.,references,identificationVerificationStatus,eventTime,identificationRemarks,organismID,reproductiveCondition,higherGeographyID,namePublishedIn,eventRemarks,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,http...unknown.org.recordId,rights,associatedTaxa,http...unknown.org.recordEnteredBy,associatedReferences,taxonRemarks,typeStatus,island,islandGroup,identificationReferences,gadm.level0.gid,gadm.level0.name,recordedByIDs.type,recordedByIDs.value,typifiedName,establishmentMeans,created,associatedSequences,programmeAcronym,materialSampleID,parentNameUsageID,acceptedNameUsageID,coordinatePrecision,identifiedByIDs.type,identifiedByIDs.value,http...unknown.org.combinationAuthors,http...unknown.org.verbatimScientificName,http...unknown.org.canonicalName,verbatimLabel,http...unknown.org.combinationYear,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,data_cleaning_note,NM_MUNICIP,CD_GEOCMU
-46.511111,-22.8375,"1089094769",Lantana canescens Kunth,-22.8375,-46.511111,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2925332","6","7707728","220","408","6689","2925302","2925332","2925332",Lantana canescens Kunth,Plantae,Tracheophyta,Lamiales,Verbenaceae,Lantana,Lantana canescens,Lantana,canescens,SPECIES,ACCEPTED,"750","0",NA,São Paulo,"2009","9","1",2009-09-01T00:00:00Z,2021-03-01T19:42:39Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:155762,"326","Parque Ecológico da Pavuna, Da sede até a trilha da esquerda na entrada das cachoeira, depois até a bifurcação final à direita e à esquerda.",Botucatu,UEC - Herbário da Universidade Estadual de Campinas,"1089094769",pt,UEC,BRA:UNICAMP:UEC:155762,Collection,"155762","Santos, LB; Ferreira, FLS",UNICAMP,Universidade Estadual de Campinas,"Arbusto, 2m, beira da trilha logo no início, brácteas florais verdes, corola branca, flores aromáticas.; Mata Atlântica, floresta estacional semidecídua.",Lantana canescens Kunth,2010-11-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,BRAGANÇA PAULISTA,"3507605"
-46.511111,-22.8375,"1587303353",Lantana canescens Kunth,-22.8375,-46.511111,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:30Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2925332","6","7707728","220","408","6689","2925302","2925332","2925332",Lantana canescens Kunth,Plantae,Tracheophyta,Lamiales,Verbenaceae,Lantana,Lantana canescens,Lantana,canescens,SPECIES,ACCEPTED,"750","0",NA,São Paulo,"2009","9","1",2009-09-01T00:00:00Z,2019-11-13T14:32:41Z,2021-03-30T09:57:30Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:203441,"326",Parque Ecológico da Pavuna,Botucatu,SPF - Herbário da Universidade de São Paulo,"1587303353",pt,SPF,BRA:USP:SPF:203441,Collection,"203441","Santos, LB",USP,Universidade de São Paulo,NA,Lantana canescens Kunth,2010-11-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santos, LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,BRAGANÇA PAULISTA,"3507605"
-47.4,-23.65,"1089054954",Lantana canescens Kunth,-23.65,-47.4,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:56Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2925332","6","7707728","220","408","6689","2925302","2925332","2925332",Lantana canescens Kunth,Plantae,Tracheophyta,Lamiales,Verbenaceae,Lantana,Lantana canescens,Lantana,canescens,SPECIES,ACCEPTED,NA,NA,NA,São Paulo,"1998","12","2",1998-12-02T00:00:00Z,2021-03-01T19:42:39Z,2021-04-08T12:43:56Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:103376,"212",Fábrica da Votorantim.,Votorantim,UEC - Herbário da Universidade Estadual de Campinas,"1089054954",pt,UEC,BRA:UNICAMP:UEC:103376,Collection,"103376","Tozzi, AMGA; Filliettaz, AM; Mendonça Filho, CV; Galvão, JC; Moreira, JLA; Santos, K",UNICAMP,Universidade Estadual de Campinas,"Subarbusto 1,6m de altura. Corola branca.; Campo de altitude.",Lantana canescens Kunth,2004-01-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silva, TRS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,PIEDADE,"3537800"
