X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,stateProvince,year,month,day,eventDate,lastInterpreted,license,identifiers,facts,relations,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,collectionCode,occurrenceID,type,catalogNumber,recordedBy,otherCatalogNumbers,institutionCode,occurrenceRemarks,name,dateIdentified,modified,gadm,collectionKey,language,ownerInstitutionCode,identifiedBy,elevation,elevationAccuracy,individualCount,preparations,continent,institutionKey,fieldNotes,references,verbatimEventDate,institutionID,nomenclaturalCode,endDayOfYear,county,startDayOfYear,verbatimElevation,collectionID,habitat,georeferenceProtocol,higherGeography,fieldNumber,verbatimLocality,previousIdentifications,higherClassification,nomenclaturalStatus,taxonID,bibliographicCitation,georeferenceSources,X.1f2c0cbe.40df.43f6.ba07.e76133e78c31.,identificationVerificationStatus,locationAccordingTo,eventTime,identificationRemarks,georeferencedDate,georeferencedBy,georeferenceVerificationStatus,verbatimCoordinateSystem,organismID,identificationQualifier,accessRights,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,vernacularName,datasetID,identificationID,coordinateUncertaintyInMeters,eventRemarks,projectId,acceptedNameUsage,verbatimSRS,materialSampleID,parentNameUsageID,disposition,acceptedNameUsageID,samplingProtocol,parentNameUsage,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,rights,dynamicProperties,locationID,lifeStage,informationWithheld,http...unknown.org.recordId,reproductiveCondition,georeferenceRemarks,http...unknown.org.recordEnteredBy,infraspecificEpithet,typeStatus,taxonRemarks,recordedByIDs.type,recordedByIDs.value,typifiedName,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,locationRemarks,data_cleaning_note,NM_MUNICIP,CD_GEOCMU
-45.888889,-23.656964,"2452912458",Guettarda viburnoides Cham. & Schltdl.,-23.656964,-45.888889,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:16Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"2001","10","20",2001-10-20T00:00:00Z,2021-04-12T14:22:16Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:352652,"4904","Estação Biológica de Boracéia, Floresta Pluvial Tropical, trilha atrás do alojamento do alto",Salesópolis,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452912458",SP,BRA:IBT:SP:352652,Collection,"352652","Pirani, JR; et al.",NA,Instituto de Botânica,NA,Guettarda viburnoides Cham. & Schltdl.,2001-11-12T00:00:00Z,2019-11-21T13:18:01Z,NA,ef48401a-d9e5-467c-b40a-0146618d38de,pt,Instituto de Botânica,"Costa, CB",NA,NA,NA,NA,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SALESÓPOLIS,"3545001"
-46.716667,-23.55,"1801148698",Guettarda viburnoides Cham. & Schltdl.,-23.55,-46.716667,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:30Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1994","2","1",1994-02-01T00:00:00Z,2021-03-30T09:57:30Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:116074,"45",Cidade Universitária Armando de Salles Oliveira,São Paulo,SPF - Herbário da Universidade de São Paulo,"1801148698",SPF,BRA:USP:SPF:116074,Collection,"116074","Dislich, R",NA,USP,NA,Guettarda viburnoides Cham. & Schltdl.,1994-03-01T00:00:00Z,2019-11-13T14:30:09Z,NA,NA,pt,Universidade de São Paulo,"Mantovani, W","750","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO PAULO,"3550308"
-47.1125,-23.523889,"1208844432",Guettarda viburnoides Cham. & Schltdl.,-23.523889,-47.1125,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:56Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1994","12","6",1994-12-06T00:00:00Z,2021-04-08T12:43:56Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:84365,"406",Mata da Câmara.,São Roque,UEC - Herbário da Universidade Estadual de Campinas,"1208844432",UEC,BRA:UNICAMP:UEC:84365,Collection,"84365","Cardoso-Leite, E; Oliveira, A",NA,UNICAMP,"8 m de alt.; Mata mesófila semidecídua.",Guettarda viburnoides Cham. & Schltdl.,NA,2021-03-01T19:39:33Z,NA,a995cf02-345c-46db-8674-3415572615a6,pt,Universidade Estadual de Campinas,"Cardoso-Leite, E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO ROQUE,"3550605"
-47.1125,-23.523889,"2451279872",Guettarda viburnoides Cham. & Schltdl.,-23.523889,-47.1125,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:56Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1993","12","2",1993-12-02T00:00:00Z,2021-04-08T12:43:56Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:84366,"293",Mata da Câmara,São Roque,UEC - Herbário da Universidade Estadual de Campinas,"2451279872",UEC,BRA:UNICAMP:UEC:84366,Collection,"84366","Cardoso-Leite, E; Oliveira, A",NA,UNICAMP,"Nome popular: Moça branca, 6m alt.; Mata mesófila semidecídua.",Guettarda viburnoides Cham. & Schltdl.,1999-01-01T00:00:00Z,2021-03-01T19:39:33Z,NA,a995cf02-345c-46db-8674-3415572615a6,pt,Universidade Estadual de Campinas,"Rodrigues; Cardoso-Leite, E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO ROQUE,"3550605"
-46.1561,-23.2044,"2285831331",Guettarda viburnoides Cham. & Schltdl.,-23.2044,-46.1561,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:55Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1951","12","12",1951-12-12T00:00:00Z,2021-03-30T09:40:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:28608,"2753",Sítio do Sr. João Barbosa Machado,Igaratá,IAC - Herbário do Instituto Agronômico de Campinas,"2285831331",IAC,BRA:IAC:IAC:28608,Collection,"28608",M. Kuhlmann,NA,IAC,DOAÇÃO DO INSTITUTO DE BOTÂNICA.,Guettarda viburnoides Cham. & Schltdl.,1997-05-15T00:00:00Z,2020-11-23T14:39:25Z,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,pt,Instituto Agronômico de Campinas,M.R.V. Barbosa,NA,NA,NA,NA,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,IGARATÁ,"3520202"
-46.6361,-23.5475,"1090545699",Guettarda viburnoides Cham. & Schltdl.,-23.5475,-46.6361,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1943","5","20",1943-05-20T00:00:00Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:16353,"986",Santo Amaro,São Paulo,IAC - Herbário do Instituto Agronômico de Campinas,"1090545699",IAC,BRA:IAC:IAC:16353,Collection,"16353",B.J. Pickel,NA,IAC,NA,Guettarda viburnoides Cham. & Schltdl.,1943-05-20T00:00:00Z,2019-06-28T19:53:13Z,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,pt,Instituto Agronômico de Campinas,B.J. Pickel,NA,NA,NA,NA,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO PAULO,"3550308"
-46.618358,-23.646109,"1929054611",Guettarda viburnoides Cham. & Schltdl.,-23.646109,-46.618358,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:05Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1931","12","16",1931-12-16T00:00:00Z,2021-03-30T13:07:05Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,5afff92d-fb31-436c-89c5-ccf082dd1308,"28623",Jardim Botanico Sao Paulo. Planta viva no. 187,NA,Vascular plants,"1929054611",NY,5afff92d-fb31-436c-89c5-ccf082dd1308,PhysicalObject,"397531",F. C. Hoehne,NA,NY,NA,Guettarda viburnoides Cham. & Schltdl.,2013-01-01T00:00:00Z,NA,NA,b2190553-4505-4fdd-8fff-065c8ca26f72,en,NA,M. R. de V. Barbosa,NA,NA,NA,sheet,SOUTH_AMERICA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680763,16 Dec 1931,http://biocol.org/urn:lsid:biocol.org:col:15556,ICN,"35",Sao Paulo,"35",NA,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,"Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,NA,2016-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1336.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO PAULO,"3550308"
-46.6361,-23.5475,"1090560728",Guettarda viburnoides Cham. & Schltdl.,-23.5475,-46.6361,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:54Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,"1930","12","19",1930-12-19T00:00:00Z,2021-03-30T09:40:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:33273,s/nº,Parque do Estado,São Paulo,IAC - Herbário do Instituto Agronômico de Campinas,"1090560728",IAC,BRA:IAC:IAC:33273,Collection,"33273",F.C. Hoehne,NA,IAC,exsicata do primeira secção Botânica e agronomia do inst. biologica,Guettarda viburnoides Cham. & Schltdl.,1978-06-19T00:00:00Z,2019-06-28T19:53:13Z,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,pt,Instituto Agronômico de Campinas,J.H. Kirkbride Jr.,NA,NA,NA,NA,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO PAULO,"3550308"
-46.6361,-23.5475,"2285831361",Guettarda viburnoides Cham. & Schltdl.,-23.5475,-46.6361,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2894663","6","7707728","220","412","8798","2894616","2894663","2894663",Guettarda viburnoides Cham. & Schltdl.,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda viburnoides,Guettarda,viburnoides,SPECIES,ACCEPTED,São Paulo,NA,NA,NA,NA,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:31727,s/nº,Santo Amaro,São Paulo,IAC - Herbário do Instituto Agronômico de Campinas,"2285831361",IAC,BRA:IAC:IAC:31727,Collection,"31727",L. Krieger,NA,IAC,Identificação confirmada por MRV Barbosa em 2001.,Guettarda viburnoides Cham. & Schltdl.,NA,2020-11-23T14:39:25Z,NA,cb38d6b5-89fd-4aac-9ea7-7d37201df368,pt,Instituto Agronômico de Campinas,L. Krieger,NA,NA,NA,NA,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a nome correto segundo GBIF,SÃO PAULO,"3550308"
