X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,gadm,otherCatalogNumbers,institutionKey,continent,individualCount,preparations,references,created,associatedSequences,higherClassification,taxonID,fieldNotes,habitat,verbatimEventDate,institutionID,datasetID,identificationID,nomenclaturalStatus,nomenclaturalCode,county,fieldNumber,bibliographicCitation,collectionID,coordinateUncertaintyInMeters,georeferencedBy,dynamicProperties,http...unknown.org.recordId,georeferenceVerificationStatus,rights,startDayOfYear,http...unknown.org.recordEnteredBy,georeferenceSources,endDayOfYear,georeferenceProtocol,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,higherGeography,eventRemarks,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,infraspecificEpithet,identificationRemarks,georeferencedDate,lifeStage,verbatimCoordinateSystem,identificationQualifier,organismID,locationID,accessRights,verbatimElevation,verbatimLocality,reproductiveCondition,taxonRemarks,previousIdentifications,typeStatus,typifiedName,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,recordedByIDs.type,recordedByIDs.value,identifiedByIDs.type,identifiedByIDs.value,informationWithheld,projectId,data_cleaning_note,NM_MUNICIP,CD_GEOCMU
-47.92,-24.18,"2304335280",Myrocarpus frondosus Allemão,-24.18,-47.92,"cudc,gass84",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28Z,2021-03-30T12:22:15Z,"128",ada9d123-ddb4-467d-8891-806ea8d94230,PRESERVED_SPECIMEN,PRESENT,"2945759","6","7707728","220","1370","5386","2945756","2945759","2945759",Myrocarpus frondosus Allemão,Plantae,Tracheophyta,Fabales,Fabaceae,Myrocarpus,Myrocarpus frondosus,Myrocarpus,frondosus,SPECIES,ACCEPTED,DD,NA,"400",NA,NA,"2012","6","1",2012-06-01T00:00:00Z,2018-10-04T00:00:00Z,2021-03-30T12:22:15Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,NA,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,NA,MG718178,NA,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",NA,NA,"2304335280",NA,NA,MG718178,NA,NA,R.A.F. Lima,NA,NA,NA,NA,Myrocarpus frondosus Allemão,NA,NA,NA,NA,NA,NA,http://www.ebi.ac.uk/ena/data/view/MG718178,2018-10-04,MG718178,"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliopsida;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;ADA clade;Amburaneae;Myrocarpus","149665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SETE BARRAS,"3551801"
-47.92,-24.18,"2309518134",Myrocarpus frondosus Allemão,-24.18,-47.92,"cudc,gass84",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28Z,2021-03-30T12:22:32Z,"128",ada9d123-ddb4-467d-8891-806ea8d94230,PRESERVED_SPECIMEN,PRESENT,"2945759","6","7707728","220","1370","5386","2945756","2945759","2945759",Myrocarpus frondosus Allemão,Plantae,Tracheophyta,Fabales,Fabaceae,Myrocarpus,Myrocarpus frondosus,Myrocarpus,frondosus,SPECIES,ACCEPTED,DD,NA,"400",NA,NA,"2012","6","1",2012-06-01T00:00:00Z,2018-10-04T00:00:00Z,2021-03-30T12:22:32Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,NA,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,NA,MG718721,NA,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",NA,NA,"2309518134",NA,NA,MG718721,NA,NA,R.A.F. Lima,NA,NA,NA,NA,Myrocarpus frondosus Allemão,NA,NA,NA,NA,NA,NA,http://www.ebi.ac.uk/ena/data/view/MG718721,2018-10-04,MG718721,"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliopsida;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;ADA clade;Amburaneae;Myrocarpus","149665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SETE BARRAS,"3551801"
-46.25,-23.25,"1089063415",Myrocarpus frondosus Allemão,-23.25,-46.25,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:53Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2945759","6","7707728","220","1370","5386","2945756","2945759","2945759",Myrocarpus frondosus Allemão,Plantae,Tracheophyta,Fabales,Fabaceae,Myrocarpus,Myrocarpus frondosus,Myrocarpus,frondosus,SPECIES,ACCEPTED,DD,NA,NA,NA,São Paulo,"1998","6","7",1998-06-07T00:00:00Z,2019-09-16T13:29:45Z,2021-04-08T12:43:53Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:115107,A724,Reserva Biológica Municipal da Serra do,Jundiaí,UEC - Herbário da Universidade Estadual de Campinas,"1089063415",pt,UEC,BRA:UNICAMP:UEC:115107,Collection,"115107","Cardoso-Leite, E",UNICAMP,Universidade Estadual de Campinas,"folha, 9m.","Sartori, ALB",Myrocarpus frondosus Allemão,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SANTA ISABEL,"3546801"
-46.92,-23.25,"1051224638",Myrocarpus frondosus Allemão,-23.25,-46.92,"gass84,colmafu,inmafu",cd6e21c8-9e8a-493a-8a76-fbf7862069e5,061b4f20-f241-11da-a328-b8a03c50a862,996e30f8-f762-11e1-a439-00145eb45e9a,GB,DWC_ARCHIVE,2021-03-28T02:51:35Z,2021-03-30T12:53:55Z,"153",061b4f20-f241-11da-a328-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2945759","6","7707728","220","1370","5386","2945756","2945759","2945759",Myrocarpus frondosus Allemão,Plantae,Tracheophyta,Fabales,Fabaceae,Myrocarpus,Myrocarpus frondosus,Myrocarpus,frondosus,SPECIES,ACCEPTED,DD,NA,NA,NA,NA,"1993","12","18",1993-12-18T00:00:00Z,NA,2021-03-30T12:53:55Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,dceb8d52-094c-4c2c-8960-75e0097c6861,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,NA,K000892073,"51","Serra do Japí. On the road from the main entrance into the reserve, just off the higway.",NA,NA,"1051224638",NA,Herbarium,http://specimens.kew.org/herbarium/K000892073,NA,K000892073,"Garcia, F.C.P.; Klitgaard, B.B.; Lima, H.C. de",K,NA,"Leaves in silicagel, and photos. Institute of Biological Sciences, Department of Systematic Botany, University of Aarhus (AAU), Denmark in collaboration with the Royal Botanic Gardens, Kew (K), United Kindom, and the Botanic Garden of Rio de Janeiro (RB),",NA,Myrocarpus frondosus Allemão,NA,NA,fa252605-26f6-426c-9892-94d071c2c77f,NA,NA,NA,NA,NA,NA,LEGUMINOSAE-PAPILIONOIDEAE,NA,NA,"Semi dry forest on slopes, with similarities in species composition with mata atlantica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Label,NA,NA,"Tree, 5m x 15cm DBH, with mature fruits. Crown open",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,JUNDIAÍ,"3525904"
-46.996942,-23.796325,"1090570263",Myrocarpus frondosus Allemão,-23.796325,-46.996942,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:55Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2945759","6","7707728","220","1370","5386","2945756","2945759","2945759",Myrocarpus frondosus Allemão,Plantae,Tracheophyta,Fabales,Fabaceae,Myrocarpus,Myrocarpus frondosus,Myrocarpus,frondosus,SPECIES,ACCEPTED,DD,NA,NA,NA,São Paulo,NA,NA,NA,NA,2019-01-25T17:35:02Z,2021-03-30T09:40:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:43351,s/nº,"Morro Grande, Reserva, área Torres, indivíduo 3.3",Cotia,IAC - Herbário do Instituto Agronômico de Campinas,"1090570263",pt,IAC,BRA:IAC:IAC:43351,Collection,"43351",E.L.M. Catharino,IAC,Instituto Agronômico de Campinas,NA,E.L.M. Catharino,Myrocarpus frondosus Allemão,NA,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,COTIA,"3513009"
