X,Y,key,scientificName,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,gadm,institutionKey,collectionKey,isInCluster,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,identifiedBy,name,decimalLatitude,decimalLongitude,elevation,geodeticDatum,otherCatalogNumbers,occurrenceRemarks,elevationAccuracy,continent,individualCount,preparations,references,verbatimEventDate,institutionID,nomenclaturalCode,endDayOfYear,county,startDayOfYear,verbatimElevation,collectionID,fieldNotes,higherGeography,fieldNumber,verbatimLocality,previousIdentifications,higherClassification,nomenclaturalStatus,taxonID,bibliographicCitation,accessRights,coordinateUncertaintyInMeters,habitat,georeferenceSources,http...unknown.org.recordId,rights,reproductiveCondition,georeferenceProtocol,eventRemarks,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,lifeStage,georeferencedBy,dynamicProperties,georeferenceVerificationStatus,http...unknown.org.recordEnteredBy,organismID,locationID,datasetID,georeferencedDate,identificationID,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,typeStatus,typifiedName,data_cleaning_note,NM_MUNICIP,CD_GEOCMU
-46.454167,-23.394722,"2027488202",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:43Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2015-01-20T00:00:00Z,Sp,"2013","12","19",2013-12-19T00:00:00Z,2021-03-04T18:43:27Z,2021-04-08T12:14:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,835c4b58-e96d-49cc-b711-0f3de04547c0,TRUE,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:52755,"1053",NA,Guarulhos,SPSF - Herbário Dom Bento José Pickel,"2027488202",pt,SPSF,BRA:IF:SPSF:52755,Collection,"52755",R.J.Almeida-Scabbia & C.Kameyama,IF,Instituto Florestal,L.Rossi,Tachigali denudata (Vogel) Oliveira-Filho,-23.394722,-46.454167,"745",WGS84,NA,"COLETA: Árvore caída de aprox 20m de altura. Frutos verdes.; GEOGRAFIA: Área de floresta em processo de supressão. Alça de acesso ao Aeroporto de Guarulhos.;","0",SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,GUARULHOS,"3518800"
-46.454278,-23.394611,"2452944934",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:18Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2015-01-20T00:00:00Z,São Paulo,"2013","12","19",2013-12-19T00:00:00Z,2019-11-21T13:06:49Z,2021-04-12T14:22:18Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,ef48401a-d9e5-467c-b40a-0146618d38de,TRUE,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:491427,"1053",Alça de acesso ao Aeroporto de Guarulhos.,Guarulhos,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452944934",pt,SP,BRA:IBT:SP:491427,Collection,"491427","Almeida Scabbia, RJ; Kameyama, C",Instituto de Botânica,Instituto de Botânica,"Rossi, L",Tachigali denudata (Vogel) Oliveira-Filho,-23.394611,-46.454278,"745",WGS84,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,GUARULHOS,"3518800"
-45.183333,-23.4,"1899744827",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,NA,São Paulo,"2009",NA,NA,2009-01-01T00:00:00Z,2021-03-01T19:31:25Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,FALSE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:200156,M475,Parque Estadual da Serra do Mar,São Luiz do Paraitinga,UEC - Herbário da Universidade Estadual de Campinas,"1899744827",pt,UEC,BRA:UNICAMP:UEC:200156,Collection,"200156","Padgurschi, MCG; Belinello, R",UNICAMP,Universidade Estadual de Campinas,NA,Tachigali denudata (Vogel) Oliveira-Filho,-23.4,-45.183333,"1017.5",WGS84,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 16 metros de altura. Frequência da espécie na parcela: n=5,"27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,NATIVIDADE DA SERRA,"3532306"
-47.1,-23.966667,"1086907678",Sclerolobium denudatum Vogel,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:46Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2952615","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Sclerolobium,denudatum,SPECIES,SYNONYM,2007-01-03T00:00:00Z,Sp,"2006","7","9",2006-07-09T00:00:00Z,2021-03-04T18:43:01Z,2021-04-08T12:14:46Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,835c4b58-e96d-49cc-b711-0f3de04547c0,FALSE,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:39044,"363",Recanto Maria Teresa,Juquitiba,SPSF - Herbário Dom Bento José Pickel,"1086907678",pt,SPSF,BRA:IF:SPSF:39044,Collection,"39044",R.T. Polisel,IF,Instituto Florestal,G.A.D.C. Franco,Sclerolobium denudatum Vogel,-23.966667,-47.1,NA,WGS84,NA,"COLETA: Árvore de 18 m. Botões florais brancos; GEOGRAFIA: Estrada da Palestina - Km. 4&nf;Rodovia BR 116 - Km. 330&nf;Próximo do lago;",NA,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,JUQUITIBA,"3526209"
-46.286389,-23.769444,"2521099652",Sclerolobium denudatum Vogel,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:17Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2952615","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Sclerolobium,denudatum,SPECIES,SYNONYM,2007-06-01T00:00:00Z,São Paulo,"2006","12","11",2006-12-11T00:00:00Z,2019-11-21T13:06:28Z,2021-04-12T14:22:17Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,ef48401a-d9e5-467c-b40a-0146618d38de,FALSE,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:514870,"1511",Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade,Santo André,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2521099652",pt,SP,BRA:IBT:SP:514870,Collection,"514870","Lima, MEL; et al.",Instituto de Botânica,Instituto de Botânica,"Lima, MEL",Sclerolobium denudatum Vogel,-23.769444,-46.286389,"927",WGS84,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SANTO ANDRÉ,"3547809"
-47.045723,-23.76789,"1090570053",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:55Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2006-12-14T00:00:00Z,São Paulo,"2001","8","10",2001-08-10T00:00:00Z,2019-01-25T17:41:21Z,2021-03-30T09:40:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:43189,"3482","próximo ao distrito de Caucaia do Alto (Cotia - SP), fragmento Dito, indivíduo X 10.1",Ibiúna,IAC - Herbário do Instituto Agronômico de Campinas,"1090570053",pt,IAC,BRA:IAC:IAC:43189,Collection,"43189","L.C. Bernacci; G.A.D.C. Franco; E. Q. Santos & E. Furlan",IAC,Instituto Agronômico de Campinas,L.C. Bernacci,Tachigali denudata (Vogel) Oliveira-Filho,-23.76789,-47.045723,NA,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,IBIÚNA,"3519709"
-46.727778,-23.896111,"1089046634",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:56Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2017-08-01T00:00:00Z,São Paulo,"1995","4","18",1995-04-18T00:00:00Z,2021-03-01T19:31:25Z,2021-04-08T12:43:56Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,TRUE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:92330,"437","Sítio à esquerda na estrada Engº Marsilac, sentido Engº Marsilac. Borda da mata, próximo à cerca.",Palheireiros,UEC - Herbário da Universidade Estadual de Campinas,"1089046634",pt,UEC,BRA:UNICAMP:UEC:92330,Collection,"92330","Godoy, SAP; Bellezzo, AS; P; Ferreira, GMP; Garcia, RJF",UNICAMP,Universidade Estadual de Campinas,"Escobar, NAG",Tachigali denudata (Vogel) Oliveira-Filho,-23.896111,-46.727778,NA,WGS84,NA,"Árvore ca 18,0 m alt., DAP 0,80 m. Frutos abertos expondo envoltório de sementes paleáceo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
-46.727778,-23.896111,"2452885397",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:16Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2008-11-01T00:00:00Z,São Paulo,"1995","4","18",1995-04-18T00:00:00Z,2019-11-21T13:06:49Z,2021-04-12T14:22:16Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,ef48401a-d9e5-467c-b40a-0146618d38de,TRUE,Magnoliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:309357,"437","Parelheiros, sítio a esquerda na estrada Engº Marsilac, sentido Emg.º Marsilac, borda da mata, próximo a cerca",São Paulo,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452885397",pt,SP,BRA:IBT:SP:309357,Collection,"309357","Godoy, SAP; Bellezzo, AS; Ferreira, GMP; Garcia, RJF",Instituto de Botânica,Instituto de Botânica,"Mamede, MCH",Tachigali denudata (Vogel) Oliveira-Filho,-23.896111,-46.727778,NA,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
-46.7725,-23.663056,"1089094960",Sclerolobium denudatum Vogel,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:53Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"2952615","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Sclerolobium,denudatum,SPECIES,SYNONYM,1995-01-01T00:00:00Z,São Paulo,"1992","9","10",1992-09-10T00:00:00Z,2021-03-01T19:31:15Z,2021-04-08T12:43:53Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,a995cf02-345c-46db-8674-3415572615a6,TRUE,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:155956,"165","Parque Santo Dias, Trilha do Atalho.",São Paulo,UEC - Herbário da Universidade Estadual de Campinas,"1089094960",pt,UEC,BRA:UNICAMP:UEC:155956,Collection,"155956","Garcia, RJF",UNICAMP,Universidade Estadual de Campinas,"Garcia, RJF",Sclerolobium denudatum Vogel,-23.663056,-46.7725,NA,WGS84,NA,"Árvore, 20m alt. fuste 12m, DAP 70 cm, casca externa rugosa com líquens e musgos, casca interna avermelhada, caule aromático ao corte; material vegetativo, coletado em ramo a 2m de alt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
-46.7725,-23.663056,"1316165123",Tachigali denudata (Vogel) Oliveira-Filho,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:30Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3969483","6","7707728","220","1370","5386","2945125","3969483","3969483",Tachigali denudata (Vogel) Oliveira-Filho,Plantae,Tracheophyta,Fabales,Fabaceae,Tachigali,Tachigali denudata,Tachigali,denudata,SPECIES,ACCEPTED,2007-09-01T00:00:00Z,São Paulo,"1992","9","10",1992-09-10T00:00:00Z,2019-11-13T14:23:21Z,2021-03-30T09:57:30Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,NA,NA,TRUE,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:117944,"165",Parque Santo Dias,São Paulo,SPF - Herbário da Universidade de São Paulo,"1316165123",pt,SPF,BRA:USP:SPF:117944,Collection,"117944","Garcia, RJF",USP,Universidade de São Paulo,"Lima, HC",Tachigali denudata (Vogel) Oliveira-Filho,-23.663056,-46.7725,NA,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,SÃO PAULO,"3550308"
