"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","2814","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","supraaxillaris","Eugenia supraaxillaris","Spring","Graziela","1931","Lourenço N.; Elsie","1931","12","12","Brasil","Rio de Janeiro","Rio de Janeiro","-43.172778","-22.906667","43º10'22''W","22º54'24''S","CRI004986","CRI004986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","15291","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","supraaxillaris","Eugenia supraaxillaris","Spring","Aline Votri Guislon","2020","João Paulo Gava Just","2020","01","14","Brasil","Santa Catarina","Nova Veneza","-49.497778","-28.633333","49º29'52''W","28º38'0''S","CRI014708",NA,"01","27","Centro da cidade.","88","88","Tronco descamante. Fruto alaranjado. (JGJ_009) Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579809","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","M. Sobral",NA,"G. G. Hatschbach","1987","04","24","Brazil","Paraná","Cerro Azul","-49.2608","-24.8236",NA,NA,"NY00579809","NY00579809_01",NA,NA,"Cab. Rib. do Tigre","600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754189' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","51225","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579813","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","1960","05","14","Brazil","Santa Catarina","Sombrio","-49.6167","-29.1142",NA,NA,"NY00579813","NY00579813_01",NA,NA,"Garapuvu, Vista Alegre, Sombrio","30","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754191' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","9681","South America","sheet","paratype",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579817","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","1960","01","29","Brazil","Santa Catarina","Sombrio","-49.6167","-29.1142",NA,NA,"NY00579817","NY00579817_01",NA,NA,"Garapuvu, Vista Alegre, Sombrio","20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754195' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","4156","South America","sheet","paratype",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579810","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","C. M. D. E. Legrand",NA,"G. G. Hatschbach","1968","11","12","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00579810","NY00579810_01",NA,NA,"Serra Virgem Maria",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754197' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","20281","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579819","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand",NA,NA,"O. Handro","1934","10","12","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,"NY00579819","NY00579819_01",NA,NA,"Sao Paulo, nativa no Jardim Botanico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754200' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","s.n.","South America","sheet","paratype",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579811","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","1967","03","09","Brazil","Santa Catarina","Ilhota","-48.8269","-26.8997",NA,NA,"NY00579811","NY00579811_01",NA,NA,"Parque Botânico do Morro do Baú, Ilhota.","450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754198' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","18048","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579812","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","1959","02","20","Brazil","Santa Catarina","Lauro Muller","-49.483071","-28.387264",NA,NA,"NY00579812","NY00579812_01",NA,NA,"Nove Horizonte, Lauro Müller","450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754190' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","8481","South America","sheet","paratype",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","579818","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","convexinervia","Eugenia convexinervia","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","1956","03","22","Brazil","Santa Catarina","Luis Alves","-48.941177","-26.748537",NA,NA,"NY00579818","NY00579818_01",NA,NA,"Braço Joaquim, Luis Alves, Itajaí","400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754196' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","2901","South America","sheet","paratype",NA,NA,NA,NA,NA,NA,NA
