"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","dayIdentified","individualCount","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","492057","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","D. C. Wasshausen","G. G. Hatschbach","65218","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria.","-41.1344","-20.3397","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492057","NY00492057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:10:56-03","MBM","MBM","201684","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","Wasshausen, D.C.","Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.","65218","1996","07","06","Southern America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria, 900m.-1100m.","-41.1347007751465","-20.3397006988525",NA,NA,NA,"Apoiante, flor vermelha.; Floresta Atlântica.","MBM201684","MBM201684","1997","11","15909","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","12586",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","V. Demuner; et al","1056","2000","05","16",NA,"Brasil","Espírito Santo","Santa Teresa","Pedra da Onça","-40.814722","-19.897778",NA,NA,NA,"Trepadeira sobre arbusto, botões florais e flores vermelhas. Borda de mata secundária.","MBML012586","MBML012586",NA,NA,NA,NA,"40W48'53","19S53'52",NA,NA,NA,NA,NA
"4","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","14347",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","L. Kollmann; et al","3934","2001","06","13",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,NA,NA,"Liana na sombra. Flores vermelhas.","MBML014347","MBML014347",NA,NA,NA,NA,"40W34'60","19S59'3",NA,NA,NA,NA,NA
"5","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","15028",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","L. Kollmann; et al","4407","2001","08","29",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,NA,NA,"Trepadeira na sombra. Flores vermelhas.","MBML015028","MBML015028",NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA
"6","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1752",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","W. Boone","636","1985","08","08",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,NA,NA,"Volúvel com flores de corola vermelha, ciófila, mata, alto de capoeirão.","MBML001752","MBML001752",NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA,NA,NA
"7","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1754",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","H. Q. Boudet Fernandes","1289","1985","06","25",NA,"Brasil","Espírito Santo","Santa Teresa","Torre receptora de TV","-40.603611","-19.948611",NA,NA,NA,"Escandente, flores com corola vermelha, semi-sombra, capoeirão.","MBML001754","MBML001754",NA,NA,NA,NA,"40W36'13","19S56'55",NA,NA,NA,NA,NA
"8","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1757",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","J. M. Vimercat","292","1985","07","09",NA,"Brasil","Espírito Santo","Santa Teresa","Country Club","-40.635556","-19.925556",NA,NA,NA,"Volúvel com flores vermelhas, folhas verdes esbranquiçadas inferiormente, ciófila, na mata.","MBML001757","MBML001757",NA,NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA,NA
"9","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1773",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Lindau","(por imagem): Denise Braz, 23/06/2020","J. M. Vimercat","222","1984","08","01",NA,"Brasil","Espírito Santo","Santa Teresa","Penha","-40.552778","-19.953333",NA,NA,NA,"Trepadeira, flores vermelhas, solo pedregoso.","MBML001773","MBML001773",NA,NA,NA,NA,"40W33'10","19S57'12",NA,NA,NA,NA,NA
"10","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1792",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","H. Q. Boudet Fernandes","1327","1985","07","17",NA,"Brasil","Espírito Santo","Santa Teresa","Mata Fria","-40.683333","-19.931111",NA,NA,NA,"Volúvel, flores vermelhas, ciófila, mata.","MBML001792","MBML001792",NA,NA,NA,NA,"40W41'0","19S55'52",NA,NA,NA,NA,NA
"11","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","26076",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","L. Kollmann; et al","9022","2006","05","11",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Anselmo","-40.573056","-19.836944",NA,NA,NA,"Arbusto 3m na meia sombra, flores vermelhas.","MBML026076","MBML026076",NA,NA,NA,NA,"40W34'23","19S50'13",NA,NA,NA,NA,NA
"12","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","31918",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","R. C. Britto; W. L. Vago, W. A. Vago e E. Ferrari","189","2007","06","25",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,NA,NA,"trepadeira meio de mata, fundo de vale, flores vermelhas e bracteas verdes.","MBML031918","MBML031918",NA,NA,NA,NA,"40W46'31","19S47'49",NA,NA,NA,NA,NA
"13","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","5638",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","H. Q. Boudet Fernandes","2780","1989","06","15",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão e A. P.","-40.924167","-20.176944",NA,NA,NA,"Trepadeira sobre arbusto, botões com corola vermelha.","MBML005638","MBML005638",NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA,NA,NA,NA
"14","2020-07-22 12:15:08-03","MBML","MBML-HERBARIO","25572",NA,"Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice","(por imagem): Denise Braz, 23/06/2020","A. P. Fontana; et al","1503","2005","07","05",NA,"Brasil","Espírito Santo","Santa Teresa","Avenida da Penha, propriedade do Tabajara, lado direito, topo 875 m, dossel com 5 a 9 m","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Trepadeira, umbrófila, flores vermelhas.","MBML025572","MBML025572",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA
"15","2021-02-25 10:12:24-03","CVRD","CVRD","11357","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees ) Profice","Sheila R. Profice","Folli, D.A.","6140","2008","07","10","América do Sul","BRASIL","ES","Santa Maria de Jetibá",NA,"-41.003745","-20.196956","1138","1138",NA,"Propriedade do Fredolin parc.07 <ll>dwc_commonname:</ll> Cipó de santa","CVRD011357",NA,"2014","04",NA,NA,"-41,003745","-20,196956","Magnoliopsida","04",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3709199","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","clausseniana","Justicia clausseniana","(Nees) Profice",NA,"P. Rosa, C. Baez, T. Lima, D. Maurenza, R. Negrão, L. Moraes, M. Moraes & G. Overney","927","2016","8","8","South America","Brazil","Río de Janeiro",NA,"Silva Jardim. Area de Protecao Ambiental de Macae de Cima. Serra de Macae de Cima, localidade de Macae de Cima, inicio da trilha do vale do rio das Flores para a cumeada das veluntinas.","-42.505","-22.4364","1162",NA,NA,NA,"US01958564","US01958564_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA,NA
"17","2020-08-03 12:08:37-03","CEPLAC","CEPEC","129632","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana",NA,"A. L. A. Côrtes","A. M. Amorim","7648","2008","07","22",NA,"Brasil","Espírito Santo","cariacica","Reserva Biológica de Duas Bocas. Localidade de Alegre. Trilha do Pau-Oco.","-40.519444","-20.291389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W31'10","20S17'29",NA,NA,NA,"01/04/2010",NA
"18","2020-08-03 12:08:37-03","CEPLAC","CEPEC","33829","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","clausseniana","Justicia clausseniana",NA,"A. L. Côrtes","G. Hatschbach","45167","1974","03","30",NA,"Brasil","Espírito Santo","muniz freire","Rod. BR-262.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,NA,NA,"30072","auto","0W0'0","0S0'0",NA,NA,NA,"19/06/2007",NA
