"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02460817","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","H. S. Irwin","19259","1968","01","27","South America","Brazil","Goiás","Cocalzinho de Goiás","Pico dos Pirineus, ca. 20 km N.W. of Corumbá de Goiás, near road to Niquelândia.","-48.95","-15.88","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673529' target='other'> <mi>dwc_moreinfo</mi></a>","NY02460817","NY02460817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173297","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Simonis JE; Martinelli G",NA,"1983","02","10","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173297","NL-U1173297","Magnoliopsidae","Maas PJM","U 0141800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173298","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Brade AC; et al.",NA,"1946","05","17","Southern America","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173298","NL-U1173298","Magnoliopsidae","Maas PJM; Snelders HCM","U 0118944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173299","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Brade AC",NA,"1942","03","27","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173299","NL-U1173299","Magnoliopsidae","Maas PJM; Snelders HCM","U 0118945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173300","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Lindeman JC; Haas JH de",NA,"1967","03","30","Southern America","Brazil",NA,NA,"BRASILIAE AUSTRALIS. Est. Paraná. Serro do Mar, on top near source of Rio do Corvo, ca. 35 km ENE of Curitiba, in scrub wood.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173300","NL-U1173300","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173301","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Brade AC",NA,"1931","04","12","Southern America","Brazil",NA,NA,"Rio de Janeiro: Serra Carioca.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173301","NL-U1173301","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173302","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Santos Lima J",NA,"1935","03","20","Southern America","Brazil",NA,NA,"Est. do Rio Sta. M. Magdalena. Serra do Pamanduá.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173302","NL-U1173302","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173307","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Grant ML",NA,"1944","08","28","Southern America","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173307","NL-U1173307","Magnoliopsidae",NA,"U 0034919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173308","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Betancur J; Galvis P; Marin Z",NA,"1994","04","20","Southern America","Colombia",NA,NA,"PUTUMAYO: Municipio Mocoa, corregimiento de San Antonio, vereda Alto Campucana, camino entre la finca La Mariposa y el Alto La Sierra. Vertiente amazúnica de Colombia.","-76.633333","1.2",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173308","NL-U1173308","Magnoliopsidae",NA,NA,"-76.633333","1.2",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173309","PreservedSpecimen","Plantae",NA,"Dioscoreales","Burmanniaceae","Cymbocarpa","refracta","Cymbocarpa refracta","Miers","Betancur J; Galvis P; Marin Z",NA,"1994","04","20","Southern America","Colombia",NA,NA,"PUTUMAYO: Municipio Mocoa, corregimiento de San Antonio, vereda Alto Campucana, finca La Mariposa. Vertiente amazónica de Colombia.","-76.633333","1.2",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173309","NL-U1173309","Magnoliopsidae",NA,NA,"-76.633333","1.2",NA,NA,NA,NA,NA,NA,NA,NA
