"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02691993","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke","A. N. Castaño-R.","N. Castaño Arboleda","2809","2008","08","13","South America","Colombia","Vaupés","Mitú","comunidad indígena de Piracemo, río Cuduyarí, vegetación riparia.","-70.37655556","1.327055556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2353238' target='other'> <mi>dwc_moreinfo</mi></a>","NY02691993","NY02691993_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:45:40-03","EAO","IAN","146224","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke","Rodrigues, WA","Cordeiro, MR","298","1975","02","23","Southern America","Brasil","Amazonas",NA,"Estrada entre Uaupés e Camanaus. Mata de terra firme.",NA,NA,NA,"Árvore de 8m e 10cm de diâmetro.","IAN146224",NA,"1996","09",NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:44:53-03","NBC","NL-BOTANY","U 0004850","PreservedSpecimen","Plantae",NA,"Magnoliales","Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke","Smith AC","Ducke A",NA,"1932","10","12","Southern America","Brazil","Amazonas",NA,"Camanáos (Rio Negro super., civ. Amazonas)",NA,NA,NA,"in silva catinga<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004850 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004850","NL-U0004850",NA,NA,"Magnoliopsidae","type","13344 A",NA,NA,NA
"4","2015-09-04 13:37:05-03","MNHN","RECOLNAT_MNHN_P","P00631995","PreservedSpecimen",NA,NA,NA,"Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke","Ducke","Ducke, A.",NA,"1932","10","12",NA,"Brésil",NA,NA,"Camanaos (Rio Negro super, av. Amazonas), in sylva catinga",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00631995' target='other'> <mi>dwc_moreinfo</mi></a>","P00631995","P00631995_01",NA,NA,NA,"isotype",NA,"24553",NA,NA
"5","2021-02-11 17:20:35-03","UFPR","UPCB","25599","PreservedSpecimen","Plantae",NA,NA,"Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke","Rodrigues, W.A.","Colella, M.",NA,"1991","02","08",NA,"Venezuela",NA,NA,"Terr. Fed. Amazonas, Dpto. Casiquiare, Río Casiquiare, Laguna del Paciba y sus alredores.",NA,NA,NA,"Árbol, 4-6m, escaso, fruto verde claro, planta fragante. Bosques y arbustales inundables, hacia las partes altas, banas. Aguas negras..",NA,NA,"1994","01",NA,NA,NA,NA,"01",NA
"6","2011-03-24 10:03:00-03","MO","MOBOT","3123170","PreservedSpecimen","Plantae",NA,NA,"Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke",NA,"A. Ducke","Ducke 24453","1932","10","12","South America","Brazil",NA,NA,"Camanaos, (Rio Negro super., cir Amazonas), in silva catinga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2009-07-17 09:47:00-03","MO","MOBOT","3123182","PreservedSpecimen","Plantae",NA,NA,"Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke",NA,"A. Ducke","Ducke 24553",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","1615988","PreservedSpecimen","Plantae",NA,"Magnoliales","Myristicaceae","Virola","parvifolia","Virola parvifolia","Ducke","Muriel M., Priscilla, AAU","A. Ducke","Herb. Jard. Bot. Rio 24553","1932","10","12","South America - Neotropics","Brazil","Amazonas",NA,"Camanáos (Rio Negro super., civ. Amazonas).",NA,NA,NA,"Cited 1980 by W.A. Rodrigues, Acta Amazon. 10(1) suppl.: 87.","US00098912","US00098912_01",NA,NA,"Dicotyledonae","Isotype",NA,NA,NA,"1"
"9","2019-09-05 17:52:04-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myristicaceae","Virola","parvifolia","Virola parvifolia",NA,NA,"A. Ducke",NA,"1932","10","12","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA,NA
