"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","11734","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Marciel Fernandes","Marciel Bonfi Fernandes","81","2008","02","07","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","Habito: árvore","CRI003019","CRI003019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","6375","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Balduino Rambo","J. C. Sacco","1306","1959","06","04","Brasil","Rio Grande do Sul","Pelotas","-52.342778","-31.7725","52º20'34''W","31º46'21''S","17","17","Habitat: mata Habito: árvore","CRI003015","CRI003015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","11710","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Vanilde C. Zanette","Renato Colares; Beatriz Buogo",NA,"2016","03","17","Brasil","Santa Catarina","Orleans","-49.285278","-28.368333","49º17'7''W","28º22'6''S","110","110","Habito: arbustiva","CRI008738","CRI008738","2016","03","17","Parque Estadual da Serra Furada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","15333","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Isadora Zapelini & José T. Pires","Isadora Zapelini & José T. Pires",NA,"2020","08","07","Brasil","Santa Catarina","Criciúma","-49.409722","-28.705278","49º24'35''W","28º42'19''S","40","40","Flor branca. Espinho no ramo e caule. Habito: Arbustivo","CRI014750",NA,"2020","09","03","Campus UNESC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","50","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","L. R. M. Batista","V. Citadini-Zanette; A. Bortot & A. Cândido",NA,"1981","05","04","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI003017","CRI003017","1981","05","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","5105","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","V. C. Zanette","V. Citadini-Zanette; V. Boff","2258","1996","09","20","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","Habito: árvore","CRI003014","CRI003014",NA,NA,NA,"Santana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:31-03","UNESC","CRI","7202","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Fernanda Schmidt Silveira","C. Poli; F. Silva Filho","13","2001","12","11","Brasil","Santa Catarina","Ipuaçu","-52.455278","-26.631944","52º27'19''W","26º37'55''S","720","720","Habitat: beira do rio Habito: arvoreta","CRI003021","CRI003021","2018","05","10","UHE Quebra Queixo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:32-03","UNESC","CRI","8771","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze",NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,NA,"CRI003020","CRI003020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:32-03","UNESC","CRI","7655","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Vanilde Citadini- Zanette","Jean Gabriel Cemin",NA,"2008","03","26","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI003018","CRI003018","2008","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:32-03","UNESC","CRI","132","PreservedSpecimen","Plantae","Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","V. C. Zanette","V. Citadini-Zanette; A. Bortot","570","1982","03","10","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI003016","CRI003016",NA,NA,NA,"Alto Fio Fiorita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
