"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","eventTime","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","894538","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","M. C. Garcia Kirkbride","1429","1981","02","11","South America","Brazil","Distrito Federal","Brasília","Fazenda Água Limpa, córrego da onça. Campo Experimental da UnB.","-47.9","-15.95","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894538","NY00894538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","908944","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","G. G. Hatschbach","43728","1981","04","09","South America","Brazil","Goiás","Cristalina","Cubiculo.","-47.6133","-16.7686",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908944","NY00908944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894539","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","J. G. Stutts","985","1980","10","12","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, about 35 km N of Brasília.","-47.9294","-15.7797","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894539","NY00894539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","894540","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","H. S. Irwin","11364","1965","12","17","South America","Brazil","Distrito Federal","Brasília","Chapada da Contegem, ca. 10 km E. of Brasília","-47.82337","-15.7833","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894540","NY00894540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894537","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","H. S. Irwin","34167","1972","01","15","South America","Brazil","Goiás","Pirenópolis","Serra dos Pirineus, ca. 10 km E. of Pirenópolis","-48.85664","-15.85","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894537","NY00894537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:04-03","MCN-PUC-MINAS","HPUC-MG","ANG345","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii",NA,"A.G. Amaral; C.O.U. Eugênio",NA,"2008","07","14",NA,"Brasil","Distrito Federal","Planaltina","EEAE",NA,NA,NA,NA,NA,"Planta com 60 cm. Folha madura discolor e coriácea.",NA,NA,"Aryanne Gonçalves Amaral","2008","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:37:57-02","BGBM","B","B 10 0093697","S","Plantae",NA,NA,"Compositae","Vernonia","eitenii","Vernonia eitenii","H.Rob.",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100093697 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100093697","B100093697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:57-02","BGBM","B","B 10 0093698","S","Plantae",NA,NA,"Compositae","Vernonia","eitenii","Vernonia eitenii","H.Rob.",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100093698 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100093698","B100093698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:28-03","UNICAMP","UEC","179109","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Munhoz, CBR; Eugênio, CUO; Emmert, P","4446","2008","07","09",NA,"Brazil","Distrito Federal","Brasília","Jardim Botânico de Brasília (JBB), folha: SD-23-Y-C","-47.847222","-15.8725",NA,NA,NA,"Subarbusto ca. 0.80m, inflorescência passada; unicata; Vereda","UEC125889","UEC125889","Bringel Jr, JBA","2010","03","-47.847222","-15.8725",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:28-03","UNICAMP","UEC","80350","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lessingianthus","eitenii","Lessingianthus eitenii","(H.Rob.) H.Rob.","Cilulia, MM","137","1982","05","13",NA,"Brazil","Distrito Federal",NA,"Distrito Federal.Reserva Biológica de Águas Emendadas, 40km a NE de Brasília.","-47.55","-15.533333","1000","1150",NA,"Erva com ca. de 1m, muito pilosa.Folhas sésseis, verde-escuro na face superior e enbranquiçadas na inferior.Inflorescências de flores roxas.Frequente.; Sobre murundus, na vereda.","UEC162057","UEC162057","Esteves, R","2012","06","-47.55","-15.533333",NA,NA,NA,NA,NA,NA,NA
