"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:25:58-03","UNESC","CRI","12576","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.","Aline Votri Guislon & Peterson T. Padilha","2017","08","18","Alexandre Medeiros","2017","05","10","Brasil","Santa Catarina","Balneário Camboriú","Quilombola.","-48.6347007751465","-26.9906005859375","8793","Coleta 303. Habito: Herbácea","CRI010783","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","812737","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.","J. Prado",NA,NA,NA,"G. G. Hatschbach","1978","01","22","Brazil","Paraná","Adrianópolis","1 km acima da ponte do rio Ribeira.","-48.9908","-24.6572",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812737",NA,"Pteridophyta","Polypodiales","41044","South America","sheet","NY00812737_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03942139","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"W. Meier","2003","12","07","Venezuela","Distrito Capital",NA,"Parque Nacional El Avila. Cordillera de la Costa: vertiente sur: Camino de los Españoles.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4231478' target='other'> <mi>dwc_moreinfo</mi></a>","NY03942139",NA,"Pteridophyta","Polypodiales","9552","South America","sheet",NA,"1300","1600",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1075667","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.","R. C. Moran",NA,NA,NA,"T. B. Croat","2001","12","06","Brazil","Acre","Rio Branco","Municipio Rio Branco: vicinity Rio Branco, Universidade Federal do Acre, Parque Zoobotãnico along trail from herbarium to Trilha do Serenguiero.","-67.87","-9.95",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=28299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075667",NA,"Pteridophyta","Polypodiales","86081","South America","sheet",NA,"150","150",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","812739","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"Á. L. Cabrera","1932","12","27","Argentina","Buenos Aires",NA,"Alrededores de La Plata: Facultad de Agronomia.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812739",NA,"Pteridophyta","Polypodiales","2668","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017007","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"A. Sehnem","1947","12","27","Brazil","Santa Catarina","Florianópolis",NA,"-48.4934807","-27.5942613",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195336' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017007",NA,"Pteridophyta","Polypodiales","3127","South America","sheet","NY01017007_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3942142","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"A. P. Rodrigo","1936","11",NA,"Argentina","Corrientes",NA,"Bosques sobre el Paraná",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4231482' target='other'> <mi>dwc_moreinfo</mi></a>","NY03942142",NA,"Pteridophyta","Polypodiales","905","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","812738","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.","J. T. Mickel",NA,NA,NA,"H. S. Irwin","1971","01","18","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Middle and Upper slopes, south side of Serra da Piedade, ca. 5km N. of Caeté.","-43.67613","-19.82237",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812738",NA,"Pteridophyta","Polypodiales","28737","South America","sheet","NY00812738_01","1800","1800",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","821586","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.","J. Prado",NA,NA,NA,"K. Mizoguchi","1980","07","22","Brazil","São Paulo","Sao Roque","Linha Sorocabana","-47.13","-23.5203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821586",NA,"Pteridophyta","Polypodiales","1615","South America","sheet","NY00821586_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","812733","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"L. B. Smith","1928","11","15","Brazil","Rio de Janeiro",NA,"Road between Aguas Ferreas and Paineiras, Corcovado.","-43.23","-22.93",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=579355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00812733",NA,"Pteridophyta","Polypodiales","1233","South America","sheet","NY00812733_01","100","300",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1018162","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"F. R. Simões","2003","03","31","Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto Jardim Botânico. Canteiro 16E.","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249560' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018162",NA,"Pteridophyta","Polypodiales","23","South America","sheet","NY01018162_01",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3942141","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"Á. L. Cabrera","1932","12","27","Argentina","Buenos Aires",NA,"Facultad de A?",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4231481' target='other'> <mi>dwc_moreinfo</mi></a>","NY03942141",NA,"Pteridophyta","Polypodiales","2668","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1799829","PreservedSpecimen","Plantae","Pteridaceae","Pteris","vittata","Pteris vittata","L.",NA,NA,NA,NA,"J. J. Copeland","1967","11","11","Trinidad and Tobago",NA,NA,"Trinidad. Maracas Pass",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2041613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01799829",NA,"Pteridophyta","Polypodiales","s.n.","South America","sheet","NY01799829_01",NA,NA,NA,NA,NA,NA,NA,NA
