"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","continentOcean","coordinatePrecision","imagecode","geoFlag","phylum","class","order","individualCount","fieldNumber","relatedCatalogItem"
"1","2019-11-19 14:04:17-03","UFRPE","PEUFR","48774","PreservedSpecimen","Plantae","Acanthaceae","Justicia","genuflexa","Justicia genuflexa","Nees & Martius","S. Profice","2006","02","10","G. E. L. Macedo; M. F. Souza","172","2003","07","12","Brasil","Bahia","Jequié","Fazenda Brejo Novo, a 10,5km da Avenida Otávio Mangabeira entrando pela Avenida Exupério Miranda no Bairro do Mandacarú. Fazenda Derval.","-40.111556","-13.946889","40º06'41.6W","13º56'48.8S","627","627","Arbustivo com flores de cálice verde piloso, corola lilás; frutos maturos pretos.","PEUFR048774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:10:56-03","MBM","MBM","84310","PreservedSpecimen","Plantae","Acanthaceae","Justicia","genuflexa","Justicia genuflexa","Nees & Mart.","Wasshausen, D.C.","1983","07",NA,"Mattos, L.A.; Santos, T.S.; Boom, B.; Santos, T.S.; Boom, B.","1426","1982","02","05","Brazil","Bahia","Ilhéus","Fazenda Barra do Manguinho, Ramal com entrada no km 10 da Rodovia Pontal/Olivença, lado direito. 3 km a Oesta da Rodovia.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"Trepadeira. Flores brancas a violetas.; Solo arenoso a sílico-arginoso. Capoeirão estragado por extratores de fibras da piaçava (Attalea funifera Mart.).","MBM084310","Southern America","61245","MBM084310","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:10:56-03","MBM","MBM","115844","PreservedSpecimen","Plantae","Acanthaceae","Justicia","genuflexa","Justicia genuflexa","Nees & Mart.","Sobral, M.","1987",NA,NA,"Sobral, M.; Silva, L.A.M.; Silva, L.A.M.","5527","1987","03",NA,"Brazil","Bahia","Ilhéus","Ramal para Vila Brazil km 28 rodovia Una-Ilhéus próxima a ponte sobre o Rio Jacuípe.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"Trepadeira, fl.azuis.; Interior da mata litoranea.","MBM115844","Southern America","61245","MBM115844","auto",NA,NA,NA,NA,NA,NA
"4","2019-11-01 14:04:51-03","UESC","UESC","11077","S","Plantae","Acanthaceae","Justicia","genuflexa","Justicia genuflexa",NA,NA,NA,NA,NA,"L.A.Mattos Silva","4926","2005","09","27","Brasil","Bahia","Almadina",NA,"-39.603333","-14.705833","39W36'12''","14S42'21''","650","750","Herbácea, rasteira;","UESC0011077",NA,NA,NA,NA,"Angiospermae","Dicotyledoneae","Florideophycidae",NA,NA,NA
"5","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","13584",NA,"Plantae","Acanthaceae","Justicia","genuflexa","Justicia genuflexa","Nees & Mart.","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"L. Kollmann; et al","3113","2000","10","10","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,"Terrestre na sombra, flores roxas com listras brancas.","MBML013584",NA,NA,"MBML013584",NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","32747",NA,"Plantae","Acanthaceae","Justicia","genuflexa","Justicia genuflexa","Nees & Mart.","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","875","2006","04","18","Brasil","Espírito Santo","Marilândia","Alto Liberdade, Pedra do Cruzeiro, propr.: Aguilar.","-40.550833","-19.348056","40W33'3","19S20'53","150","150","Herbácea lenhosa. Flores brancas, fundo da corola lilás. Solo raso, interior da floresta (Cruzeiro a gruta).","MBML032747",NA,NA,"MBML032747",NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","21017",NA,"Plantae","Acanthaceae","Justicia","cf. genuflexa","Justicia cf. genuflexa","Nees & Mart.","A. Indriunas/13-03-2014",NA,NA,NA,"C. N. de Fraga; et al","968","2003","03","07","Brasil","Espírito Santo","Pancas","Serra do Alto Mutum Preto","-40.909167","-19.274167","40W54'33","19S16'27",NA,NA,"Herbácea, flor de ápice lilás e base branca.","MBML021017",NA,NA,"MBML021017",NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","15879",NA,"Plantae","Acanthaceae","Justicia","cf. genuflexa","Justicia cf. genuflexa","Nees & Mart.","A. Indriunas/14-03-2014",NA,NA,NA,"L. Kollmann; et al","5426","2002","01","31","Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167","40W34'60","19S59'3",NA,NA,"Arbusto 1m. Flores lilás.","MBML015879",NA,NA,"MBML015879",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","18434",NA,"Plantae","Acanthaceae","Justicia","cf. genuflexa","Justicia cf. genuflexa","Nees & Mart.","A. Indriunas/14-03-2014",NA,NA,NA,"L. Kollmann; et al","5826","2002","12","05","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,"Erva 1m na sombra. Flores lilás.","MBML018434",NA,NA,"MBML018434",NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","45394",NA,"Plantae","Acanthaceae","Justicia","cf. genuflexa","Justicia cf. genuflexa","Nees & Mart.","A. Indriunas/13-03-2014",NA,NA,NA,"A. Indriunas; E. M. Aoyama","83","2013","01","25","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Trilha do Rio","-40.51875","-19.976917","40W31'7,5","19S58'36,9",NA,NA,"Herbácea, 10-40 cm. Folhas discolores verdes escuras. Flores vinho com estrias brancas. &nf;Área sombreada, úmida","MBML045394",NA,NA,"MBML045394",NA,NA,NA,NA,NA,NA,NA
