"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","687445","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano","L. H. Soares-Silva","paratype","L. H. Soares-Silva","1110","2001","09","09","South America","Brazil","Paraná","Londrina","Parque Estadual, Mata dos Godoy.","-51.08333333","-23.45","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-24 17:10:40-03","UTFPR","DVPR","1501","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano",NA,"parátipo","Mansano, VF; et al.","224","2003","05","12",NA,"Brasil","Paraná","Londrina","Mata dos Godoy","-51.1627998352051","-23.3103008270264",NA,NA,NA,"Árvore 15 m, flores com hipanto castanho, face interna do cálice bege e gineceu verde.","DVPR001501","63728","DVPR001501","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-24 17:10:40-03","UTFPR","DVPR","1500","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano",NA,"isótipo","Soares-Silva, LH; Chagas; Silva, F","208","1989","06","09",NA,"Brasil","Paraná","Londrina","Mata dos Godoy","-51.1627998352051","-23.3103008270264",NA,NA,NA,"Árvore 19 m de alt., botões florais verdes, flores com pétalas bancas, escassa.","DVPR001500","63728","DVPR001500","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U 0079625","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano",NA,NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,"Cêrro Azul",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200079625 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0079625",NA,NA,NA,"Magnoliopsidae","Uw13475",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U.1243936","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano","Mansano VF",NA,"Lindeman JC; Haas JH de",NA,"1966","08","16","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1243936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1243936",NA,"NL-U1243936",NA,"Magnoliopsidae","U 0089268",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U.1243937","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano","Mansano VF",NA,"Lindeman JC; Haas JH de",NA,"1966","08","06","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1243937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1243937",NA,"NL-U1243937",NA,"Magnoliopsidae","U 0083327",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U.1243938","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano","Mansano VF",NA,"Lindeman JC; Haas JH de",NA,"1966","08","06","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1243938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1243938",NA,"NL-U1243938",NA,"Magnoliopsidae","U 0083328",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:09:32-03","ESALQ","ESA","113073","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis",NA,"Vieira, A.O.S.",NA,"Francisco, E.M.","278.0","2009","05","29",NA,"Brasil","Paraná","Londrina",NA,"-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"ESA113073","63728","ESA113073","auto",NA,NA,"2010","05","06",NA,NA,NA
"9","2020-11-04 11:09:32-03","ESALQ","ESA","113138","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis",NA,"Vieira, A.O.S.",NA,"Andrade, S.F.",NA,"1999","09","10",NA,"Brasil","Paraná","Londrina",NA,"-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"ESA113138","63728","ESA113138","auto",NA,NA,"2007",NA,NA,NA,NA,NA
"10","2020-11-04 11:09:32-03","ESALQ","ESA","93455","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano",NA,NA,"Filho, E.M.C.",NA,"2005","09","20",NA,"Brasil","São Paulo","Capão Bonito",NA,"-48.3400001525879","-24",NA,NA,NA,NA,"ESA093455","39505","ESA093455","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 10:55:48-03","ESALQ","ESA","133360","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano","Barroso, R.M.",NA,"Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","946.0","2015","07","06",NA,"Brasil","São Paulo","Mombuca","Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.","-47.66015","-22.9238","558","558",NA,"Árvore, ca. 15m. 30 cm D.A.P. Súber escamoso, papiráceo.","ESA133360",NA,NA,NA,NA,NA,"2015","07","22","-47.66015","-22.9238",NA
"12","2020-11-04 11:09:32-03","ESALQ","ESA","134524","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano","Barroso, R.M.",NA,"Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","920.0","2015","07","04",NA,"Brasil","São Paulo","Mombuca","Mata do Pinheirinho. Floresta Estacional Semidecidual em área agrílcola da COSAN.","-47.66292","-22.9241","585","585",NA,"Arvoreta, ca. 2,5m.","ESA134524",NA,NA,NA,NA,NA,"2015","07","22","-47.66292","-22.9241",NA
"13","2020-11-04 11:09:32-03","ESALQ","ESA","52496","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano",NA,NA,"Soares e Silva, L.H. ; Chagas e Silva, F.","192.0","1989","02","17",NA,"Brasil","Paraná","Londrina",NA,"-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"ESA052496","63728",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:29:42-03","IAP","PACA-AGP","102739","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Faboideae","Exostyles","godoyensis","Exostyles godoyensis","Soares-Silva & Mansano",NA,"Paratipo","L.H. Soares-Silva","192","1989","02","17",NA,"Brasil","PR","Londrina","Mata dos Godoy.","-51.1627998352051","-23.3103008270264",NA,NA,NA,"Árvore com 19 m de altura, botões florais verdes, flores amarelas, escassas.&nf;FUEL 10.725","PACA102739","63728","PACA102739","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA
