"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","continentOcean","class","order","individualCount","relatedCatalogItem","typeStatus"
"1","2020-11-04 11:02:45-03","ESALQ","ESA","129395","PreservedSpecimen","Plantae","Magnoliophyta","Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Kollmann, L.","2019","03","15","Flores, T.B.","1734.0","2012","10","31","Brasil","Espírito Santo","Castelo","Propriedade particular ( Sidinei Casagrande - Elias Fassine), ao lado da sede do Parque Estadual de Forno Grande.","-41.184700012207","-20.6035995483398","23588","752","752","Erva, ca. 90cm de alt. Flores alvas rosadas com androceu e gineceu amarelo. Frutos roxos.","ESA129395","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:26:13-03","UNICAMP","UEC","479","S","Plantae","Magnoliopsida","Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Jacques, EL","1991","12","19","Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5831","1977","09","07","Brazil","Espírito Santo",NA,"Estrada entre Manhuaçú e Vitória, Km. 89.",NA,NA,NA,"1000","1000","Erva suculenta. Flores rosa clara, caule cinzento e folhas discolor.; Em encosta de rochas graníticas.","UEC053671",NA,"UEC053671",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-04-27 16:08:55-03","UFES","VIES","10385","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Kollmann, L.J.C.","2010","08","30","Kollmann, L.J.C.","12033","2010","08","30","Brasil","Espírito Santo","Santa Maria de Jetibá","Alto do São Sebastião.","-40.7461013793945","-20.040599822998","31867","850","850",NA,"VIES010385","auto","VIES010385",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:08:55-03","UFES","VIES","19015","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Kollmann, L.J.C.","2009","09","17","Lorencini, T.S.; Siqueira, V.B. & Braun, A.","178","2009","02","07","Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão.","-40.7461013793945","-20.040599822998","31867",NA,NA,NA,"VIES019015","auto","VIES019015",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-06 19:29:18-03","UFES","VIES","36387","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade",NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.; Santos, R.","4776","2018","10","06","Brasil","Espírito Santo","Vargem Alta",NA,"-40.991667","-20.454722",NA,"1170","1170",NA,"VIES036387",NA,"VIES036387","40º59'30''W","20º27'17''S",NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:08:55-03","UFES","VIES","2001","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Jacques, E.L.","1991","12",NA,"Pereira, O.J.; Fabris, L.C. & Gomes, J.M.L.","1329","1987","10","29","Brasil","Espírito Santo","Domingos Martins","Pedra Azul.","-40.6591987609863","-20.3633003234863","48150",NA,NA,NA,"VIES002001","auto","VIES002001",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:08:55-03","UFES","VIES","10373","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Kollmann, L.J.C.","2010","08","19","Kollmann, L.J.C.; Pizziolo, R.M.","11999","2010","08","19","Brasil","Espírito Santo","Santa Teresa","Alto do Rio Perdido.","-40.6002998352051","-19.9356002807617","23813","800","800",NA,"VIES010373","auto","VIES010373",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:29:39-03","UFRRJ","RBR","35398","S","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","E.L. Jacques","1998","11",NA,"E.L. Jacques; L. Kollmann","807","1998","11","11","Brasil","Espírito Santo","Santa Teresa","Pedra do Cruzeiro, Divisa com o Municipio de Itarana, próximo da Pedra Alegre, 900 m. alt.","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"RBR00035398","auto","RBR00035398",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:17:57-03","MBM","MBM","85338","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Smith, S.F.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","46895","1983","10","16","Brazil","Espírito Santo","Domingos Martins","Pedra Azul","-40.6591987609863","-20.3633003234863","48150",NA,NA,NA,"MBM085338","auto","MBM085338",NA,NA,"Southern America",NA,NA,NA,NA,NA
"10","2020-12-21 16:17:57-03","MBM","MBM","163735","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","Smith, S.F.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","60096","1993","11","11","Brazil","Espírito Santo","Domingos Martins","Pedra Azul","-40.6591987609863","-20.3633003234863","48150",NA,NA,NA,"MBM163735","auto","MBM163735",NA,NA,"Southern America",NA,NA,NA,NA,NA
"11","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","50713",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L.Kollmann",NA,NA,NA,"L. Kollmann; R. Pizziolo","12285","2011","05","10","Brasil","Espírito Santo","Santa Teresa","Alto Rio Perdido","-40.738583","-19.825833",NA,"670","670","Arbusto 2m rupicola ao sol, folhas acinzentadas na face abaxial, bracteas avermelhadas, flores brancas de base vermelhas.","MBML050713",NA,"MBML050713","40W44'18,9","19S49'33",NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","11798",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/Fev.2000",NA,NA,NA,"V. Demuner; et al","94","1999","10","13","Brasil","Espírito Santo","Santa Teresa","Pedra Alegre","-40.824722","-19.888889",NA,NA,NA,"Planta 1m de altura, flores brancas e frutos vermelho escuro. Localizada em cima da Pedra do Cruzeiro, ambiente aberto e ensolarado.","MBML011798",NA,"MBML011798","40W49'29","19S53'20",NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","12888",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/10-08-2000",NA,NA,NA,"V. Demuner","1205","2000","06","26","Brasil","Espírito Santo","Santa Teresa","Pedra da Paulista","-40.793333","-19.833889",NA,NA,NA,"Rupícola, flores brancas, folha adaxial. Borda de mata secundária.","MBML012888",NA,"MBML012888","40W47'36","19S50'2",NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","13147",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/20-06-2000",NA,NA,NA,"L. Kollmann; et al","3012","2000","06","20","Brasil","Espírito Santo","Santa Teresa","Pedra Alegre","-40.824722","-19.888889",NA,NA,NA,"Rupícola, arbusto 2m no sol. Folhas cinzas, face abaxial verde, acinzentado lado adaxial, estipulas avermelhados. Flores brancas, base das tépalas rosas. Pecíolo avermelhado. Caule 3cm.","MBML013147",NA,"MBML013147","40W49'29","19S53'20",NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","14932",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/14-08-2001",NA,NA,NA,"L. Kollmann; et al","4324","2001","08","14","Brasil","Espírito Santo","Santa Teresa","Toma Vento","-40.806944","-19.910833",NA,NA,NA,"Rupícola no sol. Flores brancas. Pedúnculo avermelhado. Herb/Cult.","MBML014932",NA,"MBML014932","40W48'25","19S54'39",NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","18393",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/02-10-2002",NA,NA,NA,"L. Kollmann; et al","5713","2002","10","02","Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,NA,NA,"Rupícola no sol. Flores brancas. Folhas acinzentadas.","MBML018393",NA,"MBML018393","40W55'27","20S10'37",NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","19094",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/07-04-2003",NA,NA,NA,"A. P. Fontana; et al","410","2002","12","11","Brasil","Espírito Santo","Santa Teresa","Córrego Frio","-40.773611","-19.832778",NA,NA,NA,"Subarbustiva. Sobre afloramento rochoso, folhas fendilhadas com parte abaxial branca e adaxial verde glabra, inflorescencia e ovário avermelhado com tricomas brancos, flores femininas, corola e cálice brancos e carpelos amarelos.","MBML019094",NA,"MBML019094","40W46'25","19S49'58",NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","19758",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","E. L. Jacques/XI-1998",NA,NA,NA,"E. L. Jacques; et al","807","1998","11","11","Brasil","Espírito Santo","Santa Teresa","Pedra do Cruzeiro","-40.826111","-19.874444",NA,NA,NA,"Erva sobre afloramento rochoso, ca. 1,5m de altura. Caule coriáceo com indumento verde-acinzentado. Folhas verde-lustrosa na face adaxial a verde-acinzentadas na abaxial, dobradas ao longo de seu maior eixo, assemelhando-se a uma calha","MBML019758",NA,"MBML019758","40W49'34","19S52'28",NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","23556",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/06-09-2005",NA,NA,NA,"A. P. Fontana; et al","858","2004","04","10","Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","-40.981111","-19.741389",NA,NA,NA,"Rupestre, flores cálice e corola brancas com base vermelhas. Frutos secos.","MBML023556",NA,"MBML023556","40W58'52","19S44'29",NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","23562",NA,"Plantae",NA,"Begoniaceae","Begonia","albidula","Begonia albidula","Brade","L. Kollmann/06-09-2005",NA,NA,NA,"A. P. Fontana; et al","869","2004","04","10","Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","-40.981111","-19.741389",NA,NA,NA,"Rupestre. Frutos secos.","MBML023562",NA,"MBML023562","40W58'52","19S44'29",NA,NA,NA,NA,NA,NA
