"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","order","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","class","typeStatus","fieldNumber","sex","preparationType"
"1","2020-11-24 17:11:00-03","UTFPR","DVPR","516","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","Marinero, F","2009","10","23","Cotarelli, VM; Francisco, EM","183","2008","06","06","Brasil","Paraná","Sapopema","Salto das Orquideas","-50.5802993774414","-23.9108009338379","21990","Trepadeira sem gavinhas, com flores tubulares vermelhas.","DVPR000516","DVPR000516","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:39:42-03","UNICAMP","UEC","25581","S","Plantae","Magnoliopsida","Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","Macias, L","1999","09","23","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC","1276","1995","06","14","Brazil","São Paulo","Timburi","Fazenda Domiciana,","-49.6345","-23.231639",NA,"Liana, flores vermelhas.","UEC110397","UEC110397",NA,"-49.6345","-23.231639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:39:42-03","UNICAMP","UEC","71874","S","Plantae","Magnoliopsida","Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","Macias, L","1999","09","23","Tamashiro, JY; Rodrigues, RR; Goldenberg, R; Ivanauskas, NM; Belinello, R; Galvão, JC","1276","1995","06","14","Brazil","São Paulo","Timburi","Fazenda Domiciana,","-49.6345","-23.231639",NA,"Liana, flores vermelhas.","UEC046111","UEC046111",NA,"-49.6345","-23.231639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:39:42-03","UNICAMP","UEC","155754","S","Plantae","Magnoliopsida","Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","Marinero, F","2009","10","23","Medri, C","717","1998","10","10","Brazil","Paraná","Sapopema","Salto das Orquideas","-50.5802993774414","-23.9108009338379","21990","Trepadeira, flores vermelhas.","UEC060804","UEC060804","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-16 17:52:36-03","UCS","HUCS","51307","PreservedSpecimen","Plantae","Angiospermae","Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","Roncen, B.P.","2020","10",NA,"Gonzatti, F.","4442","2018","07","22","Brasil","Rio Grande do Sul","Caxias do Sul","Vila Oliva, ponte do Rio Caí, divisa entre Caxias do Sul e Gramado. Ponte Major Nicoletti","-50.910117","-29.292244",NA,"liana sobre arbusto em bordo da estrada. Flores tubulosas, vermelho-vináceas.",NA,NA,NA,"-50.910117","-29.292244","Gentianales","315","315",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-16 17:52:36-03","UCS","HUCS","31006","PreservedSpecimen","Plantae","Angiospermae","Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","Roncen, B.P.","2020","10",NA,"Pasini, E.","276","2009","04","14","Brasil","Rio Grande do Sul","Santa Teresa",NA,"-51.7352981567383","-29.1688995361328","10273","liana em orla da mata.",NA,NA,"auto",NA,NA,"Gentianales","700","700",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-16 08:40:53-03","UTFPR","HCF","17236","S","Plantae",NA,"Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","F. Marinero","2015","11","12","M.G. Caxambu","6534","2015","06","18","Brasil","PR","Céu Azul","Parque Nacional do Iguaçu, Trilha Manoel","-53.835917","-25.158861",NA,"trepadeira volúvel, ciófila. Flores vermelhas com ápice da flor rosa.",NA,NA,NA,"53°50'09,3 W","25°09'31,9 S",NA,"550","550",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-16 08:40:53-03","UTFPR","HCF","1172","S","Plantae",NA,"Rubiaceae","Manettia","tweedieana","Manettia tweedieana","K.Schum.","F. Marinero","2015","11","13","O.A. Dometerco","1","2004","07","01","Brasil","PR","Campo Mourão","Parque Municipal do Lago","-52.3830986022949","-24.0456008911133","28572","planta herbácea, trepadeira, com flores vermelhas terminais.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:43:30-03","MBM","MBM","50745","PreservedSpecimen","Plantae",NA,"Rubiaceae","Manettia","hassleriana","Manettia hassleriana","Chodat","Macias, L.",NA,NA,NA,"Hatschbach, G.","3763",NA,NA,NA,"Brazil","Paraná","Bocaiúva do Sul","Serra do Cadeado","-49.1150016784668","-25.2061004638672","61623",NA,"MBM050745","MBM050745","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:43:30-03","MBM","MBM","134890","PreservedSpecimen","Plantae",NA,"Rubiaceae","Manettia","hassleriana","Manettia hassleriana","Chodat","Macias, L.",NA,NA,NA,"Cervi, A.C.; et al.; et al.","2741",NA,NA,NA,"Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Cataratas","-54.5881004333496","-25.5478000640869","39570",NA,"MBM134890","MBM134890","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
