"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","typeStatus","individualCount","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","414914","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","poecilum","minor","Cyrtopodium poecilum minor","Hoehne","G. F. J. Pabst","G. G. Hatschbach","36084","1975","02","12","South America","Brazil","Mato Grosso","Santo Antônio do Leverger","San Antonio de Lavenger, arredores","-56.074969","-15.86231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414914","NY00414914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1844018","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.",NA,"H. S. Irwin","5915","1964","09","03","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama. Ca. 20 km. S. of Brasília.","-48.0648","-16.0198","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134754' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844018",NA,"700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1844016","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.",NA,"H. S. Irwin","8710","1965","09","27","South America","Brazil","Distrito Federal","Brasília","Near Sobradinho.","-47.9296989440918","-15.7797002792358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134423' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844016","NY01844016_01","1100","1100","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1844019","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.",NA,"H. S. Irwin","5915","1964","09","03","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama. Ca. 20 km. S. of Brasília.","-48.0648","-16.0198","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134756' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844019","NY01844019_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1844017","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.",NA,"H. S. Irwin","5915","1964","09","03","South America","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama. Ca. 20 km. S. of Brasília.","-48.0648","-16.0198","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2134753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01844017","NY01844017_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG4228","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum",NA,"Ana Júlia Heringer Salles","Ana Júlia Heringer Salles",NA,NA,NA,NA,NA,"Brasil","Distrito Federal","Brasília","Plano Piloto","-47.9296989440918","-15.7797002792358",NA,"Doação do Jardim Botânico de Brasília. HEPH n°: 20888-3. Flor amarela.",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:28-03","UFRJ","RFA","19104","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.","G.F.J. Pabst","G.G. Hatschbach; C. Koczicki","33317","1973","10","16",NA,"Brasil","Goiás","Santa Rita do Araguaia","Rio Babilônia","-53.2052993774414","-17.3255996704102",NA,"Sépalas e pétalas esverdeadas, macula vermelha, labelo amarelo","RFA31586",NA,NA,NA,"61711","auto","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:42-03","EAO","IAN","129449","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.","Pabst, GFJ","Irwin, HS; Souza, R","8710","1965","09","27","Southern America","Brasil","Distrito Federal",NA,"Burned-over cerrado, near Sobradinho.",NA,NA,NA,"Terrestrial, to 75cm tall; leaves undeveloped; perianth yellow, apica;;y spotted or blotched with brow-violet.","IAN129449",NA,"1100","1100",NA,NA,"1966",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:42-03","EAO","IAN","129449","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.","Pabst, GFJ","Irwin, HS; Souza, R","8710","1965","09","27","Southern America","Brasil","Distrito Federal",NA,"Burned-over cerrado, near Sobradinho.",NA,NA,NA,"Terrestrial, to 75cm tall; leaves undeveloped; perianth yellow, apica;;y spotted or blotched with brow-violet.","IAN129449",NA,"1100","1100",NA,NA,"1966",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:42-03","EAO","IAN","37998","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cyrtopodium","poecilum",NA,"Cyrtopodium poecilum","Rchb.f. & Warm.","Pabst, GFJ","Black, GA","3540","1948","11","14","Southern America","Brasil","Pará",NA,"Caminho de Jubim para Condeixa. Ilha de Marajó.",NA,NA,NA,"Terrestre; flor amarela, mouled (com mosaico).","IAN037998","IAN037998 IAN037998_1 IAN037998_1e IAN037998_e IAN037998_e1",NA,NA,NA,NA,"1953","04",NA,NA,NA,NA,NA,NA,NA,NA
