"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","dayIdentified","class","order","fieldNumber","continentOcean","individualCount","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-01 16:31:03-03","UNICAMP","UEC","201067","S","Plantae","Magnoliopsida","Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F.Mattos) M.J.Silva & Tozzi","Camargo, R","2018","10","Camargo, RA","407","2007","02","16","Brazil","Rio Grande do Sul","Três Cachoerias","Vila Morro Azul","arbusto 3 m, flutos verdes; Floresta Ombrófila Densa, beira de rio","UEC178015","UEC178015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-11 16:42:18-03","UNICAMP","UEC","81612","S","Plantae","Magnoliopsida","Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F.Mattos) M.J.Silva & Tozzi","Silva, MJ","2010","07","Jarenkow, JA; Waechter, JL","1796","1990","11","05","Brazil","Rio Grande do Sul","Perdida","Em Mata Atlântica.","flor, Arvoreta com ca. 3,5m de alt., flores com cálice verde, corola com estandarte de base verdosa e restante lilás, alas e carena branco-verdosas.","UEC199717","UEC199717","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:25:27-02","PUCRS","MPUC","20172","S","Plantae",NA,"Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F. Mattos) M.J. Silva & A.M.G. Azevedo","C.F. Jurinitz","2014","01",NA,NA,"2014","08","30","Brasil","RS","Itati","RS 486 - Rota do Sol","Floresta na encosta da RS 487",NA,NA,"01","Magnoliopsida","Fabales","312","South America","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:01:44-03","FURB","FURB","914","PreservedSpecimen","Plantae",NA,"Fabaceae","Muellera","torrensis","Muellera torrensis","(N. Mattos) M.J.Silva & A.M.G.Azevedo","Sobral, M","2002","02","Sobral, M.",NA,"2002","02","01","Brasil","Rio Grande do Sul","Três Cachoeiras",NA,NA,"FURB01732","FURB01732","01",NA,NA,NA,NA,NA,"-49.9244003295898","-29.4556007385254","17224","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:26:55-03","MBM","MBM","316933","PreservedSpecimen","Plantae",NA,"Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N. Mattos","Sobral, M.","2006",NA,"Sobral, M.; et al.; et al.","s.n.","2002","02",NA,"Brazil","Rio Grande do Sul","Três Cachoeiras","Rod, BR 101","Arvoreta, 5m, flor azul clara. Mata atlântica","MBM316933","MBM316933",NA,NA,NA,NA,"Southern America",NA,"-49.9244003295898","-29.4556007385254","17224","auto",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:26:55-03","MBM","MBM","265265","PreservedSpecimen","Plantae",NA,"Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N. Mattos",NA,NA,NA,"Sobral, M.; et al.; et al.","9465","2002","01",NA,"Brazil","Rio Grande do Sul","Três Cachoeiras","Três Cachoeiras",NA,"MBM265265","MBM265265",NA,NA,NA,NA,"Southern America",NA,"-49.9244003295898","-29.4556007385254","17224","auto",NA,NA,NA,NA,NA,NA
"7","2012-07-30 09:54:00-03","MO","MOBOT","2453733","PreservedSpecimen","Plantae",NA,"Fabaceae","Muellera","torrensis","Muellera torrensis","(N.F. Mattos) M.J. Silva & A.M.G. Azevedo",NA,NA,NA,"O.R. Camargo","Camargo 1140","1976","4","24","Brazil","Rio Grande do Sul",NA,"Torres, Rio da Terra.",NA,NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA
"8","2020-09-02 16:28:01-03","Cenargen","CEN","108720","PreservedSpecimen","Plantae",NA,"Fabaceae Faboideae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F.Mattos","R. A. Camargo","2007","02","R. A. Camargo","407","2007","04","16","Brasil","RS","TRES CACHOEIRAS","Vila Morro Azul. Beira de rio.","Doação da UNICAMP. UEC nº 201067.","CEN00108720","CEN00108720",NA,NA,NA,NA,NA,"1","-49.9244003295898","-29.4556007385254","17224","auto",NA,"Exsicatas",NA,NA,NA,NA
"9","2020-08-20 20:38:49-03","UFSC","FLOR","26656","PreservedSpecimen","Plantae",NA,"Fabaceae","Lonchocarpus","torrensis","Lonchocarpus torrensis","N.F.Mattos","Neubert, E.E.","1995",NA,"Jarenkow, J.A.; Waechter, J.L.","1796","1990","11","05","Brasil","Rio Grande do Sul","Torres","Perdida.","arvoreta, flor cálice verde; corola com estandarte de base verdosa e restante lilás; alas e carena branco-verdosas, 3,5m altura","FLOR0026656",NA,NA,NA,"Fabales",NA,NA,NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA
"10","2021-02-08 12:41:56-03","UFRGS","ICN","143075","S","Plantae","Dicotyledon","Fabaceae","Lonchocarpus","cf. torrensis","Lonchocarpus cf. torrensis","N. Mattos","Lima, HC",NA,NA,"Hagelund, K","8713","1975","01","19","Brasil","RS","Torres","Morro Azul","Doação de Karner Hagelund.; Flor branca.","ICN00023484","ICN00023484",NA,NA,NA,NA,"América do Sul",NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,NA,NA
