"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","typeStatus","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12920","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","pleiophylla","Habenaria pleiophylla","Hoehne & Schltr.","Alexandre Medeiros","2017","07","14","Alexandre Medeiros","2017","07","14","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 590 Habitat: Terrestre Habito: Herbácea","CRI011528","CRI011528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:44-03","UNESC","CRI","13854","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","pleiophylla","Habenaria pleiophylla","Hoehne & Schltr.","Alexandre Medeiros","2018","08","08","Alexandre Medeiros","2018","08","08","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho APA Costa Brava","-48.592778","-27.0525","48º35'34''W","27º3'9''S","Flores verdes Habitat: Terrestre Habito: Herbácea","CRI012465",NA,"939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:44-03","UNESC","CRI","13801","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","pleiophylla","Habenaria pleiophylla","Hoehne & Schltr.","Alexandre Medeiros","2018","07","28","Alexandre Medeiros","2018","07","28","Brasil","Santa Catarina","Balneário Camboriú","Taquaras APA Costa Brava","-48.5825","-27.005833","48º34'57''W","27º0'21''S","Flores verdes Habito: Epífita","CRI012412",NA,"1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1842817","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","paranaguensis","Habenaria paranaguensis","Hoehne",NA,NA,NA,NA,"A. Hatschbach Sobrinho","1947","05",NA,"Brazil","Paraná",NA,"Paranaguá-Matinhos","-48.560466","-25.76408",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2053999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01842817","NY01842817_01","732","Magnoliophyta","Asparagales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031896","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","pleiophylla","Habenaria pleiophylla","Hoehne & Schltr.","G. F. J. Pabst",NA,NA,NA,"W. R. Anderson","1973","04","11","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 10 km by N of Gouvêia","-43.69707","-18.3665",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188088' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031896","NY01031896_01","8676","Magnoliophyta","Asparagales",NA,"South America","sheet","1320","1320",NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:48-03","EAO","IAN","142946","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","pleiophylla","Habenaria pleiophylla","Hoehne & Schltr.","Pabst, GFJ",NA,NA,NA,"Pinheiro, GS; Carvalho, JFV","1974","04","08","Brasil","Pará","Marabá",NA,"-49.1178016662598","-5.36860990524292",NA,NA,NA,"IAN142946",NA,"421","Monocotiledônea",NA,NA,"Southern America",NA,NA,NA,"262883","auto",NA,NA,NA,NA
"7","2019-12-04 15:26:36-03","PUCPR","HUCP","20954","S","Plantae","Orchidaceae","Habenaria","paranaguensis","Habenaria paranaguensis","Hoehne","Kersten, RA",NA,NA,NA,"Selusniaki, M","2008","12","16","Brasil","Paraná","Campina Grande do Sul","Trilha Itapiroca","-49.0553016662598","-25.3055992126465",NA,NA,NA,"HUCP00002925","HUCP00002925","2735","Monocotiledonea",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA
"8","2019-12-04 15:26:36-03","PUCPR","HUCP","3530","S","Plantae","Orchidaceae","Habenaria","paranaguensis","Habenaria paranaguensis","Hoehne",NA,"1988","07","02","Britez, RM",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Morro da Gruta dos Encantados.","-48.5092010498047","-25.5200004577637",NA,NA,NA,"HUCP00002811","HUCP00002811","1956","Monocotiledonea",NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA
"9","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1516611","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","paranaguensis","Habenaria paranaguensis","Hoehne",NA,NA,NA,NA,"Hatschbach GG","1962","06","03","Brazil",NA,NA,"Parana (Brasil), Paranagua. Entre Matinhos e Caiobá.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1516611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1516611","NL-L1516611",NA,NA,"Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1516612","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","paranaguensis","Habenaria paranaguensis","Hoehne",NA,NA,NA,NA,"Hatschbach GG","1962","06","03","Brazil",NA,NA,"Parana (Brasil), Paranagua. Entre Matinhos e Caiobá.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1516612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1516612","NL-L1516612",NA,NA,"Asparagales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
