"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","recordNumber","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:34:03-03","UNESC","CRI","12040","PreservedSpecimen","Plantae","Primulaceae","Myrsine","lorentziana","Myrsine lorentziana","(Mez) Arechav.","Guilherme Lodetti","Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará","-49.392222","-28.156389","49º23'32''W","28º9'23''S","450","450","Habito: Arbóreo","CRI010218","CRI010218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:57-03","UNESC","CRI","10469","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui",NA,"Valdemar Boff","1999","04","14","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,NA,"Habitat: sobre dunas","CRI008710","CRI008710","Morro dos Conventos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:57-03","UNESC","CRI","10194","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","J. Cordeiro","M. G. Caxambu; et al.","2008","04","19","Brasil","Paraná","Piraquara","-49.063333","-25.441667","49º3'48''W","25º26'30''S","1020","1020","Floresta Ombrófila Densa Montana Habitat: beira de estrada Habito: árvore","CRI008713","CRI008713","Mananciais da Serra.","2094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:57-03","UNESC","CRI","1109","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","Marcos Sobral","Clair Maria Martinello; Aurélio José de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: beira de mata atlântica secundária de encosta Habito: árvore","CRI005117","CRI005117","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:03-03","UNESC","CRI","7992","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","Vanilde Citadini-Zanette","Beatriz Wessler; Bruna Alberton","2007","07","16","Brasil","Santa Catarina","Criciúma","-49.340278","-28.68","49º20'25''W","28º40'48''S",NA,NA,NA,"CRI008705","CRI008705",NA,NA,"2007","07","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:03-03","UNESC","CRI","1286","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","Marcos Sobral","Jairo J. Zocche","1992","07","15","Brasil","Santa Catarina","Forquilhinha","-49.472778","-28.748056","49º28'22''W","28º44'53''S",NA,NA,NA,"CRI013820","CRI013820",NA,NA,"1992","07","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:57-03","UNESC","CRI","8932","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","Ronaldo dos Santos Junior","Ronaldo dos Santos Junior","2011","07","15","Brasil",NA,"Brasil","-50.071111","-29.585833","50º4'16''W","29º35'9''S",NA,NA,"Floresta Paludosa","CRI008709","CRI008709","Interior da Mata, Norte da Lagoa dos Quadros.",NA,"2011","07","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:57-03","UNESC","CRI","13077","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","Pastório, F.F.","Oliveira, A.A. de","2015","11","22","Brasil","Santa Catarina","Treviso","-49.497222","-28.529167","49º29'50''W","28º31'45''S","197","197",NA,"CRI011722","CRI011722","São Vitor. São Vitor.","2764","2016","03","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:57-03","UNESC","CRI","14800","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","Freitas, M.F.","Schwirkowski, P.","2019","01","12","Brasil","Santa Catarina","São Bento do Sul","-49.351944","-26.313056","49º21'7''W","26º18'47''S","650","650","FOD. Esciófita. Cálice esverdeado, corola creme Habitat: Mata ciliar Habito: Árvore","CRI014115","CRI014115","Sertãozinho. Sertãozinho. Rio dos Bugres. Estrada sentido Estrada Saraiva.","3299","2019","01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:03-03","UNESC","CRI","10196","PreservedSpecimen","Plantae","Primulaceae","Myrsine","parvula","Myrsine parvula","(Mez) Otegui","J. Cordeiro","E.L. Siqueira; et al.","2007","11","09","Brasil","Paraná","Dois Vizinhos","-53.0575","-25.734167","53º3'27''W","25º44'3''S","509","509","Floresta Ombrófila Mista Montana Habito: arvoreta","CRI008714","CRI008714","Campus da UTFPR.","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
